moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC.	moe2D_PEOE_PC..1	moe2D_PEOE_RPC.	moe2D_PEOE_RPC..1	moe2D_PEOE_VSA.0	moe2D_PEOE_VSA.1	moe2D_PEOE_VSA.2	moe2D_PEOE_VSA.3	moe2D_PEOE_VSA.4	moe2D_PEOE_VSA.5	moe2D_PEOE_VSA.6	moe2D_PEOE_VSA.0.1	moe2D_PEOE_VSA.1.1	moe2D_PEOE_VSA.2.1	moe2D_PEOE_VSA.3.1	moe2D_PEOE_VSA.4.1	moe2D_PEOE_VSA.5.1	moe2D_PEOE_VSA.6.1	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC.	moe2D_Q_PC..1	moe2D_Q_RPC.	moe2D_Q_RPC..1	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP.o.w.	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb	Class
7.836	1.04	0.117	1.066	1.304	-2.701	-0.5028	0.4989	2.636	-2.809	-0.2477	0.5637	2.624	-2.432	-0.2461	0.6587	2.903	0	-0.8368	-0.352	0.01912	2.515	-1.154	-0.2237	0.119	2.546	-0.5229	-0.07486	0.1517	2.769	14.06	5.558	4.817	12.41	4.862	4.186	3.772	1.047	-1.047	0.1716	0.2885	57.91	24.47	8.619	8.459	0	0	0	99.5	54.09	0	0	0	13.57	0.1369	0.9486	0.6271	0.05137	0.05137	0.3729	0	253.1	167.3	13.7	13.7	99.46	0	2.247	-2.247	0.1882	0.4005	0.8728	0.346	0.05137	0.1272	0.654	0.07581	232.8	92.31	13.7	33.93	174.5	20.22	6.813	23.86	0	18.01	10.67	0	70.57	5.688	172.5	3.299	18.01	5.688	3.982	0	27.05	0	3.501	70.57	0	172.5	29.1	0.5436	5	2.893	7.698	239.7	49.81	1.465	2	6	0	34	1	16	13	0	13	1	0	18	0	1	1	0	38.96	3	0.1875	6	34	1	16	4	0.25	27	2.472	21.72	12.34	9.638	10.93	8.887	7.294	5.377	5.747	4.437	4.241	3.225	2.444	0.6667	1.726	0.5833	4.552	1.917	2.387	1.018	0.3536	0	3.575	1.421	1.797	0.6498	0.25	0	2.55	0.3103	1.168	0.1379	1	1	0.7193	8	7.041	0	0	0	0.5915	0.6498	0	12.05	0	0	0	0	0.06706	0	0	7.979	5.854	0	0	0	0	0	3.244	0	0	-0.2098	0	-0.07574	2	1	1	0	3.543	-3.5	6.832	6	1	1	4	0	0.5	1	4	0	1	266.8	333.3	13.57	0	0	223.9	8.459	19.25	454	20	78	Crosses
8.172	1.672	0.03	1.056	0.755	-2.454	-0.2794	0.106	2.479	-2.627	-0.1782	0.2408	2.391	-2.153	0.01078	0.2958	2.773	0	-0.8411	-0.4312	-0.1142	2.345	-1.001	-0.2968	-0.037	2.311	-0.4871	-0.1293	0.007412	2.616	10.52	3.539	1.455	8	2.63	1.062	1.503	1.599	-1.599	0.2084	0.205	108.1	21.24	4.265	17.89	0	12.95	17.44	0	0	0	0	19.25	13.57	0	0.7056	0.1528	0.1528	0.2944	0.8472	0.1415	151.5	32.82	32.82	63.21	181.9	30.39	2.785	-2.785	0.2567	0.2047	0.2976	0.184	0.184	0.7024	0.816	0.5184	63.89	39.52	39.52	150.8	175.2	111.3	4.938	47.72	21.81	3.124	2.757	2.328	16.79	10.09	98.69	0.4211	3.124	31.9	0	0	26.62	65.79	0	16.79	0	59.09	58.44	0.6174	4.907	2.294	7.363	194.2	42.82	1.784	3	5	0	24	0	14	4	0	8	0	0	10	0	4	2	0	26.75	0	0	5	25	2	15	0	0	18	2.248	20.11	10.46	6.017	8.183	5.577	6.537	0.6667	4.108	0.5	0.1925	0.125	1.253	0	0.5451	0	5.877	0	2.317	0	0	0	4.097	0	1.356	0	0	0	3.705	0	1.157	0	0	0	0.8053	6	1.519	3.993	0	0	0	0.8567	1.608	23.16	0	0	0	0	-0.6766	0	0	4.773	0	0	0	0	0	0	0	0	0	0	2.431	0	6	0	1	0	-1.567	-0.6883	4.869	10	1	2	0	0	0.3333	0.5	4	0	2	214.7	241.2	32.82	0	0	108.4	66.37	32.82	258	25	76	Crosses
10.09	2.108	0.482	1.241	1.569	-2.335	-0.6203	0.6684	2.328	-2.533	-0.4948	0.7986	2.493	-1.964	-0.4596	0.83	2.699	0	-0.8004	-0.4413	0.07976	2.471	-1.371	-0.3004	0.1858	2.634	-0.4291	-0.2017	0.2128	2.807	13.01	5.551	2.525	8.498	3.527	1.571	1.665	1.387	-1.387	0.2343	0.2532	0	56.05	0	17.24	0	0	17.44	28.93	98.04	0	0	13.57	0	6.651	0.8417	0.6186	0.08498	0.1583	0.3814	0.07331	200.3	147.2	20.22	37.66	90.73	17.44	3.221	-3.221	0.2142	0.2484	0.7693	0.6001	0.08498	0.2307	0.3999	0.1458	183	142.8	20.22	54.9	95.15	34.68	7.353	23.86	0	3.124	6.371	38.41	141.1	40.12	0	3.387	36.02	4.83	0	0	6.371	0	0	141.1	35.29	29.38	46.33	0.5392	5.322	2.602	8.098	236.3	43.58	1.453	1	12	0	30	1	18	14	0	15	0	0	12	0	2	1	0	37.4	1	0.05	12	32	2	20	1	0.05	18	1.864	15.4	12.54	9.958	9.706	8.274	8.771	6.616	5.729	4.565	5.138	2.969	1.05	0.3333	0.4044	0.1667	6.603	3.966	3.018	1.909	0	0	5.937	2.997	2.211	1.201	0	0	2.684	0.7071	0.9442	0.2887	0	0	0.7136	7	15.41	0	0	0	0	3.581	0	11.75	0	0	3.994	0	-0.4735	0	0	0	0	0	0	5.526	0	0	0	0	0	0	1.546	0	3	1	1	0	2.968	-3.854	7.066	17	1	3	0	0	0.4286	0.75	4	0	3	237.9	331.1	13.57	0	17.74	175.9	17.44	31.31	521	33	96	Crosses
11.85	1.231	0.028	1.281	0.849	-2.689	-0.3887	0.3828	2.617	-2.768	-0.2915	0.5099	2.769	-2.428	-0.2145	0.5159	2.868	0	-0.8557	-0.3307	-0.01816	2.646	-0.9935	-0.2639	0.09045	2.724	-0.5317	-0.1558	0.08695	2.887	24.04	14.98	10.81	21.09	13.08	9.4	10.61	2.115	-2.115	0.1727	0.162	132.6	64.87	0	8.619	0	0	19.2	78.34	115.6	0	0	13.57	2.641	2.504	0.9134	0.4855	0.04273	0.08657	0.5145	0.04384	400	212.6	18.71	37.91	225.3	19.2	3.319	-3.32	0.235	0.244	0.758	0.1547	0.04273	0.242	0.8453	0.1992	332	67.73	18.71	106	370.2	87.25	10.8	34.86	14.12	0	11.71	20.77	164.9	83.56	133.3	5.315	11	28.45	17.47	76.24	0	0	0	70.57	94.34	165.2	50.8	0.3912	5.7	3.821	9.078	364.5	84.05	1.356	3	6	0	62	1	26	20	0	21	0	0	36	0	2	3	0	65.57	13	0.5	6	62	1	26	15	0.5769	55	2.297	46.79	19.2	15.5	16.92	14.75	12.6	8.257	10.02	7.434	4.078	3.329	1.115	0	0.4975	0	7.395	2.262	4.347	1.657	0	0	5.749	1.364	2.788	0.9071	0	0	2.114	0	0.8983	0	1	1	0.6604	17	7.499	0	0	0	0	1.345	0	12.17	0	0	0	0	-0.4411	0	0	8.329	0	0	0	0	0	9.246	2.807	11.31	0	-0.1652	2.23	0	5	1	1	1	5.181	-5.184	10.8	6	0	1	13	2	0.4706	0.8889	9	0	1	437.9	552	16.07	0	5.683	366.5	21.7	21.75	2086	32	114	Crosses
18.07	2.458	0.618	1.829	2.659	-2.792	-0.648	0.6781	2.728	-2.83	-0.5381	0.7406	2.72	-2.529	-0.4825	0.8386	2.983	0	-0.8575	-0.3886	0.0795	2.893	-0.9532	-0.2712	0.1601	2.959	-0.5238	-0.2161	0.1931	3.143	29.97	14.58	8.493	23.27	11.23	6.509	7.064	2.577	-2.577	0.1046	0.1413	122.6	73.15	4.905	8.459	10.32	14.71	0	83.42	171.6	0	0	0	27.13	10.27	0.8814	0.5553	0.07104	0.1186	0.4447	0.04754	464.1	292.4	37.41	62.44	234.1	25.03	5.69	-5.691	0.1158	0.1423	0.7716	0.4095	0.07104	0.2284	0.5905	0.1574	406.3	215.6	37.41	120.3	310.9	82.88	14.61	58.72	3.124	25.39	25.68	0	322.5	68.75	66.65	6.378	0	16.56	41.33	80.7	36.6	0	0	247	81.94	66.65	66.84	0.3212	6.322	4.178	10.08	499.7	98.75	1.334	5	18	0	74	2	37	30	0	32	0	0	37	0	1	4	0	85.3	11	0.275	18	77	2	40	11	0.275	57	1.137	46.26	26.25	21.97	21.81	19.69	17.84	14.07	13.19	11.14	11.17	7.814	2.624	1.555	1.562	1.109	13.47	7.78	7.409	4.453	0.1667	0.1667	9.903	5.635	4.87	2.673	0.125	0.125	6.667	2.473	2.885	1.356	0	0	0.6879	20	27.83	0	0	0	0	3.691	0	24.12	0	0	0	0	-0.7751	0	0	3.341	0	0	0	0	9.397	6.076	0	6.643	0	0.1397	2.422	-0.9726	5	1	1	1	7.449	-6.337	14.83	24	0	4	13	3	0.5	1	10	0	4	526.5	726.4	16.07	0	0	430	23.17	43.2	5490	58	190	DoesNot
13.39	2.003	0.529	2.031	2.218	-2.787	-0.5538	0.5814	2.689	-2.892	-0.5022	0.8059	2.631	-2.503	-0.3895	0.8543	2.965	0	-0.8509	-0.3847	0.07942	2.815	-0.9642	-0.2639	0.1645	2.858	-0.5161	-0.2161	0.1931	3.079	21.7	11.25	6.78	18.41	9.483	5.685	6.467	2.178	-2.178	0.1311	0.1692	113.1	77.81	14.95	0	10.32	14.71	0	28.93	115.4	0	0	0	13.57	10.27	0.8775	0.4213	0.05974	0.1225	0.5787	0.06273	350.2	168.1	23.84	48.87	230.9	25.03	5.214	-5.214	0.1264	0.1554	0.6294	0.4213	0.05974	0.3706	0.5787	0.3108	251.2	168.1	23.84	147.9	230.9	124	10.63	34.86	6.249	25.39	13.85	0	158.8	141.8	39.15	3.244	0	13.99	34.86	159.4	6.371	0	3.501	158.8	3.982	39.15	53.01	0.4006	5.858	3.67	9.195	388.9	81.33	1.564	5	12	0	52	2	27	21	0	21	1	0	25	0	2	3	0	60.42	8	0.2759	12	54	1	29	8	0.2759	41	1.496	34.58	19.06	14.2	16.02	12.72	13.13	8.024	9.574	6.163	4.794	2.888	1.512	0.3333	0.7977	0.1925	8.879	3.677	5.102	1.877	0	0	7.192	2.856	3.619	1.238	0	0	2.886	0.6639	1.537	0.3184	1	1	0.7451	15	18.64	0	0	0	0.747	2.516	0	10.51	0	0	0	0	-0.9227	0	0	0	6.078	0	0	0	8.626	4.749	0	5.155	0	0.2027	4.815	0	5	1	1	0	3.404	-3.944	10.83	18	1	3	10	0	0.4667	0.875	8	0	3	399.1	521.9	2.504	0	0	333.1	14.71	29.64	2068	38	134	DoesNot
10.45	1.653	0.824	2.395	2.512	-2.586	-0.5945	0.7144	2.603	-2.75	-0.5562	0.6559	2.545	-2.342	-0.4511	0.7918	2.837	1	-0.82	-0.3851	0.1321	2.487	-1.162	-0.3792	0.1599	2.501	-0.553	-0.2463	0.2681	2.714	18.05	8.444	5.379	16.66	7.761	4.928	6.466	2.783	-1.783	0.1097	0.2203	24.51	73.45	4.905	11.9	24.68	12.95	17.02	26.72	70.33	0	0	0	13.57	15.67	0.7163	0.4271	0.09888	0.2837	0.5729	0.1848	211.8	126.3	29.24	83.89	169.4	54.65	5.584	-4.584	0.193	0.1593	0.3831	0.5673	0.3367	0.6169	0.4327	0.2802	113.3	167.8	99.57	182.4	127.9	82.85	7.19	31.41	50.77	67.71	18.68	2.757	70.57	26.19	78.3	1.316	68.78	12.81	53.45	45.03	3.186	0	0	70.57	11.51	81.05	109.9	0.469	5.322	3.271	8.337	324.1	64.7	1.96	5	6	1	33	4	20	11	0	11	2	0	13	0	2	5	0	38.6	6	0.3	6	33	2	20	7	0.35	25	2.495	16.97	15.28	7	11.62	6.249	9.362	4.041	6.373	3.14	2.632	1.736	1.595	0.1667	0.8341	0.09623	6.583	1.891	2.956	1.054	0	0	4.225	1.337	1.627	0.647	0	0	3.786	0.3319	1.311	0.1667	2	2	0.9375	11	5.283	0	0	0	0	0.3081	0	21.93	-0.3263	0	0	0	-0.7462	0	0	0	10.72	0	0	0	27.87	-0.5389	2.277	0	0	-3.559	0	0	7	4	1	0	0.6224	-2.584	7.33	6	1	1	6	0	0.4545	0.8333	6	0	1	295.7	345.7	30.53	4.028	5.683	168.5	19.78	80.31	880	29	94	DoesNot
12.42	2.8	0.03	1.304	2.514	-2.657	-0.5519	0.5852	2.566	-2.707	-0.401	0.7922	2.609	-2.374	-0.3469	0.8463	2.853	0	-0.8639	-0.3637	0.02416	2.609	-0.9543	-0.2269	0.1581	2.76	-0.5197	-0.1628	0.2015	2.919	15.88	7.051	3.673	14.5	6.41	3.327	4.427	1.094	-1.094	0.05923	0.2817	90.67	29.86	0	0	0	0	0	129.6	73.85	0	0	0	0	0	1	0.628	0	0	0.372	0	324	203.5	0	0	120.5	0	2.809	-2.809	0.1314	0.2883	0.7141	0.417	0.06099	0.2859	0.583	0.2249	231.4	135.1	19.76	92.62	188.9	72.86	9.219	0	3.124	6.226	3.501	5.513	142.4	36.88	137.2	4.894	3.124	3.124	0	36.88	0	68.9	3.501	123.5	18.87	76.88	6.48	0.4825	5.524	3.059	8.51	318.9	60.68	1.517	1	12	0	40	0	21	19	0	17	1	0	19	0	2	0	1	49.87	4	0.1739	12	42	0	23	4	0.1739	30	1.694	27.43	14.82	11.96	13.92	10.66	10.15	6.116	8.331	4.565	3.683	2.293	1.439	0	1.067	0	7.302	2.165	4.94	1.055	0	0	6.294	1.402	3.831	0.5729	0	0	2.871	0	1.855	0	0	0	0.7481	9	14.77	0	0	0	0.7975	5.112	0	0	0	0	0	0	0	0	0	4.232	6.209	0	0	0	0	3.211	0	0	1.824	0	4.625	0	2	0	1	0	4.478	-4.574	9.177	16	1	3	4	1	0.4444	0.8	5	0	3	324	426.2	0	0	0	310.5	0	0	896	33	110	Crosses
7.483	1.669	0.39	1.683	1.599	-2.393	-0.6232	0.6423	2.476	-2.616	-0.3769	0.8356	2.411	-2.128	-0.3553	0.9245	2.766	0	-0.8448	-0.4078	0.05159	2.203	-1.17	-0.2742	0.2861	2.31	-0.5048	-0.1579	0.3452	2.523	10.52	4.68	2.534	10.12	4.491	2.426	3.247	1.232	-1.232	0.1604	0.2873	13.19	58.79	0	32.92	0	0	0	24.51	71.42	0	0	0	5.683	0.2738	0.9712	0.4927	0.0288	0.0288	0.5073	0	200.8	101.9	5.956	5.956	104.9	0	2.869	-2.869	0.1917	0.2855	0.6844	0.4927	0.0288	0.3156	0.5073	0.2868	141.5	101.9	5.956	65.26	104.9	59.3	6.039	0	16.79	18.01	7.001	20.77	52.93	38.78	78.3	2.365	18.01	19.91	0	36.88	0	16.79	7.001	52.93	0	81.05	36.42	0.6174	4.907	2.649	7.313	230.1	40.23	1.749	1	6	0	23	2	14	10	0	9	2	0	9	0	3	0	0	29.5	1	0.06667	6	24	1	15	2	0.1333	17	1.879	13.32	9.966	5.845	8.861	5.146	6.771	2.983	5.021	2.244	1.595	0.9395	0.8116	0	0.4457	0	4.861	1.014	2.51	0.5035	0	0	3.269	0.6422	1.486	0.2693	0	0	1.889	0	0.8685	0	0	0	0.8776	7	5.371	0	0	0	1.183	0.6981	0	0	0	0	0	4.19	0.7222	0	0	0	11.96	0	0	0	0	1.634	6.134	0	0	0	0	0	3	2	1	0	2.386	-3.14	5.734	11	1	2	2	0	0.4286	0.75	4	0	2	206.8	262.2	5.683	0	11.37	162.9	15.68	17.05	301	17	70	Crosses
10.44	1.898	0.286	1.501	1.634	-2.87	-0.5138	0.5587	2.883	-2.933	-0.4906	0.6058	2.852	-2.611	-0.3691	0.6972	3.137	0	-0.8562	-0.3964	0.0481	3.084	-0.9609	-0.3498	0.1034	3.114	-0.5223	-0.1997	0.1335	3.334	14.35	4.762	1.644	12.35	4.068	1.396	2.284	1.681	-1.681	0.1251	0.2291	75.06	38.39	26.73	0	10.32	0	0	70.51	36.76	0	0	0	0	12.78	0.9146	0.4437	0.04722	0.08538	0.5563	0.03816	247.4	120	12.78	23.1	150.5	10.32	3.378	-3.378	0.1238	0.2398	0.5491	0.2447	0.1378	0.4509	0.7553	0.3131	148.6	66.21	37.28	122	204.3	84.71	8.246	0	50.51	4.411	33.78	0	108.3	18.44	68.28	1.501	47.39	3.124	16.92	18.44	10.78	87.15	0	70.57	18.87	10.49	41.93	0.4921	5.7	2.73	8.685	299.4	61.28	1.425	4	6	0	43	1	22	18	0	18	0	0	21	0	1	3	0	49.19	1	0.03846	6	47	1	26	1	0.03846	40	1.633	28.77	15.06	12.07	12.95	11.24	10.66	6.836	8.102	5.77	5.711	4.503	1.859	0.8305	1.218	0.6661	10.01	5.095	6.354	3.775	0.06804	0.06804	9.081	4.213	5.271	2.867	0.05893	0.05893	5.573	2.402	3.316	1.783	5	5	0.7332	9	4.205	0	0	0	0	4.356	0	0	0	0	4.172	0	0	0	0	3.907	0	0	0	0	10.55	3.132	0	11.83	0	0.1976	2.472	-0.08056	4	1	1	0	1.201	-2.06	8.214	22	1	5	1	1	0.4444	0.8	5	0	5	270.5	408.3	5.008	0	0	231.9	0	18.57	824	51	136	Crosses
12.48	1.507	0.559	1.439	1.941	-2.941	-0.5241	0.4267	2.969	-2.9	-0.5049	0.4505	3.026	-2.691	-0.3281	0.6151	3.218	0	-0.8018	-0.3883	0.01022	3.337	-0.9207	-0.34	-0.008079	3.397	-0.5395	-0.2352	0.1452	3.561	18.37	6.27	2.588	16.49	5.601	2.304	3.694	1.872	-1.872	0.1121	0.2091	111.1	21.97	14.95	16.92	20.65	0	0	64.46	39.7	0	0	0	27.13	15.54	0.8095	0.4418	0.1284	0.1905	0.5582	0.06212	269.1	146.8	42.67	63.32	185.6	20.65	2.912	-2.912	0.1698	0.2335	0.6922	0.1719	0.135	0.3078	0.8281	0.1728	230.1	57.13	44.88	102.3	275.3	57.42	9.368	47.72	50.77	17.64	9.654	0	149.7	32.3	66.65	2.667	50.77	11.38	54.19	20.93	17.64	3.186	0	17.64	132.1	66.65	74.6	0.4351	5.807	3.16	9.015	346.5	70.53	1.282	4	0	0	55	2	25	19	0	21	0	0	30	0	0	4	0	60.17	2	0.07143	0	58	3	28	2	0.07143	55	1.641	34.71	17.98	13.98	15.33	13.62	11.81	9.369	9.865	8.883	9.004	8.406	2.758	1.998	2.146	1.874	10.57	8.438	8.438	7.727	0.2357	0.2357	9.112	6.784	6.993	6.095	0.2199	0.2199	6.937	5.46	5.465	4.975	7	7	0.7146	12	0	0	0	0	0	0	0	24.18	0	0	1.854	0	1.422	0	0	4.416	0	0	0	0	20.54	5.513	0	0	0	0.5099	0	-0.2648	4	2	1	0	1.466	-3.834	9.5	20	1	4	2	0	0.5	1	6	1	4	332.4	484.8	27.13	0	0	226.8	16.92	54.27	1305	53	146	Crosses
10.44	1.715	1.369	2.849	1.763	-2.58	-0.6079	0.7148	2.788	-2.787	-0.6259	0.567	2.584	-2.344	-0.4722	0.8192	2.984	0	-0.8164	-0.4398	0.1659	2.599	-1.34	-0.4755	0.03619	2.463	-0.5262	-0.2469	0.2263	2.81	13.43	5.325	2.56	11.33	4.441	2.115	2.96	2.666	-2.666	0.1223	0.1472	13.19	64.53	31.95	18.01	30.97	0	17.44	12.25	0	0	0	13.57	6.788	25.81	0.5967	0.2491	0.1968	0.4033	0.7509	0.2064	139.9	58.42	46.16	94.57	176.1	48.41	5.557	-5.557	0.1242	0.1619	0.1637	0.2491	0.2491	0.8363	0.7509	0.5872	38.39	58.42	58.42	196.1	176.1	137.7	5.527	34.86	79.28	18.01	27.77	32.9	17.64	44.2	0	-2.749	127.1	7.954	36.45	39.37	0	2.328	0	17.64	0	23.86	128.3	0.5423	5.17	2.855	7.888	245.2	56.5	1.766	5	0	0	32	5	17	6	0	9	0	0	15	0	3	5	0	33.15	2	0.1111	0	33	2	18	2	0.1111	31	2.029	21.25	12.58	5.585	8.984	5.301	8.041	2.316	5.2	2.105	0.9093	0.8247	1.348	0	0.5495	0	6.395	0.2472	2.844	0.2472	0	0	4.712	0.07857	1.701	0.07857	0	0	3.433	0	1.122	0	4	4	0.8565	9	0	0	0	0	0	0	0	11.6	0	0	1.552	0	-0.2798	0	0	0	0	0	0	5.411	28.23	-0.2575	2.365	5.225	0	-4.371	1.194	0	8	5	1	0	-2.673	0.4695	5.535	11	1	2	3	0	0.4444	0.8	5	0	2	234.5	286.3	16.07	0	23.43	83.54	41.58	80.2	496	27	88	DoesNot
10.63	1.892	0.117	1.028	1.566	-2.617	-0.5722	0.6219	2.559	-2.716	-0.4837	0.6956	2.613	-2.336	-0.4315	0.7549	2.855	0	-0.8544	-0.3627	0.06181	2.723	-1.153	-0.2639	0.1478	2.84	-0.5168	-0.194	0.1736	3.017	14.92	7.32	3.442	11.59	5.605	2.608	3.247	1.154	-1.154	0.1054	0.2764	82.04	34.12	8.619	0	0	0	0	91.46	73.53	0	0	0	0	0.1369	0.9995	0.5696	0.0004722	0.0004722	0.4304	0	289.8	165.1	0.1369	0.1369	124.8	0	2.956	-2.956	0.1249	0.3045	0.7986	0.3539	0.0004722	0.2014	0.6461	0.2009	231.5	102.6	0.1369	58.38	187.3	58.24	8.584	0	0	21.14	6.371	5.513	197.8	36.88	32.9	3.533	21.14	0	0	36.88	6.371	70.63	0	141.1	18.87	5.513	15.27	0.4999	5.459	2.954	8.378	266.4	51.31	1.222	1	12	0	42	1	20	18	0	18	0	0	22	0	2	0	0	48.55	4	0.1818	12	44	0	22	4	0.1818	32	1.735	26.69	13.79	12.5	12.1	11.15	9.898	7.616	7.479	5.862	5.491	3.629	0.7416	0.3333	0.4123	0.2041	7.085	3.966	4.037	2.211	0	0	6.121	2.997	3.025	1.441	0	0	2.272	0.7071	1.094	0.38	0	0	0.6486	9	17.67	0	0	0	0	5.698	0	0	0	0	0	0	0	0	0	2.018	0	0	0	0	0	5.542	3.244	0	0	0	2.495	0	2	1	1	0	3.69	-3.324	8.415	17	1	3	4	0	0.4444	0.8	5	0	3	289.9	410.7	0	0	0	266.2	0	5.683	759	34	102	Crosses
