QikProp_.stars	QikProp_.amine	QikProp_.amidine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in34	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Class
0	1	0	0	2	8	0	1	537.503	8.803	805.109	377.219	67.359	219.68	140.852	1545.287	2	8	0.0501428	0.0140524	0.8028789	52.65	15.692	25.795	15.456	4.054	-4.747	-5.371	-3.747	287.001	0.129	1753.717	-3.282	9.314	0.484	6	0.221	3	81.717	24.847	37.205	72.651	6	1	18	0	18	4	36	0	0.0210487	M
0	1	0	0	2	9	0	1	531.112	8.278	880.128	475.202	67.407	240.927	96.591	1642.948	1	8.5	0.0417082	0.0096577	0.7650714	56.119	16.45	25.33	14.959	4.409	-5.341	-5.086	-4.46	260.556	-0.111	1002.317	-3.112	9.21	0.504	6	0.322	3	83.04	24.868	42.422	64.213	6	1	18	0	18	4	37	0	0.0160042	M
1	0	0	0	2	8	0	0	545.096	7.104	817.67	451.792	77.705	195.023	93.15	1594.01	1	6.25	0.0316588	0.0076437	0.8070763	54.364	15.477	23.56	11.94	5.485	-6.783	-7.169	-2.835	975.229	-0.485	3052.121	-1.497	9.124	0.389	6	0.737	1	86.642	21.443	33.909	77.112	7	2	22	4	18	7	38	1	0.0114659	L
1	1	0	0	2	11	0	1	576.752	5.925	934.523	491.831	63.081	353.003	26.607	1791.556	1.25	10.95	0.0195924	0.0131002	0.7633588	61.852	18.457	28.516	17.494	4.157	-4.99	-5.151	-5.022	335.84	-0.357	459.171	-2.445	9.092	0.961	5	0.117	3	83.54	0	33.728	89.868	8	1	26	0	26	9	41	0	0.0212265	H
15	1	0	0	6	26	0	-2	927.065	11.303	1281.711	492.016	405.099	384.596	0	2604.486	9.75	20.8	0.049051	0.0506729	0.7142599	85.056	30.668	55.866	44.758	-1.153	-1.935	-5.265	-0.469	0.055	-5.899	0.102	-7.197	8.165	-0.375	17	-2.023	1	0	0	102.024	307.835	19	3	32	0	32	9	67	2	0.0700577	M
0	1	0	0	2	9	0	1	499.095	5.356	810.439	413.349	113.872	211.493	71.724	1541.206	2	6.5	0.0186126	0.0113425	0.7961935	51.766	15.813	24.049	14.038	4.043	-4.885	-5.187	-3.816	103.172	-0.602	244.632	-4.072	9.414	0.274	8	0.45	3	86.655	0	37.612	81.068	6	0	18	0	18	4	35	1	0.0184181	M
0	1	0	0	2	9	0	1	513.121	8.428	867.044	507.751	85.336	202.233	71.723	1627.58	1	7	0.0436401	0.0080734	0.7717659	55.134	16.267	24.136	13.273	4.704	-5.624	-5.342	-4.167	177.339	-0.36	479.732	-3.578	9.318	0.192	7	0.61	2	81.781	0	42.054	74.025	6	1	18	0	18	4	36	1	0.013642	M
0	1	0	0	2	9	0	1	527.148	3.739	877.299	538.294	55.787	211.493	71.724	1664.894	1	8.5	0.0083949	0.0096888	0.7743585	56.716	16.436	24.914	14.309	4.504	-5.341	-5.005	-4.169	366.756	-0.025	963.571	-3.001	9.169	0.221	7	0.387	3	86.258	0	37.612	59.647	6	1	18	0	18	4	37	1	0.0161245	H
0	1	0	0	2	9	0	1	545.139	8.858	909.953	561.703	67.148	184.021	97.08	1704.996	1	8.5	0.0460167	0.0093411	0.7585104	58.058	16.669	25.962	14.612	4.736	-5.89	-5.374	-4.295	264.006	-0.12	1014.69	-3.307	9.152	0.284	7	0.489	3	85.062	25.363	42.012	64.724	6	1	18	0	18	4	38	2	0.0155923	H
0	1	0	0	2	9	0	1	541.175	3.913	904.09	598.711	54.243	179.413	71.723	1718.987	1	8.5	0.0089084	0.0094017	0.7676002	58.574	16.744	25.496	14.145	4.818	-5.82	-5.292	-4.125	379.3	-0.018	999.323	-3.086	9.166	0.229	8	0.532	3	88.354	0	37.616	59.601	6	1	18	0	18	4	38	2	0.0157065	H
17	0	0	0	7	30	0	-2	1013.155	5.256	1471.024	624.284	434.747	411.994	0	2910.157	10	24.25	0.0094924	0.0521305	0.6701255	94.982	35.05	60.802	48.139	-1.121	-4.484	-5.987	0.786	0.125	-7.699	0.206	-5.2	7.631	-0.497	18	-2.533	1	0	0	97.376	330.49	21	3	32	0	32	9	73	2	0.0756895	M
1	0	0	0	0	11	0	-2	490.582	14.758	776.211	216.288	166.891	392.862	0.171	1452.792	0	11.5	0.1499154	0	0.7991972	48.675	15.697	24.673	14.295	2.478	-4.115	-6.476	-6.655	258.984	-1.841	115.107	-2.155	8.365	0.367	4	-0.708	3	84.649	0	0	103.62	10	0	22	0	22	0	35	0	0	M
0	1	0	0	2	9	0	0	549.539	4.028	818.812	420.552	90.942	164.646	142.672	1599.722	3	8.25	0.0101408	0.0174514	0.8078741	53.66	16.495	27.242	16.765	3.918	-4.66	-5.427	-3.403	171.531	-0.159	1028.492	-3.814	9.274	0.434	8	0.232	2	76.917	0	37.192	86.783	7	1	18	0	18	4	37	1	0.0260026	M
1	0	0	0	0	11	0	-2	489.594	15.623	777.172	215.606	157.863	403.702	0	1460.582	0	10.5	0.1671183	0	0.8010608	49.091	15.77	24.498	13.325	3.091	-4.656	-6.919	-6.676	315.414	-1.74	142.135	-1.951	8.344	0.263	3	-0.418	3	89.767	0	0	94.297	9	0	22	0	22	0	35	0	0	M
1	0	0	0	2	8	0	0	561.55	6.106	842.93	446.312	89.694	164.158	142.766	1631.402	1	6.25	0.0228558	0.0074146	0.7950861	55.566	16.385	24.072	12.515	5.789	-7.176	-7.51	-2.882	642.947	-0.514	4300.402	-1.826	9.252	0.409	6	0.836	1	85.183	0	42.357	77.588	7	2	22	4	18	7	38	1	0.0111299	L
1	0	0	0	2	7	0	0	545.551	3.984	842.535	427.5	52.242	219.388	143.405	1612.806	1	6.5	0.0098404	0.0077148	0.7894024	55.991	16.391	24.079	12.713	5.885	-7.407	-7.074	-3.237	1603.868	-0.065	10000	-1.037	9.364	0.495	5	0.77	1	92.854	0	37.1	58.71	6	2	22	4	18	7	37	1	0.0119145	M
1	0	0	0	0	11	0	-2	486.59	10.062	776.166	112.963	162.217	500.986	0	1460.937	0	9.5	0.069305	0	0.8022287	50.034	16.485	23.132	13.029	3.664	-5.161	-7.379	-7.121	286.809	-1.78	128.254	-1.688	8.625	1.118	4	-0.149	3	92.383	0	0	85.95	8	0	23	0	23	0	35	0	0	M
1	0	0	0	0	11	0	-2	495.641	15.836	786.259	375.529	151.384	259.345	0	1511.649	0	10.5	0.1658907	0	0.8101528	49.756	15.12	24.513	12.321	3.3	-4.828	-6.658	-5.841	363.347	-1.637	165.619	-2.34	8.324	0.147	2	-0.269	3	92.09	0	0	93.219	9	0	22	0	22	6	35	0	0	M
2	0	0	0	0	12	0	-2	596.746	16.93	949.759	514.991	175.732	259.036	0	1812.044	0	13	0.1581818	0	0.7568285	61.133	18.373	29.663	15.12	3.873	-6.455	-7.711	-6.702	213.517	-2.205	93.228	-2.694	8.349	0.259	2	-0.109	1	65.398	0	0	122.344	12	2	22	0	22	5	42	1	0	M
1	0	0	0	0	11	0	-2	503.621	15.435	811.729	277.002	159.677	374.854	0.196	1511.925	0	10.5	0.1575664	0	0.7848279	50.87	16.133	24.892	13.224	3.38	-5.312	-7.217	-6.801	303.169	-1.827	136.516	-2.086	8.336	0.198	4	-0.269	3	78.195	0	0	88.79	9	1	22	0	22	0	36	0	0	M
0	0	0	0	1	8	0	-2	465.609	6.375	686.253	300.53	116.294	269.015	0.414	1303.846	1.5	7.5	0.0311718	0.0133851	0.8410687	43.458	13.365	21.015	12.121	3.179	-4.591	-6.011	-4.012	724.13	-1.014	381.113	-1.947	8.146	0.682	4	0.039	3	96.744	0	4.179	80.543	6	0	22	0	22	5	33	0	0.0197281	M
0	2	0	1	0	5	0	-1	521.615	2.264	834.867	421.647	173.796	239.424	0	1557.133	1	10.75	0.0032916	0.0128763	0.7782122	55.238	15.959	25.929	15.489	1.155	-4.706	-3.928	-5.907	3.509	-0.854	1.711	-7.524	8.289	0.6	6	0.263	2	30.508	0	0	114.6	10	1	28	0	18	8	38	1	0.0206091	M
0	2	0	1	0	6	0	-1	521.615	6.632	854.153	444.669	174.938	234.545	0	1586.192	1	10.75	0.0277256	0.0125856	0.7700756	55.713	16.259	26.361	15.29	1.318	-4.88	-4.353	-6.016	3.423	-0.968	1.665	-7.467	8.211	0.014	7	0.292	2	31.269	0	0	122.387	10	1	27	0	24	7	38	2	0.0206091	M
0	2	0	1	0	6	0	-1	535.642	5.817	864.523	462.844	167.2	234.479	0	1615.56	1	10.75	0.0209483	0.0124346	0.7702003	56.887	16.47	26.653	15.262	1.557	-5.061	-4.213	-6.013	4.053	-0.88	1.999	-7.324	8.134	-0.068	7	0.371	2	33.978	0	0	115.038	10	1	28	0	18	8	39	2	0.0200694	M
0	2	0	1	0	6	0	-1	549.669	7.267	872.175	476.48	177.848	217.847	0	1650.017	1	10.75	0.0320072	0.0123255	0.7742606	58.108	16.704	27.294	15.239	1.683	-5.195	-4.498	-5.868	3.212	-0.979	1.555	-7.579	8.226	0.02	7	0.466	2	32.913	0	0	118.402	10	1	28	0	18	8	40	2	0.0195572	M
0	2	0	1	0	6	0	0	561.723	4.758	898.732	549.402	144.529	204.8	0	1715.126	1	10	0.0131999	0.0111268	0.77102	60.589	16.986	27.322	14.249	2.635	-5.972	-4.994	-5.859	6.649	-0.622	3.413	-7.011	8.022	-0.3	7	0.804	2	44.143	0	0	101.086	9	1	28	0	18	9	41	3	0.0178024	M
0	2	0	1	0	5	0	-1	521.615	2.264	834.867	421.647	173.796	239.424	0	1557.133	1	10.75	0.0032916	0.0128763	0.7782122	55.238	15.959	25.929	15.489	1.155	-4.706	-3.928	-5.907	3.509	-0.854	1.711	-7.524	8.289	0.6	6	0.263	2	30.508	0	0	114.6	10	1	28	0	18	8	38	1	0.0206091	M
0	2	0	1	0	5	0	-1	519.642	2.655	840.823	434.123	173.896	232.804	0	1573.937	1	10	0.0044802	0.0118931	0.7782495	55.848	16.065	25.75	14.721	1.578	-5.114	-4.136	-5.875	3.501	-0.855	1.707	-7.549	8.23	0.451	7	0.47	2	32.967	0	0	106.605	9	1	28	0	18	9	38	2	0.019244	M
0	2	0	1	0	6	0	-1	533.669	4.598	869.811	475.121	167.115	227.575	0	1632.011	1	10	0.0129561	0.0114967	0.7707059	57.48	16.565	26.343	14.488	1.98	-5.461	-4.421	-5.972	4.06	-0.877	2.003	-7.347	8.081	-0.249	8	0.579	2	36.472	0	0	107.001	9	1	28	0	18	9	39	2	0.0187381	M
0	2	0	1	0	6	0	0	561.723	4.758	898.732	549.402	144.529	204.8	0	1715.126	1	10	0.0131999	0.0111268	0.77102	60.589	16.986	27.322	14.249	2.635	-5.972	-4.994	-5.859	6.649	-0.622	3.413	-7.011	8.022	-0.3	7	0.804	2	44.143	0	0	101.086	9	1	28	0	18	9	41	3	0.0178024	M
0	1	0	0	1	9	0	0	479.636	9.873	729.139	292.354	127.154	309.632	0	1422.756	2	7.5	0.068511	0.0145467	0.8390251	47.963	14.887	23.959	14.162	3.3	-3.454	-5.216	-4.965	109.121	-0.785	72.356	-3.971	9.007	1.171	5	0.3	3	82.743	0	18.731	85.561	6	0	22	0	22	5	34	0	0.0221138	M
0	1	0	0	2	11	0	1	559.707	3.87	922.49	524.187	54.41	343.893	0	1742.38	1.5	9.7	0.0085957	0.0128782	0.7590993	59.797	17.809	27.098	15.91	4.308	-5.428	-5.317	-5.047	466.181	-0.33	402.803	-2.317	8.367	0.198	4	0.252	3	86.973	0	26.165	102.114	9	1	26	0	26	9	41	0	0.0212254	M
2	1	0	0	2	11	0	1	556.703	5.962	937.766	472.07	63.205	402.492	0	1749.775	1.5	9.7	0.0203112	0.0126684	0.7488452	60.653	18.467	27.637	16.475	4.355	-5.665	-5.316	-5.493	378.063	-0.452	327.303	-2.273	8.922	0.667	4	0.265	3	85.617	0	27.119	101.188	8	1	27	0	27	9	41	0	0.0213399	M
0	0	0	0	1	11	1	-2	508.634	8.654	717.946	300.464	169.716	246.954	0.81	1386.673	3	10.2	0.0540113	0.0246076	0.8376374	44.636	14.666	25.531	16.602	2.058	-3.812	-5.732	-3.963	225.715	-1.71	108.554	-2.721	8.658	0.896	2	-0.361	3	68.163	0	4.136	113.243	8	1	22	0	22	5	36	0	0.0347341	M
5	0	0	0	0	7	0	0	471.684	1.934	803.501	418.921	25.17	359.41	0	1527.323	0	1.5	0.0024489	0	0.7982384	53.907	15.135	18.485	4.202	8.776	-9.519	-9.614	-6.511	5717.591	-0.122	3256.924	-0.045	8.903	0.078	11	2.353	1	100	0	0	12.17	1	1	29	0	29	8	36	2	0	L
2	1	0	0	1	8	0	0	641.593	7.225	961.722	418.635	138.924	275.397	128.767	1823.145	2	11.25	0.0286336	0.0165431	0.7504634	64.301	19.767	31.542	19.093	4.544	-6.569	-7.143	-6.235	73.392	-0.849	278.111	-4.404	9.306	0.449	7	0.588	1	73.986	0	26.349	112.915	9	1	29	0	29	9	44	2	0.0247974	L
5	2	0	0	1	8	0	2	723.738	9.277	1056.065	569.149	60.854	297.41	128.653	2081.374	0	12.25	0.0413465	0	0.7465191	74.846	21.234	32.776	16.192	5.647	-6.122	-7.279	-7.13	122.787	0.466	432.327	-4.95	9.213	0.409	6	0.722	2	71.482	0	15.512	82.266	9	2	35	0	35	13	50	1	0	M
1	0	0	0	0	9	1	-1	554.589	4.745	832.563	401.448	84.398	298.251	48.466	1544.438	1	8.95	0.014581	0.0107499	0.776119	52.724	15.352	23.974	12.638	5.139	-6.727	-8.263	-6.577	1568.738	-0.794	1483.24	-1.16	8.57	0.402	4	0.607	1	88.315	46.687	0	101.053	9	2	24	0	24	1	39	1	0.016138	M
1	1	0	0	3	13	0	-2	496.648	9.446	797.497	368.898	197.824	230.776	0	1548.274	5.25	9	0.0576345	0.0258579	0.8115855	49.665	16.753	29.961	22.986	1.083	-1.635	-3.131	-2.284	10.147	-1.824	13.649	-5.167	9.094	0.09	10	-0.661	1	38.339	0	64.136	137.7	8	1	12	0	12	0	36	2	0.0415216	L
1	1	0	0	3	13	0	-2	496.648	7.09	769.653	360.956	169.693	239.004	0	1520.933	5.25	9	0.0330463	0.0267934	0.8310171	48.649	16.296	29.221	21.949	1.15	-1.574	-3.131	-2.009	23.062	-1.46	26.512	-4.619	9.209	-0.088	10	-0.699	1	45.116	0	52.851	132.151	8	1	12	0	12	0	36	1	0.0415216	L
1	1	0	0	3	13	0	-2	510.675	7.763	795.15	382.296	190.137	222.717	0	1566.442	5	10.25	0.0384745	0.0288244	0.8203366	50.315	16.701	30.237	23.107	0.843	-1.615	-2.983	-2.104	14.033	-1.705	16.364	-5.054	9.157	-0.078	10	-0.767	1	39.455	0	55.601	129.624	8	1	12	0	12	0	37	2	0.0448812	M
0	1	0	0	2	12	0	0	467.65	4.971	776.784	434.743	86.921	255.121	0	1530.998	4	7.25	0.0161378	0.0186667	0.8270167	49.848	15.643	26.282	15.651	3.3	-3.609	-3.967	-3.525	262.889	-0.608	187.009	-3.133	9.049	-0.271	8	0.041	3	89.577	0	18.688	88.601	6	0	12	0	12	0	34	1	0.0310061	M
0	0	0	1	0	3	0	-1	202.212	2.905	430.308	41.904	122.325	266.079	0	697.576	1	3.5	0.0120957	0.0081337	0.8839888	22.378	7.63	10.639	7.647	2.186	-2.462	-2.622	-2.871	173.576	-0.661	94.791	-2.549	9.469	0.679	1	-0.414	3	79.826	0	0	65.939	4	0	11	0	11	0	15	0	0.0173085	M
0	0	0	0	0	6	0	-1	320.393	3.17	674.527	186.069	82.82	405.638	0	1129.172	1	5	0.0089004	0.0074126	0.7774497	39.057	12.401	16.893	9.731	4.158	-5.744	-4.754	-7.068	1623.746	-0.712	835.402	-1.041	8.892	0.48	4	0.44	3	100	0	0	57.144	5	0	17	0	17	0	24	1	0.0156058	M
10	1	0	0	5	21	0	-2	751.924	5.865	1045.06	455.389	239.714	349.958	0	2178.49	6.75	12.5	0.0157877	0.0310757	0.7776677	70.887	23.837	41.152	29.587	1.87	-2.65	-5.959	-0.653	3.15	-2.946	5.078	-4.751	8.718	0.179	12	-0.801	1	7.938	0	78.046	207.38	13	3	26	0	26	4	55	2	0.0431905	M
0	0	0	0	0	6	0	0	376.337	4.774	672.23	58.518	82.815	408.165	122.732	1127.778	1	5	0.0202058	0.0074379	0.7794642	39.025	11.605	17.659	9.786	4.621	-6.238	-5.885	-7.047	1623.908	-0.406	3928.848	-1.032	9.094	0.595	4	0.438	1	100	122.732	0	65.573	6	0	17	0	17	0	27	1	0.0132859	M
0	0	0	0	0	11	0	-2	480.64	7.576	722.781	484.754	222.246	15.781	0	1389.983	6	9.35	0.0412966	0.0316869	0.8333571	42.561	14.119	28.398	18.649	1.896	-3.985	-4.988	-4.304	77.329	-2.233	31.101	-4.504	10.388	0.251	8	-0.05	2	58.889	0	0	129.608	7	1	17	0	17	14	34	1	0.0476504	H
0	0	0	0	0	2	0	-1	348.357	6.674	575.333	212.191	124.526	238.616	0	1015.57	1	7.75	0.0438588	0.0134705	0.8492826	35.484	10.439	17.923	12.231	1.742	-3.681	-4.28	-5.109	653.157	-0.708	312.181	-2.782	8.952	1.443	3	-0.192	3	87.527	0	0	90.816	6	0	21	0	21	3	26	0	0.0222474	H
0	0	0	0	0	12	0	-2	508.694	6.302	771.015	555.949	199.284	15.782	0	1494.715	5	9.35	0.0265664	0.0271165	0.8199883	46.11	14.687	27.824	16.923	2.836	-4.681	-5.629	-4.52	127.669	-2.136	53.473	-3.985	10.166	0.283	8	0.199	2	68.286	0	0	121.925	7	1	17	0	17	14	36	1	0.0410998	M
1	0	0	0	0	13	0	-2	520.705	8.178	784.667	525.898	198.501	60.268	0	1529.301	5	9.35	0.0437338	0.0266447	0.8181034	47.277	15.304	28.51	17.033	3.098	-4.73	-5.861	-4.763	129.873	-2.197	54.471	-3.717	10.266	0.197	9	0.236	2	69.955	0	0	118.31	7	1	17	0	17	14	37	1	0.0401517	H
0	0	0	0	0	11	0	-2	508.694	5.949	755.949	577.16	163.007	15.782	0	1472.951	4	9.35	0.0240271	0.0247371	0.8281928	45.881	13.986	26.136	15.396	3.139	-4.722	-5.729	-4.387	281.907	-1.684	125.887	-3.412	10.231	0.287	8	0.26	2	76.22	0	0	109.888	7	1	17	0	17	14	36	1	0.0367608	H
0	0	0	0	0	11	0	-2	494.667	5.684	745.272	544.254	185.239	15.779	0	1438.277	5	9.35	0.0224649	0.0280532	0.826822	44.493	14.071	27.172	16.986	2.606	-4.45	-5.36	-4.409	173.491	-1.906	74.49	-3.822	10.358	0.228	8	0.118	2	82.285	0	0	117.087	7	0	17	0	17	14	35	1	0.0422653	H
0	0	0	0	0	11	0	-2	494.667	6.146	734.467	518.683	200.004	15.78	0	1426.401	5	9.35	0.026485	0.0284658	0.8343604	44.018	14.052	27.162	17.061	2.445	-4.286	-5.36	-4.287	125.678	-2.015	52.572	-4.094	10.229	0.285	8	0.101	2	78.834	0	0	122.408	7	0	17	0	17	14	35	1	0.0422652	H
1	0	0	0	0	13	0	-2	520.705	8.178	784.667	525.898	198.501	60.268	0	1529.301	5	9.35	0.0437338	0.0266447	0.8181034	47.277	15.304	28.51	17.033	3.098	-4.73	-5.861	-4.763	129.873	-2.197	54.471	-3.717	10.266	0.197	9	0.236	2	69.955	0	0	118.31	7	1	17	0	17	14	37	1	0.0401517	H
0	0	0	0	0	11	0	-2	508.694	5.949	755.949	577.16	163.007	15.782	0	1472.951	4	9.35	0.0240271	0.0247371	0.8281928	45.881	13.986	26.136	15.396	3.139	-4.722	-5.729	-4.387	281.907	-1.684	125.887	-3.412	10.231	0.287	8	0.26	2	76.22	0	0	109.888	7	1	17	0	17	14	36	1	0.0367608	H
