moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC.	moe2D_PEOE_PC..1	moe2D_PEOE_RPC.	moe2D_PEOE_RPC..1	moe2D_PEOE_VSA.0	moe2D_PEOE_VSA.1	moe2D_PEOE_VSA.2	moe2D_PEOE_VSA.3	moe2D_PEOE_VSA.4	moe2D_PEOE_VSA.5	moe2D_PEOE_VSA.6	moe2D_PEOE_VSA.0.1	moe2D_PEOE_VSA.1.1	moe2D_PEOE_VSA.2.1	moe2D_PEOE_VSA.3.1	moe2D_PEOE_VSA.4.1	moe2D_PEOE_VSA.5.1	moe2D_PEOE_VSA.6.1	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC.	moe2D_Q_PC..1	moe2D_Q_RPC.	moe2D_Q_RPC..1	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nN	moe2D_a_nO	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_dCH2	moe2D_kS_dO	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_violation	moe2D_logP.o.w.	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb	Activity
2.648	0.312	0.03	0.129	0.327	-2.266	-0.4876	0.5518	2.191	-2.084	-0.3889	0.6483	2.371	-1.98	-0.3654	0.6795	2.489	-0.7753	-0.3189	0.05047	1.83	-0.5737	-0.2052	0.1311	1.999	-0.481	-0.1677	0.1499	2.11	6	5	5.333	4.399	3.391	3.337	2.486	0.3998	-0.3998	0.1537	0.2179	25.59	17.06	0	0	0	0	0	37.5	49.02	0	0	0	0	0	1	0.6698	0	0	0.3302	0	129.2	86.51	0	0	42.65	0	0.8764	-0.8764	0.1712	0.3288	0.8102	0.3795	0.1898	0.1898	0.6205	0	104.7	49.02	24.51	24.51	80.15	0	2.963	0	0	0	0	0	70.57	0	66.65	2.139	0	0	0	0	0	0	0	70.57	0	66.65	0	0.8524	3.322	2.149	4.704	82.15	15.27	0.9544	0	0	16	0	6	6	0	6	0	0	10	0	0	17.23	1	0.2	0	15	2	5	1	0.2	13	0	2.444	10.93	4.828	4.828	4.309	4.309	2.914	2.914	2.155	2.155	1.707	1.052	0	0	0	0	0.9571	0.9571	0.496	0.496	0	0	0.5	0.5	0.2222	0.2222	0	0	0	0	0	0	0	0	0.5525	5	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.855	-2.498	2.937	2	1	0	1	0	0.4	0.6667	3	0	0	129.2	148.7	0	0	122.1	0	0	35	3	18	3.61
4.723	0.845	0.573	0.425	0.827	-2.332	-0.2873	0.4022	2.285	-2.17	-0.2106	0.398	2.462	-2.041	-0.1208	0.5472	2.586	-0.765	-0.313	-0.02036	2.112	-0.7619	-0.1907	-0.03094	2.287	-0.4844	-0.1258	0.107	2.399	7.111	2.722	1.704	5.29	1.94	1.164	1.14	0.6484	-0.6484	0.3352	0.5546	25.59	21.25	0	0	10.32	0	0	51.96	26.72	0	0	0	0	7.768	0.874	0.6019	0.05409	0.126	0.3981	0.07189	125.5	86.44	7.768	18.09	57.17	10.32	1.269	-1.269	0.3545	0.4195	0.874	0.3408	0.05409	0.126	0.6592	0.07189	125.5	48.95	7.768	18.09	94.67	10.32	3.758	0	25.39	0	11.61	0	52.93	0	66.65	2.009	25.39	0	0	0	6.371	0	0	52.93	0	71.9	20.23	0.7642	4.17	2.037	6.021	122.2	23.49	1.236	1	6	19	1	9	8	0	8	0	0	10	0	1	21.55	0	0	6	19	0	9	0	0	13	0	2.409	10.93	6.853	5.853	5.679	5.232	4.198	3.621	2.962	2.738	3.131	2.049	0.7601	0.5244	0.3756	0.311	2.86	2.003	1.352	1.101	0	0	1.817	1.514	0.8054	0.7358	0	0	1.478	0.6735	0.5387	0.3351	0	0	0.6559	5	5.558	0	0	2.501	0	0	0	0	0	0	3.898	0	0	0	9.044	0	0	0	0	0	0	0	0	0	1	1	0	2.229	-1.657	3.793	6	1	1	0	0	0.4	0.6667	3	0	1	143.6	186.3	0	0	119.1	0	13.57	84	10	42	3.86
3.6	0.328	0.03	0.121	0.279	-2.4	-0.01102	0.02744	2.327	-2.219	0.123	0.1378	2.506	-2.114	0.1057	0.2164	2.621	-0.7823	-0.2095	-0.1326	2.086	-0.5858	-0.07794	-0.037	2.253	-0.4862	-0.0543	-0.01739	2.357	8	3.938	7.2	6.41	3.041	5.381	2.436	0.4526	-0.4526	0.1363	0.1673	51.18	8.531	0	0	0	0	0	74.99	28.93	0	0	0	0	0	1	0.6351	0	0	0.3649	0	163.6	103.9	0	0	59.72	0	0.8528	-0.8528	0.1759	0.3241	0.973	0.1768	0.02699	0.02699	0.8232	0	159.2	28.93	4.417	4.417	134.7	0	3.886	0	0	0	6.371	0	35.29	0	133.3	2.919	0	0	0	0	0	6.371	0	35.29	0	133.3	0	0.7579	3.807	2.262	5.612	110.2	20.8	0.9457	0	0	22	0	8	8	0	8	0	0	14	0	0	23.42	1	0.1429	0	21	2	7	1	0.1429	19	0	3.003	15.3	6.569	6.569	6.155	6.155	3.626	3.626	2.911	2.911	3.365	2.488	0.8165	0.8165	0.5774	0.5774	1.321	1.321	0.75	0.75	0	0	0.6667	0.6667	0.3333	0.3333	0	0	0.5774	0.5774	0.3333	0.3333	0	0	0.5579	5	0	0	0	0	0	0	4.241	0	2.706	0	8.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.285	-3.158	3.793	2	1	0	1	0	0.4	0.6667	3	0	0	163.6	197.5	0	0	153.7	0	0	74	5	30	4.46
6.64	0.917	0.277	0.429	0.885	-2.575	-0.2773	0.3701	2.521	-2.455	-0.1419	0.4963	2.685	-2.303	-0.14	0.503	2.804	-0.8108	-0.2887	-0.006036	2.504	-1.335	-0.154	0.111	2.66	-0.5222	-0.1243	0.08543	2.78	11.08	4.481	2.479	8.706	3.445	1.87	2.307	0.805	-0.805	0.154	0.3749	66.41	12.8	17.24	0	0	0	0	4.417	111.8	0	0	0	0	6.651	0.9697	0.5601	0.03033	0.03033	0.4399	0	212.6	122.8	6.651	6.651	96.45	0	1.637	-1.637	0.2443	0.5498	0.8911	0.2181	0.03033	0.1089	0.7819	0.07861	195.4	47.83	6.651	23.89	171.4	17.24	5.903	0	0	0	15.19	2.757	85.83	0	133.3	3.516	32.9	0	0	0	6.371	0	8.822	52.93	0	136.1	26.02	0.6194	4.7	2.441	7.121	177.3	36.27	1.133	0	6	32	1	13	12	0	12	0	0	19	1	0	34.89	2	0.1538	6	32	0	13	2	0.1538	26	0	2.628	20.11	10.01	9.008	8.964	8.387	6.037	5.459	4.919	4.631	4.939	3.871	1.131	0.9388	0.8162	0.744	4.138	3.282	2.418	2.084	0	0	3.313	2.21	1.609	1.179	0	0	2.517	1.75	1.398	1.135	0	0	0.6111	6	6.332	0	0	3.518	0	0	0	0	0	0	8.706	0	0	6.085	0	0	0	0	1.025	0	0	0	0	0	1	1	0	3.516	-3.488	5.717	6	1	1	2	0	0.5	1	3	0	1	219.3	290.1	0	17.74	180.6	0	17.74	234	19	62	4.1
4.346	0.68	0.03	0.09	0.467	-2.342	-0.3893	0.3856	2.301	-2.287	-0.316	0.4901	2.479	-2.058	-0.2211	0.5395	2.591	-0.7924	-0.3708	-0.0756	2.178	-0.8902	-0.2606	0.07777	2.349	-0.4871	-0.1469	0.07635	2.455	9.091	4.133	1.975	7.18	3.178	1.483	2.075	0.8493	-0.8493	0.09555	0.4092	65	55.31	0	0	0	0	0	43.26	12.25	0	0	0	0	5.008	0.9723	0.3347	0.02769	0.02769	0.6653	0	175.8	60.52	5.008	5.008	120.3	0	1.318	-1.319	0.2124	0.2749	0.6958	0.2432	0.02769	0.3042	0.7568	0.2765	125.8	43.98	5.008	55	136.8	50	4.428	0	22	0	13.67	0	52.93	0	104.1	2.012	22	0	0	0	3.186	70.77	0	52.93	0	43.81	18.46	0.684	4.459	2.305	6.62	152.2	30.49	1.326	2	6	23	0	11	9	0	9	0	0	12	0	2	25.45	2	0.1818	6	23	0	11	2	0.1818	17	0	2.487	16.95	8.268	6.853	7.049	6.232	5.291	3.061	3.469	2.244	2.261	1.439	0.5258	0.1925	0.2429	0.125	3.686	1.485	1.674	0.7921	0	0	2.705	0.9756	1.037	0.436	0	0	1.639	0.2722	0.6091	0.1443	0	0	0.681	6	5.736	0	0	2.77	0	0	0	0	0	0	5.279	0	0	0	0	0	0	10.21	0	0	0	0	0	0	2	0	0	2.112	-1.646	4.491	6	1	1	2	0	0.5	1	3	0	1	180.8	223.5	5.008	0	167.3	0	5.008	150	15	50	3.88
7.369	0.811	0.411	0.523	0.645	-2.656	0.0238	0.02775	2.611	-2.557	0.123	0.123	2.723	-2.392	0.1057	0.1981	2.883	-0.7938	-0.186	-0.1322	2.719	-0.7635	-0.09002	-0.037	2.855	-0.5264	-0.0543	-0.05016	2.978	14.06	4.349	3.25	12.02	3.676	2.724	2.762	0.9338	-0.9338	0.2327	0.3847	89.57	16.99	0	0	10.32	0	0	25.37	137	0	0	0	0	7.768	0.937	0.5928	0.02706	0.06303	0.4072	0.03597	268.9	170.1	7.768	18.09	116.9	10.32	1.263	-1.263	0.3563	0.4216	0.937	0.1355	0.02706	0.06303	0.8645	0.03597	268.9	38.9	7.768	18.09	248.1	10.32	7.024	0	25.39	0	14.8	0	35.29	0	233.3	4.296	25.39	0	0	0	9.557	0	0	35.29	0	238.5	20.23	0.5436	5	2.51	7.75	220.4	44.23	1.106	1	6	40	1	16	15	0	15	0	0	24	0	1	43.21	0	0	6	40	0	16	2	0.125	34	0	2.93	26.24	12.72	11.72	11.6	11.15	7.032	6.454	5.878	5.655	7.714	6.485	3.449	3.256	2.867	2.811	4.807	4.002	2.87	2.629	0.5774	0.5774	3.957	2.685	1.922	1.522	0.5	0.5	4.238	3.537	2.545	2.36	0	0	0.6168	6	4.176	0	0	3.757	0	0	0	0	0	0	14.88	0	0	0	10.38	0	0	0	0	0	-0.03551	0	0	0	1	1	0	4.964	-4.909	6.866	6	1	1	2	0	0.3333	0.5	4	0	1	287	357.3	0	0	252.6	0	13.57	392	25	84	5.78
5.138	0.964	0.573	0.452	0.891	-2.334	-0.6498	0.6915	2.295	-2.217	-0.5418	0.7945	2.442	-2.04	-0.5013	0.8464	2.596	-0.7642	-0.3873	0.09529	2.111	-0.7621	-0.262	0.1687	2.278	-0.4684	-0.2074	0.214	2.402	8.1	4	2.286	5.677	2.678	1.473	1.52	0.778	-0.778	0.2793	0.4622	8.531	38.32	0	0	10.32	0	0	23.16	49.02	22.3	0	0	0	7.768	0.8865	0.6414	0.04872	0.1135	0.3586	0.06476	141.3	102.3	7.768	18.09	57.17	10.32	1.864	-1.864	0.2414	0.2856	0.6152	0.5868	0.2655	0.3848	0.4132	0.1193	98.08	93.55	42.32	61.35	65.87	19.03	4.201	0	25.39	0	8.429	0	107.1	0	32.1	2.121	25.39	0	0	0	3.186	18.87	0	88.22	0	37.34	20.23	0.7219	4.322	2.338	6.313	134.2	24.69	1.234	1	6	20	1	10	9	0	9	0	0	10	0	1	23.31	2	0.2	6	20	1	10	2	0.2	13	0	2.297	10.93	7.397	6.397	5.748	5.301	4.843	4.265	3.221	2.997	3.069	1.881	0.4024	0.1667	0.1666	0.1021	2.949	2.189	1.356	1.138	0	0	2.193	1.655	0.8389	0.713	0	0	1.02	0.3536	0.3426	0.1768	0	0	0.6552	6	7.274	0	0	1.278	3.586	0	1.773	0	0	0	0	0	0	0	9.194	0.7288	0	0	0	0	0	0	0	0	1	1	0	2.518	-2.181	4.237	7	1	1	2	0	0.5	1	3	0	1	159.4	204.8	0	0	134.9	0	13.57	121	11	44	3.95
2.509	0.423	0.463	0.859	0.632	-2.444	-0.4489	0.5457	2.384	-2.698	-0.488	0.4594	2.215	-2.192	-0.3576	0.5987	2.62	-0.8329	-0.3096	0.1165	1.714	-1.363	-0.3579	0.036	1.592	-0.5145	-0.1996	0.1452	1.92	4	3	4	4	3	4	3	0.7217	-0.7217	0.2902	0.5456	21.72	23.48	17.24	0	10.32	0	0	0	0	0	0	0	0	14.42	0.7162	0.1654	0.1654	0.2838	0.8346	0.1184	62.44	14.42	14.42	24.74	72.77	10.32	1.67	-1.67	0.2395	0.5928	0.1957	0.1654	0.1654	0.8043	0.8346	0.6389	17.06	14.42	14.42	70.12	72.77	55.71	1.614	0	25.39	0	0	32.9	0	39.37	0	-1.063	58.28	0	0	39.37	0	0	0	0	0	0	46.25	0.9544	2.585	1.459	3.446	61.08	16.4	1.491	2	0	11	2	4	2	0	2	0	0	7	1	1	10.09	1	0.3333	0	10	0	3	1	0.3333	10	0	1.975	6.992	3.414	1.414	2.439	1.414	1.914	0.5	1.224	0.5	0	0	0	0	0	0	0.5	0	0.1291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7107	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4.778	7.75	0.4722	0	0	0	0	0	0	0	0	2	2	0	-1.32	0.9206	1.627	0	1	0	1	0	0.3333	0.5	2	0	0	87.19	85.95	0	0	42.36	0	31.31	10	1	10	1.47
2.551	0.214	0.207	0.577	0.338	-2.616	0.02303	0.1185	2.539	-2.718	0.123	0.2142	2.59	-2.355	0.09627	0.1057	2.796	-0.8412	-0.137	-0.04154	2.033	-1.363	-0.037	0.0542	2.083	-0.525	-0.06373	-0.0543	2.253	5	2.25	4	5	2.25	4	2.25	0.4822	-0.4822	0.2457	0.6793	41.53	0	17.24	0	0	0	0	27.45	18.75	0	0	0	0	6.651	0.9404	0.4735	0.05959	0.05959	0.5265	0	105	52.85	6.651	6.651	58.77	0	0.99	-0.99	0.3636	1	0.7578	0.05959	0.05959	0.2422	0.9404	0.1826	84.59	6.651	6.651	27.04	105	20.38	2.394	0	0	0	3.982	32.9	18.87	0	66.65	0.7436	32.9	0	3.982	0	0	0	0	0	18.87	66.65	26.02	0.9044	3	1.522	4.197	73.14	17.95	1.122	1	0	16	1	5	4	0	4	0	0	11	1	0	15.47	1	0.25	0	15	0	4	1	0.25	15	0	2.54	11.37	4.284	3.284	3.862	3.284	2.27	1.693	2.026	1.693	0.8165	0.8165	0.4082	0	0.2357	0	0.8165	0.4082	0.644	0.4082	0	0	0	0	0	0	0	0	0.4082	0	0.2357	0	1	1	0.5792	3	0	0	0	0	0	0	0	0	0	0	4.074	0	0	5.292	0	1.083	0	0	0.3843	0	0	0	0	0	1	1	0	0.791	-0.1381	2.341	0	1	0	1	0	0.3333	0.5	2	0	0	111.6	126.3	0	0	81.32	0	17.74	18	2	16	2.42
2.442	0.19	0.375	0.403	0.41	-2.572	-0.1493	0.2217	2.534	-2.543	-0.1051	0.2427	2.596	-2.337	-0.06536	0.2962	2.765	-0.8046	-0.2048	-0.05261	1.988	-0.8745	-0.14	-0.02742	2.053	-0.5295	-0.1088	0.01731	2.189	5	2.25	4	5	2.25	4	2.25	0.5239	-0.5239	0.4004	0.7483	34.12	9.17	0	0	10.32	0	0	27.45	18.75	0	0	0	0	7.768	0.8318	0.5016	0.0722	0.1682	0.4984	0.09597	89.49	53.96	7.768	18.09	53.62	10.32	0.68	-0.68	0.5882	1	0.7862	0.0722	0.0722	0.2138	0.9278	0.1416	84.59	7.768	7.768	23	99.81	15.23	2.197	0	25.39	0	6.469	0	18.87	0	66.65	0.7772	25.39	0	6.469	0	0	0	0	0	18.87	66.65	20.23	0.9044	3	1.522	4.197	74.12	17.38	1.159	1	0	15	1	5	4	0	4	0	0	10	0	1	14.51	1	0.25	0	14	0	4	1	0.25	14	0	2.54	10.93	4.284	3.284	3.732	3.284	2.27	1.693	1.951	1.693	0.8165	0.8165	0.4082	0	0.1826	0	0.8165	0.4082	0.5908	0.4082	0	0	0	0	0	0	0	0	0.4082	0	0.1826	0	1	1	0.617	3	0	0	0	0	0	0	0	0	0	0	3.727	0	0	0	8.361	0.8611	0	0	-0.1157	0	0	0	0	0	1	1	0	1.013	-0.2442	2.225	0	1	0	1	0	0.3333	0.5	2	0	0	107.6	120.1	0	0	83.08	0	13.57	18	2	16	1.31
2.39	0.179	0.03	0.419	0.598	-2.407	0.02337	0.03387	2.429	-2.359	0.123	0.123	2.499	-2.175	0.1057	0.1057	2.672	-0.7461	-0.1366	-0.1261	1.856	-0.8106	-0.037	-0.037	1.915	-0.5091	-0.0543	-0.0543	2.076	5	2.25	4	4.021	1.686	2.673	1.356	0.3624	-0.3624	0.3589	0.8216	42.82	0	8.459	0	0	0	0	18.75	18.75	0	0	0	13.57	0	0.8674	0.4989	0.1326	0.1326	0.5011	0	88.78	51.06	13.57	13.57	51.28	0	0.57	-0.57	0.786	1	0.7848	0.1326	0.1326	0.2152	0.8674	0.08265	80.32	13.57	13.57	22.03	88.78	8.459	2.097	23.86	0	0	0	0	18.87	5.688	66.65	0.9854	0	5.688	23.86	0	0	0	0	0	18.87	66.65	17.07	0.9044	3	1.522	4.197	72.11	16.11	1.239	1	0	13	0	5	3	0	4	0	0	8	0	1	13.18	1	0.25	0	12	1	4	1	0.25	11	0	2.669	9.704	4.284	3.284	3.615	3.207	2.27	1.693	1.765	1.561	0.8165	0.7071	0.4082	0	0.1443	0	0.8165	0.4082	0.4979	0.3536	0	0	0	0	0	0	0	0	0.4082	0	0.1443	0	0	0	0.6393	3	0	0	0	0	0	9.812	0	0	0.2546	0	3.433	0	0	0	0	0.6667	0	0	0	0	0	0	0	0	1	0	0	0.572	-0.1384	2.194	0	1	0	1	0	0.3333	0.5	2	1	0	102.3	112.8	13.57	0	74.63	8.459	13.57	18	2	16	1.35
2.286	0.285	0.375	0.441	0.517	-2.151	-0.2691	0.2609	2.132	-2.242	-0.1994	0.3232	2.161	-1.91	-0.03089	0.4798	2.367	-0.7736	-0.3103	-0.02503	1.571	-0.878	-0.2762	-0.0132	1.588	-0.489	-0.0906	0.1423	1.821	5	4	4	3.612	2.592	2.166	1.873	0.5629	-0.5629	0.3743	0.6796	12.8	8.531	14.95	0	10.32	0	0	18.75	15.81	15.81	0	0	0	7.768	0.8273	0.555	0.07416	0.1727	0.445	0.09857	86.64	58.13	7.768	18.09	46.6	10.32	1.08	-1.08	0.4444	0.6296	0.6845	0.376	0.07416	0.3155	0.624	0.2413	71.69	39.38	7.768	33.04	65.35	25.28	2.054	0	25.39	0	34.06	0	0	20.93	33.33	0.002008	25.39	0	0	54.99	0	0	0	0	0	33.33	20.23	0.9044	3	1.846	4.146	70.09	14.54	1.322	1	0	11	1	5	4	0	4	0	0	6	0	1	11.84	1	0.25	0	10	0	4	1	0.25	9	1	2.324	6.559	4.121	3.121	3.154	2.707	2.414	1.707	1.42	1.104	0.8536	0.4268	0	0	0	0	0.7071	0.3536	0.2558	0.1768	0	0	0.3536	0	0.07906	0	0	0	0	0	0	0	0	0	0.647	4	0	0	0	0	0	0	0	0	0	0	1.691	0	0	0	7.893	-0.01736	0	0	0	0	0	0	0	4.934	1	1	0	0.468	-0.6371	2.153	1	1	0	1	0	0.5	1	2	0	0	104.7	108.3	0	0	83.08	0	13.57	20	2	14	3.84
3.136	0.45	0.72	0.741	0.839	-2.173	-0.5238	0.5139	2.159	-2.285	-0.56	0.4676	2.045	-1.932	-0.2847	0.7279	2.39	-0.7734	-0.4029	0.09625	1.622	-0.8817	-0.4881	-0.001417	1.545	-0.4923	-0.1721	0.2407	1.863	6	5	5.333	4.624	3.612	3.605	2.784	0.909	-0.909	0.2318	0.4208	0	17.06	29.9	0	20.65	0	0	0	31.62	0	0	0	0	15.54	0.6847	0.4109	0.1354	0.3153	0.5891	0.1799	78.58	47.15	15.54	36.18	67.61	20.65	1.76	-1.76	0.2727	0.3864	0.4242	0.4109	0.1354	0.5758	0.5891	0.4405	48.68	47.15	15.54	66.09	67.61	50.55	2.195	0	50.77	0	34.06	0	0	41.85	0	-1.026	50.77	0	0	75.91	0	0	0	0	0	0	40.46	0.8524	3.322	2.149	4.704	86.09	17.51	1.459	2	0	12	2	6	4	0	4	0	0	6	0	2	12.64	2	0.4	0	11	0	5	2	0.4	10	1	2.423	6.559	4.828	2.828	3.309	2.414	2.914	1.5	1.59	0.9571	0.7071	0.3536	0	0	0	0	0.9571	0.25	0.2831	0.125	0	0	0.5	0	0.1118	0	0	0	0	0	0	0	0	0	0.7367	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.83	-0.3322	0	0	0	0	0	0	0	4.507	2	2	0	-0.352	-0.1137	2.302	1	1	0	2	0	0.4	0.6667	3	0	0	114.8	116.9	0	0	75.73	0	27.13	35	3	18	3.21
5.267	1.074	0.277	0.417	1.077	-2.291	-0.4361	0.4992	2.237	-2.324	-0.2485	0.7249	2.415	-1.987	-0.2436	0.733	2.56	-0.8069	-0.3319	0.02922	2.028	-1.334	-0.1496	0.24	2.216	-0.4788	-0.123	0.2432	2.345	7.111	2.722	1.704	5.916	2.206	1.346	1.45	0.6103	-0.6103	0.2031	0.4933	19.5	17.32	17.24	0	0	0	0	45.47	41.84	0	0	0	0	6.651	0.9551	0.6348	0.04494	0.04494	0.3652	0	141.4	93.95	6.651	6.651	54.05	0	1.671	-1.67	0.2394	0.5388	0.8386	0.5081	0.04494	0.1614	0.4919	0.1165	124.1	75.21	6.651	23.89	72.8	17.24	4.06	0	0	0	6.686	2.757	85.83	0	72.47	2.231	32.9	0	0	0	3.186	0	3.501	52.93	0	75.23	26.02	0.7642	4.17	2.037	6.021	141.6	25.84	1.52	0	6	17	1	9	8	0	7	1	0	8	1	0	20.93	0	0	6	17	0	9	0	0	11	0	2.409	8.506	6.853	4.853	5.943	4.232	4.198	3.044	3.094	2.238	2.39	1.51	0.7601	0.2887	0.4137	0.1667	2.86	1.531	1.483	0.8127	0	0	1.817	0.945	0.8673	0.4248	0	0	1.478	0.3708	0.6411	0.1796	0	0	0.7699	5	5.579	0	0.6343	1.775	0	0	0	0	0	0	1.978	5.689	0	5.457	0	0	0	0	0	0	0	0	0	0	1	1	0	2.159	-2.314	3.96	6	1	1	0	0	0.4	0.6667	3	0	1	148	183.9	0	17.74	119.8	0	17.74	84	10	42	3.59
