LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Activity
0	12.3	2	1	3	11	4	1	1	1	322.2	94.7	-8.7	210.3	623.3	2.4	0.000561	2	3.4	7.67e-05	227.5	2.6	0	4.3
-0.09	24.9	1	1	2	11	1	8	0	0	432.1	53.6	-3.8	215.9	714.1	2.9	0.00149	1	3.8	0.000256	378.5	4.2	0	4.82
-0.09	29.8	1	1	2	13	1	9	0	0	509.4	54.5	-2.8	251.5	813.2	3.3	0.000414	1	5.1	1.31e-05	454.9	4.7	0	5.27
-0.05	18.1	1	1	2	8	1	5	0	0	344.4	48	-3.5	157.3	542.7	1.9	0.0196	1	2.3	0.00941	296.4	3.2	0	3.51
-0.04	15.9	1	1	2	7	1	4	0	0	326	53.6	-4.6	137.7	485.2	1.6	0.0497	1	1.8	0.0313	272.4	2.8	0	2.94
0	12.7	2	1	3	9	2	0	1	1	291.6	49.8	-6.6	142.3	465.9	1.2	0.0673	2	1.6	0.034	241.8	2.6	0	3.22
-0.04	21.2	0	1	1	9	1	5	0	0	382.8	44.5	-42.3	178.7	599.5	2.3	0.00805	1	2.7	0.00331	338.3	3.4	1	4.4
0.03	10.6	0	0	0	11	0	0	2	2	315.3	0	-1	185	557.9	3.7	0.000417	0	3.7	0.000386	315.3	2.7	0	4.2
0	11.7	1	1	2	11	1	0	2	2	284	27.8	-4	172.7	525.9	2.6	0.00312	1	2.7	0.00282	256.1	2.6	0	4.54
-0.08	22.6	1	1	2	10	1	7	0	0	401.8	39.3	-2.3	196.4	657	2.6	0.00341	1	3.3	0.000852	362.5	3.8	0	4.41
-0.06	20.4	1	1	2	9	1	6	0	0	380.1	62.3	-4.9	176.8	599.8	2.3	0.00805	1	2.8	0.00283	317.8	3.5	0	3.98
-0.03	14.1	1	1	2	9	1	5	0	0	358.9	42.3	-3.4	174.2	581.2	2.1	0.0115	1	2	0.016	316.6	3.2	1	5.49
0	9.1	1	1	2	4	1	1	0	0	238.3	48	-4.2	79.1	313.8	0.3	1.15	1	0.3	1.15	190.3	1.9	0	1.12
-0.1	27.1	1	1	2	12	1	9	0	0	450.5	48	-2.7	235.5	771.6	3.2	0.000662	1	4.3	7.72e-05	402.5	4.5	0	5.22
0	14.8	1	1	2	6	4	1	0	0	278.8	34.7	-5.3	127	424.1	1.2	0.0474	1	1.2	0.0469	244.1	2.1	0	2.8
0	10	0	1	1	6	1	1	0	0	297.8	35.6	-34.4	119.2	409.4	1.2	0.132	1	1.2	0.131	262.1	2.1	0	2.26
0.17	18.1	2	2	4	17	4	2	2	2	461.2	55.2	-7.6	274.2	788.6	3.8	3.6e-05	2	4.3	1.34e-05	405.9	3.1	0	5.94
0.04	15.8	1	1	2	11	5	0	1	1	297.2	31.6	-4.8	197.6	591.6	3.9	6.16e-05	1	4.1	4.11e-05	265.6	2.5	0	5.74
0.05	15.8	1	1	2	11	5	0	1	1	310.3	37.3	-5.4	198.3	596.9	3.9	6.16e-05	1	4.1	4.11e-05	273	2.4	0	5.35
0.44	15.7	1	0	1	12	4	0	1	1	340.1	24.2	-3	209.5	625.7	3.6	0.000137	1	3.6	0.000123	315.9	3	0	5.05
0.02	14.3	0	1	1	10	4	0	1	1	294	57.1	-5.2	183	555.7	3.3	0.000343	1	3	0.000625	236.8	2.7	0	4.74
0	15.6	0	1	1	11	5	0	1	1	308.2	48.5	-4.9	203.6	607.7	3.9	6.27e-05	1	3.7	9.87e-05	259.8	2.5	0	5.93
0.01	11.8	1	1	2	10	1	0	1	1	331.7	22.4	-2.2	169	532.8	2.5	0.00458	1	3.2	0.00129	309.4	2.7	0	4.22
0.06	10.3	0	0	0	6	0	1	0	0	316.7	0	0.7	124.7	430.5	2.4	0.0155	0	3.1	0.00337	316.7	2.2	0	4.08
0.01	14.5	1	1	2	10	4	0	1	1	295.1	45.8	-6.1	178.4	549.8	3.3	0.000338	1	3.4	0.00026	249.3	2.4	0	5.34
2.4	14.3	0	1	1	10	4	0	1	1	307	48.5	-4.8	184.3	565.8	3.3	0.000343	1	3	0.000625	258.6	2.4	0	4.59
0.04	14.5	1	1	2	10	4	0	1	1	308.5	41.6	-5.7	179	555	3.3	0.000338	1	3.4	0.00026	266.9	2.3	0	4.64
0	11.8	1	1	2	10	1	0	1	1	340.3	26.3	-2.5	169.7	540.7	2.5	0.00458	1	3.2	0.00129	314	2.8	0	4.02
0.12	10.3	1	1	2	19	1	3	1	1	539.2	3.7	3.6	332	928.7	4.9	4.95e-06	1	6.4	2.67e-07	535.5	3.6	0	6.39
0	15.1	1	0	1	11	3	1	1	1	332.2	31.8	-3.9	194.2	599.3	2.7	0.00124	1	2.6	0.00167	300.4	2.7	0	4.21
0.01	13.3	0	1	1	9	3	0	1	1	280.1	46.9	-4.4	164	514.1	2.7	0.00193	1	2.4	0.00395	233.2	2.5	0	4.07
0.01	14.3	1	0	1	10	3	0	1	1	304.6	47.3	-6.7	172.8	536.9	2.7	0.00169	1	3	0.000913	257.3	2.4	0	4.99
0.01	13.5	1	1	2	9	3	0	1	1	278.1	39.4	-5.2	158.5	501	2.7	0.0019	1	2.8	0.00165	238.7	2.3	0	4.3
0	12.1	0	0	0	9	2	0	1	1	301.2	0	-1	171	533.4	3.8	0.000241	0	3.8	0.000226	301.2	2.6	0	4.54
1.26	15.5	3	0	3	12	3	0	1	1	338.7	51.3	-8.4	182.6	579.1	1	0.0572	3	1.9	0.00972	287.4	3	0	3.92
0.01	7.4	1	1	2	8	1	2	0	0	341.2	23.3	-0.3	153.9	502.9	1.9	0.0196	1	2.1	0.0145	317.8	2.4	0	2.85
0.05	13.4	0	0	0	6	0	1	0	0	293.9	0	0.6	123.2	430.5	2.4	0.0155	0	2.9	0.00572	293.9	2.5	0	3.61
0	11.4	1	1	2	9	1	0	1	1	298.3	30.5	-3.2	152.1	491.7	2.2	0.0108	1	2.6	0.00479	267.8	2.6	0	3.86
0	14.4	0	0	0	8	0	1	0	0	362.6	0	0.7	158.3	527.1	3	0.00251	0	4	0.000415	362.6	2.8	0	4.46
0.22	12.1	0	1	1	13	1	2	1	1	415.9	18.7	0.7	231.3	693.7	3.4	0.000411	1	4	0.000126	397.1	3.2	0	4.1
0	13.8	2	0	2	11	2	0	1	1	371.1	6.3	-2.8	181	573.6	1.9	0.0117	2	2.7	0.0024	364.8	3	0	3.88
0	10.8	1	1	2	16	1	2	1	1	491.1	3.7	2.5	277.3	798.8	4.2	4.21e-05	1	5	7.89e-06	487.4	3.4	0	5.78
0.07	13.5	1	1	2	10	1	2	1	1	340.5	29.7	-3.2	170.4	536.8	2.4	0.00566	1	2.9	0.00218	310.8	2.7	0	3.95
0	15	1	2	3	4	2	1	0	0	236.9	108.8	-73.6	67.3	278.7	-1.1	17.5	2	-1.6	52.6	128.1	1.8	0	1.47
0	12.2	0	1	1	5	1	1	0	0	271.9	48	-46.6	100.6	370.9	0.8	0.374	1	0.8	0.404	223.9	2	1	2.42
0	8.6	1	1	2	5	1	1	0	0	268.5	36.7	-2.5	98.4	366.6	0.8	0.374	1	0.8	0.399	231.7	2.1	1	1.31
0	11.8	1	0	1	5	1	1	0	0	258.1	32.4	-1.8	94.4	357	0.7	0.515	1	0.3	1.13	225.8	2.1	0	1.35
0	7.9	1	1	2	5	1	1	0	0	259.9	43.7	-4.3	94.5	354.5	0.7	0.533	1	0.1	1.51	216.3	2.4	0	3.84
0	12.3	2	2	4	6	2	2	0	0	279.7	111.4	-11.5	99.8	371.4	-0.2	2.3	2	-0.9	9.24	168.3	2.6	0	3.21
2.35	12	0	1	1	9	2	0	1	1	293.6	46.9	-3.9	160.8	509.7	2.5	0.00461	1	2.3	0.00674	246.6	2.7	0	3.59
0	13.4	1	0	1	10	3	0	1	1	278	35.2	-4.9	158	495.5	2.5	0.00302	1	2.6	0.00288	242.8	2.4	0	4.23
0	9.1	0	0	0	8	1	0	1	1	288	0	-0.6	150.2	477.4	3.2	0.00136	0	3.2	0.00143	288	2.4	0	4.23
0	11.5	1	0	1	10	2	1	1	1	312.8	60.3	-4.6	185.6	555.7	2.4	0.00423	1	2.7	0.00229	252.4	2.7	0	4
-0.06	25.3	1	0	1	11	1	7	0	0	423.4	24.7	0.2	211.7	700.1	2.7	0.00204	1	3.2	0.000838	398.7	4	0	4.5
0	15.6	1	0	1	9	2	0	1	1	318	8.4	-3.5	155.4	502.1	1.4	0.0516	2	1.6	0.0331	309.6	2.6	0	2.98
0.2	19.6	1	2	3	10	2	4	0	0	376.9	38.5	-2.9	181.5	571.1	1.4	0.0348	2	0.9	0.095	338.4	2.6	0	2.86
-0.09	29.8	1	0	1	13	1	9	0	0	469.8	32.4	-0.1	250.8	814.6	3.3	0.000414	1	4.2	7.59e-05	437.4	4.7	0	5.19
0	16.6	3	0	3	9	3	4	0	0	394.3	37.7	-3.1	153.3	547.9	0.5	0.237	3	0.6	0.214	356.6	3.2	0	3.5
-0.02	16.4	1	1	2	9	1	5	0	0	391.3	44.4	-2.6	174.3	575.3	2.3	0.00805	1	2.7	0.00327	346.9	3	1	3.66
0	21.6	1	2	3	6	2	3	0	0	304.3	50.3	-11.2	110	411.5	-0.1	1.62	2	-0.7	5	254	2.4	0	1.78
0	11.9	1	0	1	9	2	0	1	1	253.2	43.1	-5.4	138.4	448.1	1.9	0.0173	1	1.9	0.0182	210.1	2.3	0	4.96
-0.02	18.5	1	0	1	8	1	4	0	0	343.5	24.7	-0.4	153.1	528.6	1.8	0.027	1	1.7	0.0307	318.7	3	0	2.94
0	16.3	1	0	1	7	1	3	0	0	316.7	22.6	-0.3	133.6	471.5	1.4	0.0684	1	1.2	0.102	294.1	2.7	0	2.37
0	16.9	4	1	5	13	4	0	1	1	359.3	84.7	-12.2	186.4	589.3	0.9	0.0463	4	2.2	0.00415	274.6	3.1	0	4.83
0	14.5	2	1	3	10	3	0	1	1	290.5	81.7	-10.5	163.6	515.4	2.2	0.00307	2	2.9	0.000722	208.7	2.7	0	5.19
0	14.2	2	1	3	10	3	0	1	1	278.1	81.7	-10.1	157.1	499.3	2	0.00887	2	2.7	0.00246	196.3	2.5	0	5.31
0	12.8	2	1	3	9	2	0	1	1	269.4	81.7	-9.8	136.2	443.4	1.4	0.0515	2	2	0.0156	187.7	2.3	0	4.73
0	13.4	3	1	4	8	3	3	0	0	310.1	69.9	-7.1	126.6	454.6	0.1	0.805	3	-0.2	1.45	240.2	2.8	0	4.38
0	13.9	3	1	4	9	3	3	0	0	333.5	67.6	-7	144.7	504.5	0.4	0.303	3	0.3	0.39	265.8	2.9	0	2.76
0	12.9	3	1	4	9	3	3	0	0	343.2	62.3	-5.4	145.7	506.4	0.4	0.303	3	0.2	0.503	280.9	2.9	1	4.59
0	16.2	1	1	2	5	2	2	0	0	272.7	58.9	-55.5	91.4	352.9	-0.5	4.99	2	-0.9	10.5	213.8	2.2	0	2.16
0	7.4	1	1	2	5	1	1	0	0	271.3	34.7	-2.6	98.2	362.1	0.8	0.374	1	0.8	0.399	236.6	2	0	1.69
0	7.2	1	1	2	5	1	0	0	0	269.3	35.7	-2	98.1	360.5	0.8	0.374	1	0.7	0.43	233.6	1.9	0	1.06
0	9.8	1	0	1	7	1	0	1	1	266	18	-3.1	123.2	414.7	0.8	0.249	1	1.4	0.092	248	2.3	0	2.02
0	11.7	1	1	2	11	1	0	2	2	281.4	49	-6.1	172.9	528.1	2.6	0.00312	1	2.7	0.00282	232.5	2.7	0	4.62
-0.05	23	1	0	1	10	1	6	0	0	390.6	32.4	-0.7	192.1	642.8	2.4	0.00469	1	2.7	0.00278	358.2	3.7	0	3.97
-0.04	20.8	1	0	1	9	1	5	0	0	376.4	30.5	-0.7	172.6	585.7	2.1	0.0111	1	2.2	0.00925	345.9	3.4	0	3.45
0	14	1	0	1	6	1	2	0	0	296.6	22.6	-0.5	114	414.2	1.1	0.182	1	0.7	0.339	274	2.4	0	1.84
0.01	14.8	2	1	3	10	2	2	1	1	337.7	55.5	-7.4	164.1	532.5	1.3	0.0468	2	1.1	0.0709	282.2	3	0	2.6
-0.01	10.1	2	0	2	8	2	1	1	1	255.6	98	-8.9	145.2	458.7	-0.1	1.4	2	0.4	0.547	157.6	2.3	0	2.16
1.07	19.1	0	2	2	16	4	0	2	2	364.9	92	-8	264.6	764	3.6	7.78e-05	2	3.2	0.000162	272.9	3.6	0	5.09
0	9	1	0	1	7	1	1	0	0	306.2	22.6	-0.1	131.7	442.7	1.4	0.0684	1	1.1	0.127	283.6	2.2	0	3.06
0	12.3	0	1	1	7	1	2	0	0	324.5	56.3	-54.8	137	457.3	1.6	0.0497	1	1.7	0.0394	268.2	2.4	0	2.23
0	13.3	0	1	1	9	3	0	1	1	276.2	57.8	-5.1	163.5	510.8	2.7	0.00193	1	2.4	0.00395	218.4	2.7	0	4.32
0	12.1	0	0	0	9	2	0	1	1	299.2	0	-0.9	171.2	534.3	3.8	0.000241	0	3.8	0.000226	299.2	2.8	0	4.74
0	11.4	1	1	2	9	1	0	1	1	305.6	48.8	-5.2	150.8	485.1	2.2	0.0108	1	2.6	0.00479	256.8	2.6	0	3.94
0	14	1	1	2	5	2	2	0	0	257.8	48	-5.9	102.4	376.5	0.8	0.266	1	0.6	0.391	209.8	2.1	0	2.07
0	14.9	3	1	4	11	3	0	1	1	317.5	96.7	-12.4	161.7	519.9	1.2	0.0494	3	1.1	0.0613	220.8	2.7	0	3.12
0	10	1	0	1	6	1	1	0	0	309.1	25.2	-0.6	113.6	405.7	1.1	0.182	1	0.7	0.392	283.9	2.2	0	2
0	11.7	1	1	2	7	1	2	0	0	307.3	20	0.1	134.6	453.8	1.6	0.0497	1	1.7	0.0389	287.3	2.3	0	2.18
0.01	11.8	1	0	1	6	1	2	0	0	295.2	50.2	-4.5	113.5	401.8	1.1	0.182	1	1.2	0.13	244.9	2.1	0	4.42
0	9.8	1	0	1	7	1	0	1	1	267.6	25.2	-4.3	123.1	412.1	0.8	0.249	1	1.4	0.092	242.4	2.2	0	2.81
-0.02	14	1	0	1	6	1	2	0	0	294.7	22.1	-0.2	113.8	413.1	1.1	0.182	1	0.7	0.339	272.6	2.4	0	1.75
0	11.6	2	0	2	8	2	0	1	1	260.5	73.2	-10.6	124.8	415.3	-0.1	1.33	2	0.5	0.372	187.3	2.2	0	3.81
0.01	15.6	2	1	3	10	2	3	1	1	343.9	78.4	-10.3	167	540	0.7	0.174	2	0.9	0.114	265.4	2.9	0	2.96
0.01	10.3	1	0	1	12	4	2	1	1	382	67	-3.9	191.3	577.3	2.3	0.00382	1	2.5	0.00259	315	2.6	0	3.56
0	12	2	0	2	9	2	0	1	1	279.2	46.5	-5.4	143.3	466	0.2	0.524	2	0.5	0.316	232.7	2.5	0	2.86
0	15.2	1	1	2	11	2	1	1	1	332.4	68.1	-4.6	179.4	566	1.5	0.0249	2	1.2	0.0441	264.3	3.1	0	3.01
0	14.3	2	0	2	14	2	0	2	2	359.3	44.8	-6.9	216.4	642.2	1.5	0.015	2	2	0.00616	314.5	3.2	0	3.25
0	12.1	0	1	1	8	2	0	1	1	285.6	60.9	-5.5	150.1	478.1	2.3	0.00383	1	2	0.00732	224.7	2.9	0	3.56
0	17.5	0	1	1	11	1	3	1	1	389.5	48.9	-2.4	198.3	625.2	2.8	0.00203	1	3.1	0.00116	340.7	3.4	0	4.17
0	12.6	1	0	1	9	2	0	1	1	288.3	47.3	-6.8	152.9	488.3	2.1	0.00949	1	2.4	0.00578	240.9	2.4	0	4.81
-0.05	31	0	1	1	17	1	9	1	1	587.8	43.8	-0.5	315.9	968.7	4.4	2.07e-05	1	6	8.63e-07	544	5.4	0	6.57
0.03	17.6	1	0	1	11	2	0	1	1	332.3	37.9	-6.6	180.5	564.6	1.5	0.0249	2	1.9	0.0125	294.4	3	0	3.51
0.01	15.7	2	0	2	11	2	1	1	1	343.8	45	-5.3	177.9	569.9	1.5	0.0245	2	2.3	0.00567	298.8	3.2	0	3.74
2.21	13	0	1	1	9	1	1	1	1	319.3	48.9	-3	159.4	510.6	2.2	0.011	1	2.1	0.0128	270.4	2.8	0	3.22
-0.03	23.7	1	1	2	14	2	5	1	1	460.4	56.1	-2.9	246.6	772.6	2.8	0.00105	2	3.6	0.000201	404.4	4.5	0	4.78
0	12.3	1	0	1	11	1	1	1	1	360.8	37.6	-3.6	186.9	581.4	2.5	0.00417	1	3.2	0.00103	323.2	3	0	4.35
0	12.7	2	1	3	9	2	0	1	1	288.6	50.5	-6.6	142.2	465.8	1.2	0.0673	2	1.6	0.034	238.1	2.6	0	3.27
0	12.3	1	0	1	7	1	2	0	0	329.7	19.7	-0.1	132	456.2	1.4	0.0684	1	1.2	0.118	310	2.4	0	2.27
0	10.8	0	1	1	8	1	0	1	1	284.6	48.9	-3.7	140.4	457.4	1.9	0.0268	1	1.6	0.0426	235.7	2.5	0	2.83
0	9.8	1	0	1	7	1	0	1	1	262	16.2	-2.9	123.2	412.3	0.8	0.249	1	1.4	0.092	245.8	2.2	0	2.36
0	26.5	0	1	1	15	1	7	1	1	526.6	63.2	-2.6	276.5	853.9	3.9	8.96e-05	1	5.1	9.53e-06	463.3	4.7	0	6.24
0.1	15	2	1	3	14	2	0	2	2	396.6	71.3	-8.4	218.3	652.5	2.8	0.00116	2	3.6	0.000247	325.4	3.3	0	4.58
1.03	14.4	1	0	1	12	1	0	2	2	322.7	18.6	-4.2	196.6	587.1	2.2	0.0063	1	2.6	0.00297	304.2	3	0	3.98
0	24.6	1	1	2	11	2	6	0	0	416.7	31.7	-1.8	203.3	664.1	1.6	0.0203	2	0.9	0.07	385	3.3	0	2.67
0.01	12.4	1	0	1	9	1	1	1	1	340	15.4	-1.8	160	519.7	1.5	0.0403	1	2.4	0.00746	324.6	2.8	0	3.17
0	14.5	1	0	1	8	1	3	0	0	338.7	22.4	-0.1	151.7	514.1	1.8	0.027	1	1.7	0.0355	316.4	2.7	0	2.86
-0.01	23	1	0	1	10	1	6	0	0	403.6	22.1	0.7	191.9	641.9	2.4	0.00469	1	2.7	0.00278	381.5	3.7	0	3.66
0	9.1	1	0	1	3	1	0	0	0	210.6	52.3	-6.7	55.9	242.5	-0.3	5.58	1	-0.2	4.14	158.2	1.5	0	3.11
0	7.9	2	0	2	4	2	0	0	0	207	100.7	-82.7	61.2	260.2	-0.4	4.97	2	0.1	1.96	106.3	1.6	0	2.85
0	9.5	1	0	1	4	1	0	0	0	228.9	41.3	-3.1	75	300.8	0.2	1.59	1	-0.2	3.75	187.6	1.8	0	0.85
0	6	2	0	2	5	2	0	0	0	240.9	61.1	-3.2	85.2	330.5	0.1	1.44	2	1.2	0.176	179.8	2	0	2.12
0	6.7	1	0	1	3	1	0	0	0	202.3	58.9	-3.4	79.2	289.1	-0.3	5.86	1	-0.1	4.18	143.5	1.6	0	1.49
0	11.8	1	0	1	9	1	0	1	1	290.6	30.5	-2.9	150.5	482.7	1.8	0.0226	1	1.7	0.031	260.1	2.6	0	2.87
0	11.5	1	0	1	14	1	0	3	3	330.1	4.6	-2.1	218.6	642.1	3.1	0.000769	1	3.3	0.000454	325.5	3.2	0	4.89
0	22	4	0	4	10	4	5	0	0	316.2	167	-136.7	146.1	508.1	0.4	0.238	4	0.2	0.357	149.2	2.6	0	3.18
0	10.4	0	1	1	7	1	0	1	1	252.9	60.9	-4.9	122.8	406.1	1.5	0.0679	1	1.1	0.158	192	2.2	0	3.03
0	11.4	1	0	1	8	1	0	1	1	263.5	40.5	-6.2	132.1	432.6	1.5	0.0552	1	1.7	0.0366	223	2.3	0	3.93
0	9.2	0	0	0	6	0	0	1	1	239.5	0	-0.7	112.7	377.6	2.3	0.02	0	2	0.0335	239.5	2	0	3.5
0	9	1	0	1	8	1	1	1	1	268.9	72.8	-5.3	151.6	470.7	1.5	0.058	1	1.5	0.0537	196.1	2.3	0	2.98
0.06	14.1	1	0	1	14	1	0	2	2	374	23.4	-3.7	223.4	658.7	3.1	0.000731	1	3.1	0.000605	350.6	3.2	0	4.11
0	11.4	0	1	1	8	1	1	1	1	288.6	60.9	-61.3	137.9	451.1	1.6	0.0446	1	1.1	0.125	227.7	2.5	0	3.02
1.26	14.2	0	0	0	12	0	0	2	2	323.6	0	-1.3	203.8	603.6	3.9	0.000231	0	3.8	0.000292	323.6	3.1	0	4.8
0	11	0	0	0	7	1	0	1	1	263.4	0	-1.4	140.1	449.8	3	0.00113	0	2.9	0.00155	263.4	2.6	0	4.45
0	13.6	1	0	1	5	1	2	0	0	264.6	50.2	-5	95.1	358.8	0.7	0.515	1	0.8	0.375	214.3	2.1	0	3.65
0	11	1	0	1	11	1	0	2	0	372.3	43.1	-1.6	182.9	558.2	2.4	0.00473	1	3	0.00122	329.2	2.4	2	3.14
