LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Class
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DoesNot
0	36.6	1	1	2	21	4	4	3	2	545.1	7.8	-10.9	351.7	987.9	4.4	4.66e-06	2	5.2	1.05e-06	537.3	4	0	Crosses
0.02	18.2	1	2	3	14	5	0	2	1	462.6	44	-8.3	230.1	697.1	3.5	0.000143	3	1.9	0.00346	418.6	3.2	0	Crosses
2.43	26.6	3	2	5	22	4	0	5	1	521.4	51.4	-12.3	310.4	861.1	2.2	0.000572	4	2	0.00086	469.9	3.4	5	Crosses
0.17	26.5	4	2	6	25	4	2	4	0	625.3	126	-10.1	363.7	983.2	2.4	0.000166	4	2	0.000377	499.3	3.7	7	Crosses
1.12	31.7	5	5	10	17	8	2	2	0	397.6	202	-19.5	222.3	687.4	-1.6	2.45	8	-2.3	8.8	195.6	3.4	4	DoesNot
1.18	35.8	0	1	1	20	2	4	3	2	570.7	19.6	-22.2	328.3	932.9	3.6	5.46e-05	2	4.8	5.65e-06	551.1	3.8	0	Crosses
2.64	25.3	5	1	6	27	6	1	5	1	633	69.9	-11.6	378.3	1069.2	2.7	5.66e-05	6	1.8	0.000366	563.1	4	5	Crosses
0.02	27.5	2	0	2	20	4	0	3	2	506.8	43.8	-4.9	306.3	871.7	3.4	7.21e-05	3	2.7	0.000262	463	3.5	0	Crosses
0	16.4	2	3	5	11	3	2	1	1	333.8	143.7	-79.1	165.6	531.8	1.3	0.04	3	0.4	0.224	190.1	3.1	0	DoesNot
0	23	3	4	7	13	4	3	1	1	387.2	130.2	-35	193.7	614.4	0.8	0.0634	4	-0.7	1.12	257	3.3	1	DoesNot
0.03	5.6	4	2	6	17	6	5	1	1	490.1	214.2	-24.5	250.9	774.5	1.8	0.00319	6	0.8	0.0257	275.8	3.5	0	Crosses
0.04	51.4	2	3	5	30	8	7	4	2	703	44	-10.7	452.4	1258.7	3.8	2.43e-06	4	4.1	1.16e-06	659.1	4.8	0	Crosses
4.22	18.7	3	2	5	10	5	4	0	0	307.7	213.6	-126.7	139.4	482.8	-3.4	393	5	-4.5	3710	94.1	2.6	1	DoesNot
0.07	32.1	2	2	4	26	5	5	3	2	652.3	46.6	-8.9	411.4	1168.8	3.7	7.25e-06	3	4.2	2.92e-06	605.7	5.2	0	Crosses
-0.03	38.5	3	2	5	26	5	9	2	1	751.5	35.3	-6.3	430.8	1292.5	4.2	3.66e-06	5	5.8	1.46e-07	716.2	6.1	0	Crosses
0.01	16	1	2	3	8	3	2	1	1	292.8	100.9	-59.8	128.5	439.7	0.2	0.681	3	-0.7	4.01	191.9	2.7	0	DoesNot
0.1	29.6	5	3	8	26	5	2	4	0	555.6	158.2	-13.6	369.5	994.2	1.6	0.000596	5	1.6	6e-04	397.4	3.7	7	DoesNot
0.11	37.8	2	3	5	26	5	8	3	2	720	54.3	-11.1	425.2	1205.3	3.2	2.21e-05	4	2.4	0.000108	665.7	4.5	1	Crosses
1.44	23.6	5	3	8	17	8	2	2	1	419	152	-17.4	237.4	725.4	0.7	0.00414	7	-0.4	0.0346	267	3.9	3	DoesNot
0.9	32.6	0	1	1	21	2	4	3	2	597.4	4.2	-7.4	349.8	983.4	3.9	2.73e-05	2	5	2.95e-06	593.3	3.9	0	Crosses
0	6.4	1	1	2	4	1	0	0	0	242.8	44.1	-3.6	78.9	311.4	0.3	1.15	1	0.3	1.33	198.7	1.8	0	Crosses
4.38	20.8	1	1	2	23	2	7	2	2	599.4	8.9	-1.4	375.2	1003.9	4.1	1.08e-05	2	4.2	9.5e-06	590.4	3.5	1	Crosses
1.55	31.8	2	2	4	34	5	7	4	3	775.6	39.9	-8.3	535.1	1427.3	4.4	3.92e-07	4	5.1	8.35e-08	735.7	4.8	0	DoesNot
0	36.6	6	6	12	12	6	5	0	0	340.5	199.3	-22.1	162.8	545.7	-2.5	40	6	-3	110	141.2	3	4	DoesNot
1.11	19.8	3	1	4	15	4	2	1	1	463.7	82.1	-65.1	235.3	734.8	1.1	0.0198	4	0.8	0.0336	381.6	3.6	0	DoesNot
0.8	40.8	3	1	4	26	5	4	4	2	597.3	50.7	-7.4	418.5	1154.1	4.2	2.37e-06	3	5.6	1.45e-07	546.6	4.3	1	DoesNot
7.44	39.5	6	6	12	33	13	7	3	2	666.9	349.4	-177.6	449.3	1276.2	2.3	3.12e-05	13	-2.2	0.218	317.5	5	1	DoesNot
0	16.6	2	0	2	15	3	1	2	1	444.2	62.3	-4.6	227.8	681.3	1.6	0.00816	3	1.4	0.012	381.9	3	1	Crosses
0.01	31	3	2	5	19	4	8	1	1	609.2	58.3	-13.8	319	985.8	1.7	0.0027	4	1.7	0.00248	550.9	5.3	1	Crosses
0.19	47	8	6	14	32	14	2	2	1	743.1	225.7	-25.5	466.1	1295.6	0.8	2.51e-06	11	0.1	9.91e-06	517.4	5.1	5	Crosses
2.44	25.9	3	3	6	21	4	0	5	1	478.1	81.2	-15.2	289.2	799.5	2.4	0.000422	4	1.4	0.00328	396.9	3.2	5	DoesNot
0.02	17.5	1	1	2	12	2	1	2	1	407.5	39.2	-13.3	196.7	597.8	1.5	0.0196	2	1	0.0569	368.3	2.7	1	Crosses
0.01	18.6	3	4	7	12	4	2	1	1	338	173.2	-76.8	170.7	543.6	0.4	0.15	4	-1.2	3.54	164.8	3.1	1	DoesNot
0	16.9	3	0	3	9	3	0	1	0	358.8	19.3	0.4	146.4	500.3	0.7	0.173	3	0.7	0.174	339.5	2.5	0	Crosses
0	18.9	3	0	3	10	4	0	2	1	320.1	82.1	-12.8	145.9	476.5	1.7	0.0233	4	0.9	0.111	238.1	2.4	0	Crosses
0	52.4	2	3	5	27	6	6	4	2	693.2	60.9	-17.6	433.3	1207.3	3.7	4.74e-06	4	3.8	3.82e-06	632.3	4.7	0	Crosses
0	13.6	0	1	1	9	1	2	1	1	326	70.9	-71.8	157.3	505.5	1.9	0.0183	1	1.3	0.0581	255.1	2.8	0	Crosses
0.07	16	3	2	5	17	5	2	2	1	443.1	159.2	-12	236.9	692.4	1.2	0.0124	5	1.3	0.00932	283.9	3	0	Crosses
0.96	13.3	2	2	4	19	4	2	3	2	476.2	119.7	-11.7	273.6	777.2	2.7	0.000419	4	2.2	0.0013	356.6	3.3	0	Crosses
0.01	25.9	2	2	4	17	4	5	1	1	490.5	80	-6.2	279.8	851.2	1	0.0159	4	2	0.00236	410.5	4	0	Crosses
0	35.6	1	1	2	20	3	4	3	2	530.4	7.8	-10.7	330.8	933.6	3.9	2.25e-05	2	4.6	6.66e-06	522.6	4	0	Crosses
0.03	24.9	2	2	4	19	3	5	2	2	496.2	39.4	-9.6	308.5	923.9	2.5	0.000545	3	2.6	0.000481	456.8	4.7	1	Crosses
10.25	29.9	6	3	9	26	10	6	3	0	580.4	197.5	-15.8	350.5	1025.4	-1.5	0.288	10	0.3	0.00724	382.9	4.2	3	Crosses
0	23.1	0	2	2	6	2	3	0	0	284.8	122.6	-123.1	108.8	399.7	-0.1	1.62	2	-0.6	4.82	162.2	2.6	0	DoesNot
2.27	31.3	4	3	7	21	8	10	1	1	664.6	117	-15.9	338.7	1035.5	1.2	0.00123	7	0.3	0.00723	547.6	5.7	0	DoesNot
2.2	44.2	9	2	11	44	11	3	6	3	967.4	82.3	-17.4	633.4	1751.7	2.3	2.5e-06	11	3.3	3.3e-07	885.2	6.5	6	DoesNot
0.1	19.3	3	1	4	20	4	2	3	1	553.2	85.9	-8.3	305.3	910.9	2.1	0.00101	4	2.7	0.000283	467.4	4	1	Crosses
3.63	33.1	3	3	6	22	5	7	2	1	599.8	85.8	-9.2	349.8	1052.3	1.5	0.00172	5	2.1	0.000609	514	5.5	0	DoesNot
0.16	22	2	2	4	13	3	2	2	1	357.4	139.2	-76.3	193.5	602.1	0.9	0.0565	3	1	0.0435	218.2	3.2	0	DoesNot
2.61	23.2	3	3	6	18	6	5	1	1	535.6	133.3	-17.7	287.8	874.3	0.7	0.0158	5	0.4	0.0309	402.3	4.3	1	DoesNot
0	27.4	0	3	3	10	3	7	0	0	397.9	129.9	-130.7	178.8	612.6	0.2	0.335	3	-0.7	1.9	268	3.9	0	DoesNot
0	38	0	4	4	14	4	11	0	0	495.2	139.3	-140.2	248.7	825.3	0.4	0.095	4	-0.7	0.752	355.9	5.3	0	DoesNot
0.47	55.5	11	8	19	23	11	5	2	0	502.1	226.2	-26.2	288.5	836	-3.9	42.9	11	-4.3	89.3	275.8	3.4	9	DoesNot
0.03	40.8	3	1	4	27	6	4	4	2	617.7	51.5	-9.7	425.3	1163.4	4.1	2.09e-06	4	4.4	1.22e-06	566.2	4.3	1	Crosses
0.05	23.2	3	2	5	15	4	5	1	1	525.8	53.8	-14	252.7	787.2	2	0.00249	3	1.2	0.0135	471.9	3.6	0	Crosses
8.31	16.5	2	1	3	21	2	0	4	0	483.7	77.1	-5.8	321.7	882.2	3.7	3.47e-05	2	3.3	8.02e-05	406.6	3.5	6	Crosses
0	40.7	2	1	3	25	4	3	4	2	612.2	2.7	-4.9	410	1129.7	5.1	5.12e-07	2	6.4	3.84e-08	609.6	4.4	1	Crosses
0	19.7	1	6	7	19	7	0	3	2	405.1	213.9	-44.2	265.9	775.2	3	0.000212	7	-1.2	0.825	191.2	3.8	0	DoesNot
0.16	43.5	6	3	9	18	9	3	1	1	474.3	135.2	-15.5	260.5	806.9	3.6	6.52e-05	9	-1.1	0.697	339	3.7	0	DoesNot
0.09	23.7	1	1	2	12	2	2	2	1	344.8	84.3	-70.8	189.3	588.4	1.5	0.0242	2	1.5	0.0221	260.5	3.1	0	Crosses
0.05	20.1	2	1	3	12	2	2	2	1	344.8	76.5	-8.2	186.9	582.7	1.5	0.0242	2	1.5	0.0219	268.3	2.9	0	Crosses
0	18.2	1	2	3	10	2	2	1	1	326.7	108.3	-75.5	161.4	518.9	1.3	0.0467	2	0.9	0.114	218.4	3	0	DoesNot
0	14.4	4	1	5	14	6	2	2	2	366	163.1	-14.8	200.5	620	0.2	0.11	5	0.4	0.0879	202.9	3.2	0	Crosses
