QikProp_.stars	QikProp_.amine	QikProp_.amidine	QikProp_.acid	QikProp_.amide	QikProp_.rotor	QikProp_.rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip.2.V	QikProp_ACxDN..5.SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo.w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP.eV.	QikProp_EA.eV.	QikProp_.metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_.NandO	QikProp_RuleOfFive	QikProp_.ringatoms	QikProp_.in56	QikProp_.noncon	QikProp_.nonHatm	QikProp_RuleOfThree	QikProp_ACxDN..5.SAxSASA.MW	Class
0	1	0	0	0	4	0	2	239.744	4.638	482.589	234.44	40.892	135.584	71.674	820.175	1	3	0.0262278	0.0062165	0.8780615	25.396	7.85	11.331	5.643	2.938	-2.453	-2.185	-4.878	1011.634	0.543	1368.64	-3.474	9.423	0.749	2	0.111	3	100	0	0	35.874	2	0	6	6	0	16	0	0.0125134	Crosses
1	0	0	0	0	0	0	0	194.193	4.974	398.249	242.001	97.295	58.953	0	642.106	0	5	0.0385318	0	0.9038178	20.106	5.35	9.242	6.665	-0.069	-0.918	-1.417	-3.369	1183.723	-0.231	593.642	-3.105	9.004	0.434	0	-0.855	3	81.547	0	0	69.951	6	0	9	9	0	14	0	0	Crosses
0	0	0	0	1	0	0	0	236.273	5.642	454.6	44.57	87.228	322.802	0	767.093	2	2	0.0414933	0.0062218	0.8914584	27.628	8.777	13.572	10.922	2.389	-2.521	-3.123	-3.453	809.731	-0.168	752.862	-1.99	8.673	0.388	3	-0.112	3	92.987	0	32.711	48.931	3	0	15	12	0	18	0	0.011971	Crosses
1	1	0	0	0	13	0	1	364.527	4.47	794.476	609.244	38.977	146.255	0	1363.291	1	5.25	0.0146555	0.0066081	0.7484165	41.454	12.727	16.983	6.659	5	-5.447	-3.838	-7.027	1054.82	-0.285	579.806	-2.537	8.682	-0.23	3	0.721	3	100	0	0	50.162	5	1	6	6	0	26	0	0.0144022	Crosses
2	1	0	1	0	11	0	-2	499.649	6.883	899.843	341.59	121.802	436.45	0	1654.124	1	7.7	0.0286407	0.0085571	0.7516989	57.149	18.1	25.046	12.305	4.199	-7.346	-6.351	-6.55	43.787	-1.138	23.666	-3.233	9.124	0.509	5	0.918	1	80.909	0	0	80.48	5	0	24	24	5	37	1	0.0154109	DoesNot
0	2	0	1	0	8	0	0	388.893	3.114	688.298	221.481	114.603	280.492	71.722	1225.193	1	7.7	0.0079156	0.011187	0.8044978	40.42	13.141	19.197	11.372	1.131	-3.181	-2.764	-5.678	12.78	-0.126	17.093	-6.001	9.086	0.015	6	-0.085	2	53.374	0	0	67.013	5	0	18	18	4	27	1	0.0197998	DoesNot
0	0	0	0	1	7	0	-2	323.132	8.458	519.515	86.204	191.607	115.82	125.884	886.259	3	6.9	0.0807111	0.0230044	0.8588963	25.925	10.163	18.121	14.475	1.135	-1.986	-2.743	-2.993	98.501	-1.281	313.635	-3.971	10.168	1.3	4	-0.83	3	69.269	0	23.298	111.185	7	0	6	6	0	20	0	0.0369853	DoesNot
2	1	0	0	0	4	0	2	318.863	2.311	565.317	209.827	6.697	244.313	104.481	993.411	0	2.5	0.0053739	0	0.8517107	33.367	9.953	12.245	4.404	5.067	-4.724	-4.476	-5.823	2134.494	0.916	4639.876	-2.461	7.857	0.397	6	0.663	3	100	0	0	8.044	2	0	14	14	0	21	0	0	Crosses
0	0	1	0	0	2	0	1	230.096	4.447	427.094	122.341	51.639	133.389	119.725	688.161	2	2.5	0.0287378	0.0082781	0.8826094	21.376	7.158	11.488	6.998	1.571	-3.222	-3.294	-4.068	3207.775	0.295	7894.961	-3.872	8.339	0.126	1	-0.149	3	100	0	0	37.371	3	0	11	11	2	14	0	0.0153654	Crosses
0	1	0	0	0	2	0	2	299.369	3.287	487.562	316.776	47.618	123.169	0	878.779	1	5.2	0.0122939	0.0106653	0.9100283	28.907	8.073	13.383	8.2	1.208	-1.602	-2.751	-4.301	873.452	0.458	472.842	-3.834	8.364	-0.503	5	-0.029	3	86.662	0	0	38.251	4	0	18	18	8	22	0	0.0173699	Crosses
0	0	0	0	0	4	1	-1	346.466	5.019	551.858	368.909	154.05	28.899	0	1035.362	2	7.4	0.0243314	0.0189635	0.8968766	32.989	9.755	17.946	11.627	1.917	-3.24	-3.439	-3.338	342.805	-0.954	155.522	-3.873	10.179	0.006	5	-0.073	3	83.541	0	0	82.675	4	0	17	17	14	25	0	0.0302054	Crosses
3	0	0	0	0	5	0	-2	245.235	0.99	437.216	144.059	247.025	46.132	0	725.558	6	9.3	0.0013521	0.052103	0.8931356	20.113	8.453	20.321	19.61	-1.644	-1.618	-1.346	-3.481	45.016	-1.802	17.33	-5.43	7.427	-0.904	6	-0.824	2	33.952	0	0	133.167	8	1	11	11	5	17	0	0.0928916	DoesNot
1	1	0	0	0	4	0	2	266.385	0.917	548.666	228.157	24.271	296.239	0	951.432	1	2	0.0008833	0.0036452	0.8526586	32.183	9.529	12.597	5.772	4.881	-3.658	-3.322	-6.055	1454.253	0.498	820.397	-2.602	8.087	-0.316	6	0.648	3	100	0	0	16.061	2	0	15	12	2	20	0	0.00750792	Crosses
0	1	0	0	0	2	2	1	369.416	2.205	622.23	405.259	96.015	120.955	0	1110.043	0	7.25	0.0043815	0	0.8332479	38.141	10.051	16.227	9.392	1.956	-2.667	-3.068	-5.533	303.59	-0.081	150.884	-4.734	9.132	-0.015	4	-0.184	3	82.829	0	0	86.972	6	0	18	18	8	27	0	0	Crosses
0	0	0	0	0	0	0	1	284.744	4.289	517.51	123.798	58.316	264.448	70.947	879.608	0	4	0.0209167	0	0.8579052	31.573	9.132	12.888	7.125	3	-3.794	-3.919	-5.092	2772.599	0.209	3645.056	-1.663	9.182	0.87	1	0.102	3	100	0	0	45.653	3	0	17	12	1	20	0	0	Crosses
0	1	0	0	0	5	0	-1	153.18	3.239	365.095	82.796	165.009	117.289	0	567.7	4	2.5	0.0184793	0.0136951	0.9081811	14.475	6.392	11.729	9.736	-0.974	0.444	-0.454	-4.303	67.301	-0.673	29.611	-5.73	8.904	-0.203	5	-0.76	2	53.963	0	0	70.976	3	0	6	6	0	11	0	0.0326414	DoesNot
0	1	0	0	0	6	0	-1	183.207	3.883	411.486	136.889	162.487	112.109	0	654.262	4	4.7	0.0230439	0.022844	0.8857498	17.248	7.066	13.852	11.742	-0.593	-0.035	-0.53	-4.641	71.111	-0.78	31.427	-5.606	8.889	-0.26	4	-0.743	2	56.618	0	0	78.549	4	0	6	6	0	13	0	0.051308	DoesNot
0	0	0	0	0	5	0	-2	238.243	7.379	482.16	64.791	249.508	167.862	0	794.054	4	5	0.0685634	0.02074	0.8600823	24.017	9.353	17.515	13.399	0.231	-2.389	-2.379	-4.597	42.64	-1.987	16.343	-5.047	9.719	-0.301	4	-0.466	2	57.466	0	0	128.276	6	0	6	6	0	17	0	0.0419739	Crosses
0	2	0	0	0	7	0	2	437.522	3.633	717.205	279.923	54.788	229	153.493	1286.238	1	6.2	0.0102621	0.0086447	0.7975102	43.013	11.96	19.375	9.457	4.317	-4.141	-4.474	-7.353	186.272	0.741	682.438	-5.176	8.062	0.744	7	0.586	3	92.854	115.77	0	34.915	4	0	20	20	4	30	1	0.0141708	Crosses
4	1	0	1	1	5	0	-2	146.146	6.558	338.351	79.163	259.188	0	0	516.026	5	5.5	0.0833405	0.036348	0.9195578	11.287	6.006	14.874	16.497	-4.209	1.141	1.029	-0.378	1.156	-1.383	0.925	-7.879	9.705	-0.987	5	-1.398	1	3.426	0	34.64	126.012	5	0	0	0	0	10	1	0.0841513	DoesNot
0	1	0	0	0	6	0	1	375.87	5.119	675.796	207.323	65.682	284.301	118.49	1180.556	1	4.75	0.0221962	0.0070287	0.7993564	39.954	12.099	17.666	8.587	4.301	-4.473	-4.663	-6.861	588.762	0.206	1376.104	-3.215	9.379	0.841	3	0.64	3	100	46.766	0	47.768	3	0	18	18	5	26	0	0.0126373	Crosses
0	1	0	0	0	11	0	1	362.511	3.635	780.383	583.892	60.24	136.251	0	1337.681	1	5.25	0.0098791	0.0067275	0.75236	41.618	12.528	17.146	7.143	4.68	-5.517	-3.833	-6.915	663.052	-0.41	351.03	-3.156	8.536	-0.301	3	0.737	3	100	0	0	57.211	5	0	12	12	5	26	0	0.0144824	Crosses
4	1	0	0	0	3	0	-1	111.146	5.296	310.932	90.05	114.692	106.19	0	460.425	3	3	0.0609207	0.0167115	0.9274113	11.36	4.742	9.873	8.657	-0.517	0.704	0.178	-3.939	201.919	-0.108	97.098	-5.034	9.151	-0.833	3	-0.805	2	65.177	0	0	53.784	3	0	5	5	0	8	0	0.0467506	DoesNot
0	0	0	0	0	5	0	-2	362.465	6.873	557.797	338.011	191.151	28.636	0	1048.093	3	8.15	0.0450649	0.0253071	0.8945853	32.854	10.347	20.19	13.875	1.552	-3.081	-3.44	-3.374	152.481	-1.33	64.789	-4.461	10.178	0.033	5	-0.188	3	75.109	0	0	105.799	5	0	17	17	14	26	0	0.0389451	DoesNot
0	2	0	0	0	9	0	1	374.909	1.294	686.655	277.627	56.814	280.492	71.722	1221.91	1	7.4	0.0013705	0.0107769	0.8049817	39.647	12.701	18.355	10.459	2.996	-2.439	-2.604	-7.478	178.212	0.41	231.93	-4.84	9.02	0.018	6	0.086	3	84.776	0	0	38.197	4	0	18	18	4	26	0	0.0197382	Crosses
0	0	0	0	0	3	0	-1	354.101	8.901	430.437	133.744	191.624	24.214	80.855	730.655	3	8.6	0.1084373	0.0346058	0.9114437	21.392	7.992	17.7	14.454	-0.48	-1.989	-3.418	-3.08	150.913	-0.957	177.654	-4.678	8.922	1.118	3	-0.742	3	63.128	0	0	120.355	7	0	11	11	4	17	0	0.042066	DoesNot
3	1	0	0	0	4	0	2	280.412	0.774	573.593	271.184	6.03	296.378	0	1004.229	0	2.5	0.0005966	0	0.845506	34.297	9.664	12.049	4.737	4.42	-4.189	-3.41	-6.171	2165.791	0.665	1261.802	-2.265	8.074	-0.323	6	0.695	3	100	0	0	6.872	2	0	15	12	2	21	0	0	Crosses
11	0	0	0	0	1	0	1	60.096	2.045	244.915	195.372	49.543	0	0	337.242	1	1.7	0.0124004	0.0069412	0.9567036	6.7	1.991	3.6	3.564	0.051	0.385	-0.049	-2.233	3358.005	0.142	1832.237	-2.337	11.103	-3.22	1	-0.784	3	90.354	0	0	22.407	1	0	0	0	0	4	0	0.0282881	Crosses
0	1	0	0	0	7	0	2	309.45	3.971	553.788	267.765	10.064	275.958	0	1020.622	0	4	0.0154505	0	0.8852482	32.832	9.843	12.57	5.393	3.908	-2.714	-3.46	-5.431	1983.167	0.455	1147.202	-2.123	8.727	-0.232	4	0.214	3	100	0	0	15.897	2	0	12	12	0	23	0	0	Crosses
0	1	0	0	1	7	0	1	477.045	3.523	794.122	264.173	47.545	410.681	71.724	1476.702	1	5.75	0.0084034	0.0072407	0.7897195	52.371	15.978	22.265	11.71	5.423	-5.926	-6.052	-6.245	625.717	0.208	1170.486	-2.34	9.188	0.126	4	0.877	3	95.79	0	18.286	43.607	4	1	24	24	5	34	1	0.0120534	DoesNot
5	0	0	0	0	11	0	-2	182.173	0.346	380.752	134.071	246.682	0	0	604.258	6	10.2	0.0001981	0.0656195	0.9078287	10.965	6.986	17.33	18.721	-3.086	-0.061	-0.34	-3.023	45.354	-2.095	17.471	-5.01	10.804	-2.553	6	-1.086	1	25.566	0	0	124.28	6	1	0	0	0	12	0	0.137149	DoesNot
0	1	0	0	0	6	0	1	211.26	4.906	439.374	334.082	64.118	41.174	0	734.532	2	3.25	0.0327644	0.0104608	0.8960608	19.783	6.334	10.613	6.3	0.814	-0.888	-1.485	-4.136	609.216	0.068	320.326	-4.043	9.127	-0.138	6	-0.29	3	81.554	0	0	51.508	4	0	6	6	0	15	0	0.0217561	DoesNot
0	1	0	0	0	4	0	1	386.569	6.994	653.895	336.304	41.971	222.387	53.233	1191.413	0	6.5	0.0410553	0	0.831187	41.082	11.523	17.467	11.13	3.546	-2.503	-4.094	-6.05	39.336	0.447	1057.316	-3.188	7.927	0.618	7	0.168	2	76.252	0	0	25.156	3	0	20	20	5	26	1	0	DoesNot
5	0	0	2	0	11	0	-2	456.46	4.382	733.53	160.425	405.937	167.168	0	1316.878	8.25	10.75	0.0145834	0.0420937	0.7920953	41.081	16.437	32.487	25.628	0.462	-3.593	-4.699	-2.078	0.09	-4.413	0.034	-7.356	6.263	0.183	7	-0.923	1	0	0	0	227.945	13	2	16	16	0	33	2	0.0676445	DoesNot
0	0	0	0	0	0	0	0	203.24	2.799	425.737	178.534	79.842	167.36	0	707.241	0	3	0.0110755	0	0.9017141	23.748	6.647	9.154	5.38	2.063	-2.675	-2.527	-3.921	1732.831	-0.091	896.225	-2.401	9.925	-0.017	2	-0.131	3	96.995	0	0	54.472	3	0	11	11	2	15	0	0	Crosses
0	1	0	0	0	10	0	1	267.367	1.515	608.088	419.405	51.617	137.065	0	1014.423	2	5.65	0.0022626	0.0131401	0.8029313	29.331	9.338	14.56	8.754	1.895	-1.402	-1.763	-6.101	800.416	-0.174	430.254	-3.09	9.205	-0.212	5	-0.173	3	90.007	0	0	50.757	4	0	6	6	0	19	0	0.0298853	Crosses
2	0	0	0	0	9	1	-2	789.101	11.255	724.274	330.603	252.639	9.801	131.231	1347.523	6	16.5	0.0940025	0.0558029	0.8146164	42.089	14.878	33.576	26.348	-0.51	-3.578	-8.593	-4.578	39.822	-2.195	79.458	-5.277	8.612	1.724	3	-0.954	2	13.726	0	0	179.299	11	3	12	12	5	32	0	0.0512185	Crosses
0	1	0	0	0	2	0	1	285.342	3.868	474.143	236.826	97.074	140.242	0	837.152	2	5.2	0.0178675	0.0155099	0.9059947	27.404	8.347	14.637	10.084	0.904	-3.094	-2.453	-4.448	296.65	0.053	147.16	-4.685	8.496	-0.508	5	-0.124	3	76.485	0	0	52.419	4	0	18	18	8	21	0	0.0257723	DoesNot
1	1	0	0	0	0	0	2	162.234	2.445	376.859	207.8	34.711	134.349	0	615.215	0	3.5	0.0097131	0	0.928262	19.75	5.387	7.772	5.223	1.123	0.728	-0.247	-4.06	1157.818	0.693	641.235	-3.749	9.167	0.121	5	-0.532	3	88.352	0	0	18.781	2	0	11	11	4	12	0	0	Crosses
1	1	0	0	0	6	0	-2	169.18	4.582	372.059	57.616	202.333	112.109	0	584.296	5	4.2	0.0359311	0.025242	0.9084661	14.448	7.029	14.475	12.89	-1.075	0.613	-0.361	-4.274	29.79	-1.034	12.271	-6.34	8.923	-0.192	5	-0.893	2	47.031	0	0	90.782	4	0	6	6	0	12	0	0.055512	DoesNot
8	0	0	0	0	0	3	-2	132.159	2.857	327.536	327.536	0	0	0	499.359	0	5.1	0.016345	0	0.9293531	13.83	2.964	6.258	5.531	-0.365	1.366	1.366	-2.675	9906.038	-1.484	5899.293	-3.024	10.605	-2.305	0	-1.297	3	96.327	0	0	26.11	3	0	6	6	3	9	0	0	Crosses
2	0	0	0	0	0	0	0	138.172	8.022	329.6	226.08	99.026	4.494	0	514.633	0	3	0.1250305	0	0.9422714	14.485	4.006	7.366	4.171	0.511	-0.892	-0.591	-2.488	1139.811	-0.18	569.875	-3.329	10.715	-0.003	1	-0.691	3	84.652	0	0	50.118	4	0	10	5	5	10	0	0	Crosses
1	2	0	0	0	7	0	2	403.969	3.08	683.552	279.42	55.014	244.227	104.891	1227.192	1	6.2	0.0077293	0.0090703	0.8109644	40.796	12.708	18.388	9.464	4.185	-4.012	-3.79	-7.208	185.355	0.638	367.705	-5.126	7.865	0.402	8	0.433	3	92.043	0	0	34.901	4	0	20	20	4	27	1	0.0153478	Crosses
3	1	0	0	0	3	0	1	121.182	1.422	342.057	82.875	64.117	195.065	0	524.142	2	1	0.0038578	0.0041344	0.9191057	14.759	5.409	7.623	5.558	1.553	-0.034	-0.368	-4.497	609.227	0.275	320.333	-3.789	9.362	-0.298	3	-0.446	3	85.882	0	0	27.224	1	0	6	6	0	9	0	0.0116701	Crosses
2	0	0	0	0	1	0	0	232.238	0.979	391.475	92.724	133.003	165.748	0	677.392	2	4	0.0014143	0.0144501	0.952843	21.896	7.621	12.154	9.342	1.462	-2.285	-2.99	-3.085	542.789	-0.473	255.575	-3.291	10.038	0.391	1	-0.271	3	84.45	0	0	96.992	5	0	12	12	1	17	0	0.024358	Crosses
0	0	0	0	0	0	0	0	252.272	3.497	444.817	0	108.691	336.126	0	763.648	2	3.5	0.0160181	0.0111276	0.9083346	27.617	9.112	14.198	10.192	2.46	-3.816	-3.83	-4.618	922.957	-0.315	453.644	-2.339	9.966	0.179	2	0.012	3	94.422	0	0	75.19	4	0	17	17	1	19	0	0.0196207	Crosses
0	1	0	0	0	7	1	1	236.313	4.777	531.05	282.134	102.902	146.014	0	887.297	1.5	5	0.0257132	0.0115314	0.8408964	26.255	8.454	13.204	8.268	1.35	-1.435	-1.411	-5.529	261.203	-0.43	128.248	-4.292	8.359	-0.008	2	-0.218	3	78.112	0	0	64.85	4	0	6	6	0	17	0	0.0259137	Crosses
2	1	0	0	0	4	0	2	284.418	2.822	546.742	215.005	6.698	287.319	37.72	949.959	0	2.5	0.0083823	0	0.8547765	32.039	9.375	11.558	4.628	4.679	-4.072	-3.744	-5.978	2134.424	0.752	1998.816	-2.309	7.74	0.209	6	0.537	3	100	0	0	8.044	2	0	14	14	0	20	0	0	Crosses
0	1	0	0	0	7	0	1	259.347	3.067	566.873	243.226	49.436	274.212	0	953.087	2	3.95	0.0098664	0.0098543	0.8262295	30.113	9.71	14.404	8.561	3.088	-3.563	-2.416	-6.378	839.459	0.057	452.983	-2.855	8.433	0.282	3	0.089	3	100	0	0	40.764	3	0	10	10	0	19	0	0.0215392	Crosses
4	0	0	0	4	6	0	-2	362.388	14.169	603.285	327.602	233.072	42.611	0	1076.664	2.5	12	0.1864536	0.0314506	0.8420979	33.488	10.729	23.735	24.832	-2.945	0.882	0.21	1.207	9.23	-1.989	24.088	-5.089	9.267	0.68	6	-2.106	2	26.977	0	103.077	160.552	10	0	15	15	8	26	1	0.0523573	Crosses
6	2	0	0	0	5	0	0	88.152	0	300.785	172.551	128.234	0	0	438.352	4	2	0	0.0132985	0.9278062	8.178	4.066	8.669	8.041	-1.37	2	1.79	-4.152	37.467	0.066	17.394	-7.528	9.389	-2.856	4	-1.019	2	47.087	0	0	54.449	2	0	0	0	0	6	0	0.045376	DoesNot
0	1	0	0	0	10	0	0	314.402	10.119	627.18	380.933	119.803	96.059	30.385	1060.929	2	6	0.096523	0.0135293	0.8021038	30.801	10.212	16.984	9.341	0.779	-2.542	-2.469	-5.918	180.594	-0.808	126.26	-4.492	9.175	0.64	4	-0.114	3	71.895	0	0	77.832	7	0	5	5	0	21	0	0.0269887	DoesNot
0	1	0	0	0	8	2	1	608.687	4.211	914.131	689.617	65.814	158.7	0	1754.473	1	10.7	0.0101056	0.0117051	0.7695807	60.439	16.469	27.081	13.686	4.953	-6.184	-7.119	-6.743	587.064	-0.261	307.755	-3.468	7.993	0.67	8	0.832	2	79.584	0	0	109.809	11	2	27	27	11	44	2	0.0175788	DoesNot
0	0	0	0	1	3	0	0	275.347	4.165	549.376	391.876	92.873	64.627	0	933.55	1	4	0.018578	0.007281	0.8408533	29.898	8.161	13.076	10.288	2.268	-2.836	-3.015	-3.041	557.168	-0.493	658.956	-2.715	8.86	-0.066	3	-0.06	3	89.373	0	46.382	61.15	4	0	16	16	8	20	0	0.0145271	Crosses
0	1	0	0	1	9	0	0	306.404	5.552	652.051	407.646	117.851	126.554	0	1096.331	2	6.95	0.0281126	0.0150736	0.7885781	33.151	10.56	17.257	12.947	1.312	-1.967	-1.438	-4.908	109.119	-0.844	90.12	-4.444	9.035	-0.204	4	-0.478	3	71.1	0	29.813	74.999	5	0	12	12	5	22	0	0.0320778	DoesNot
0	1	0	0	0	4	0	-1	176.218	3.86	397.839	123.033	146.165	128.641	0	637.361	3	3.25	0.0233766	0.0141493	0.9002862	18.013	6.786	11.932	9.258	0.21	-0.393	-0.9	-4.485	101.558	-0.481	46.196	-5.439	8.204	1.487	5	-0.512	2	64.094	0	0	63.906	3	0	9	9	1	13	0	0.0319442	DoesNot
0	1	0	0	0	7	0	-1	272.362	5.692	546.845	284.509	147.048	113.735	1.555	918.091	3	7.7	0.0352894	0.0243886	0.8353936	27.179	9.18	17.46	13.244	0.243	-1.425	-1.18	-5.464	99.62	-0.861	46.14	-5.219	9.59	0.168	2	-0.57	3	64.132	0	0	82.388	5	0	6	6	0	18	0	0.0489671	DoesNot
2	3	0	0	0	9	0	0	145.247	1.145	426.088	282.931	143.157	0	0	663.002	5	3.5	0.0019789	0.0183676	0.8629961	14.6	6.281	13.011	10.503	-1.34	2	2.318	-5.927	6.746	-0.463	3.016	-7.419	9.464	-2.541	5	-0.903	2	33.935	0	0	68.261	3	0	0	0	0	10	1	0.0538821	DoesNot
2	4	0	0	0	13	0	-2	202.342	2.275	551.401	393.323	158.078	0	0	887.672	6	5	0.0058325	0.0222115	0.810088	21.023	8.735	17.379	12.966	-1.365	2	2.893	-7.51	4.87	-1.029	2.121	-7.31	9.443	-2.477	6	-0.84	2	18.301	0	0	82.073	4	1	0	0	0	14	1	0.0605284	DoesNot
3	0	0	0	0	13	2	-2	342.299	1.227	494.282	229.556	264.726	0	0	900.708	8	16.8	0.0016718	0.0961345	0.9125273	21.545	10.546	27.623	28.106	-3.636	-0.175	-0.384	-2.947	30.584	-2.339	11.412	-5.15	10.134	-2.548	8	-1.121	1	6.324	0	0	172.592	11	2	11	11	9	23	1	0.138819	DoesNot
0	1	0	0	0	4	0	1	402.569	5.348	659.782	332.42	66.84	222.802	37.72	1201.696	0	6.5	0.0237988	0	0.8285042	41.497	11.688	17.416	8.81	3.385	-3.61	-4.434	-6.096	574.058	0.164	483.415	-3.645	7.986	0.723	6	0.198	3	96.144	0	0	43.506	4	0	20	20	5	27	0	0	Crosses
0	1	0	0	0	6	0	1	226.336	2.15	500.703	354.959	58.981	53.826	32.937	829.657	2	3.75	0.0055713	0.0105917	0.8528067	23.71	7.309	11.945	7.002	1.087	-1.945	-1.614	-4.897	681.524	0.141	547.86	-3.903	8.914	0.364	6	-0.142	3	84.022	0	0	43.78	3	0	6	6	0	15	0	0.0234311	Crosses
0	0	0	0	0	1	0	0	288.429	6.305	502.178	382.21	90.611	29.357	0	922.758	1	3.7	0.0430815	0.0073679	0.9127795	30.413	8.141	13.64	6.632	3.299	-4.076	-3.703	-3.083	1369.726	-0.222	695.08	-2.99	10.018	0.072	3	0.399	3	100	0	0	46.745	2	0	17	17	14	21	0	0.0128281	Crosses
