moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA.	moei3D_ASA..1	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA.	moei3D_CASA..1	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA.	moei3D_FASA..1	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA.	moei3D_FCASA..1	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol	Activity
-30390	-152800	1.578	-8.959	8.959	0.5097	0.1861	333	116.6	63.65	333	0	102.7	56.04	52.99	46.66	41.23	0.08195	1.542	40.86	0.0002199	0	0	-2.163	-0.1128	0.6523	17.67	-0.2509	39.31	0.3503	0.1911	1	0	0.3084	0.1683	-30470	-152100	0.9685	-9.15	9.15	0.09258	0.03659	-28870	-150200	-3.854	-9.079	9.079	0.3872	0.2299	165.3	0.8304	0.05367	-0.0468	0.02627	-0.0003715	0.04608	547.8	359.6	183.5	4.816	2.135	2.216	1.492	0.4757	144.8	4.19
-24430	-59990	-33.81	-11.42	11.42	0.6846	0	236.6	14.14	144.9	77.49	159.1	8.204	84.06	130.8	75.86	2.481	0.4601	1.076	2.691	0	0	0	-3.965	0.2788	0.5188	1.146	-1.467	1.615	0.05979	0.6127	0.3275	0.6725	0.03468	0.3553	-23590	-58680	-36.39	-12.42	12.42	-0.07996	0.002	-21510	-56960	-24.68	-10.68	10.68	0.5353	0.002	105.3	1.243	0.0004101	-0.00029	1.11e-16	-0.00029	0.2732	360.8	201.6	156.1	3.104	1.909	1.186	0.8536	0.6198	79.62	2.9
-28020	-83190	-38.17	-11.29	11.29	1.117	2.474	260.6	6.814	124.6	129.2	131.4	3.952	72.29	117.8	68.34	6.206	0.3873	1.962	7.228	0	0	0	-4.378	0.1614	0.6616	1.776	-2.232	5.266	0.02615	0.4783	0.4956	0.5044	0.01517	0.2774	-27190	-81590	-38.06	-12.21	12.21	0.3692	2.965	-24960	-80160	-31.62	-10.46	10.46	0.9073	2.238	123	1.165	0.8536	0.7433	0.00783	0.4196	0.2582	355.4	122	176.9	56.55	1.774	1.396	0.9174	0.7093	97	2.93
-23690	-107800	-29.56	-9.722	9.722	3.505	1.497	275.4	36.39	14.55	224.5	50.94	36.03	14.4	21.84	21.62	6.62	0.4764	-1.421e-14	16.04	0	0	0	-3.532	-0.159	0.8057	5.54	-10.54	16.04	0.1321	0.05283	0.815	0.185	0.1308	0.0523	-23800	-106800	-18.26	-10.42	10.42	3.02	1.432	-22050	-105500	-28.41	-9.42	9.42	3.075	1.455	135.1	0.768	0.3674	0.01314	0.3672	0.00234	0.236	267.7	88.96	122.2	56.53	1.752	1.497	1.323	0.7274	113.5	2.49
-39110	-193800	-46.95	-9.105	9.105	2.698	3.009	320	93.47	30.07	196.5	123.5	223.4	71.86	63.41	151.5	49.06	2.237	32.49	56.04	0	0	0	-12.14	0.551	1.22	9.216	-10.99	23.55	0.2921	0.09396	0.6139	0.3861	0.6981	0.2246	-39270	-193100	-43.9	-9.516	9.516	2.459	2.662	-35650	-188500	-52.33	-9.326	9.326	2.124	2.06	165.7	0.9375	1.008	0.2414	0.1189	0.971	0.1764	623.2	150.5	313.2	159.5	2.188	1.989	1.256	0.8355	138.9	1.31
-21600	-83480	-17.4	-9.447	9.447	3.399	0.22	248	83.95	33	131.1	116.9	166.2	65.34	50.95	100.9	8.018	0.5668	8.221	15.47	0	0	0	-8.895	0.0009189	0.6939	2.249	-8.709	7.244	0.3385	0.1331	0.5284	0.4716	0.6702	0.2634	-21690	-83050	-8.386	-10.18	10.18	3.093	0.3632	-19250	-80260	-12.2	-9.399	9.399	2.803	0.1225	115.7	0.8282	0.03249	0.02772	9e-04	0.01692	0.2471	190.4	76.22	89.2	24.95	1.603	1.466	1.009	0.729	89.5	1.81
-26210	-88820	-116.9	-10.79	10.79	3.301	1.535	237.2	66.94	35.04	135.2	102	91.03	47.66	31.89	43.37	14.13	0.4849	8.386	12.42	0	0	0	-12.17	0.06325	0.4854	1.665	0.6735	4.038	0.2822	0.1477	0.5701	0.4299	0.3838	0.2009	-26350	-88160	-109.6	-11.08	11.08	3.213	1.92	-24610	-86850	-105.1	-10.93	10.93	2.944	0.3261	106.5	0.9542	0.6531	-0.02224	-0.00364	0.6527	0.2934	175.8	47.47	99.17	29.2	1.52	1.406	0.9839	0.7616	79.75	0.13
-50490	-189300	-2.208	-9.503	9.503	-0.6209	1.094	368.1	60.87	307.2	340.1	27.99	70.95	358	246.3	287.1	20.1	1.406	-0.6092	18.39	0.000261	0	0	-4.254	-0.1701	0.466	0.8438	0.0008748	19	0.1654	0.8346	0.924	0.07604	0.1928	0.9727	-50150	-189500	-14.48	-9.46	9.46	-0.72	1.083	-48670	-187700	4.724	-9.562	9.562	-0.7964	1.021	195.5	1.855	0.423	-0.09179	-0.4129	-0.002653	1.503e-06	2847	1455	1392	0.171	2.934	1.791	1.547	0.002196	178.4	4.71
-44520	-157500	2.179	-9.921	9.921	-0.4022	0	321.4	66.9	254.5	321.4	0	65.63	249.7	187.6	184.1	7.664	0.3043	-8.508	6.785	0.0002122	0	0	-1.612	0.2077	0.3658	0.5555	0.0009169	15.29	0.2081	0.7919	1	0	0.2042	0.7768	-43190	-155000	0.4775	-10.2	10.2	-0.8618	0	-39360	-151800	3.982	-9.588	9.588	-0.3807	0	162.3	1.311	0.001266	1.665e-16	0	0.001266	1.403e-06	1191	595.6	595.6	0.05467	2.562	1.567	1.567	0.001856	138.4	4.74
-27080	-78330	-14.71	-10.89	10.89	0.3621	1.412	296.2	10.35	189.1	96.72	199.5	4.762	86.98	178.7	82.22	1.355	1.502	-0.8903	2.474	0	0	0	-3.419	0.4149	0.4106	1.658	-3.447	3.365	0.03496	0.6385	0.3266	0.6734	0.01608	0.2937	-26870	-78290	-18.16	-11.59	11.59	0.1807	1.522	-26650	-78260	-8.681	-11.08	11.08	-0.5671	1.82	145.4	1.648	0.5221	0.4303	-0.2955	-0.00552	0.1797	1389	457.4	926.8	4.652	2.623	1.527	0.8873	0.6474	122.5	5.05
-28030	-80970	-40.75	-11.37	11.37	1.02	1.505	268.2	15.73	143.9	108.6	159.6	9.125	83.43	128.1	74.31	-0.1582	0.5439	-1.501	1.507	0	0	0	-4.93	0.2552	0.6685	1.209	-3.133	3.008	0.05866	0.5364	0.405	0.595	0.03402	0.3111	-27190	-79420	-41.32	-12.26	12.26	0.4296	1.987	-24950	-77740	-30.44	-10.55	10.55	0.8326	1.496	125.5	1.15	0.6038	0.4976	-0.3419	-0.00667	0.1907	602.4	202	395.8	4.65	2.309	1.482	0.8724	0.6474	98.25	2.94
-43410	-183300	-8.078	-9.736	9.736	-0.3065	0.002236	355.4	83.83	201.9	199.8	155.7	123	296.2	118.1	173.3	27.74	0.5241	6.462	25.07	0.0002139	0	0	-6.187	0.2452	0.8418	1.794	1.059	18.61	0.2359	0.5681	0.562	0.438	0.346	0.8335	-42570	-181100	-12.22	-9.868	9.868	-0.7903	0	-39310	-178300	-0.513	-9.754	9.754	-0.4139	0	185.1	1.11	0.002522	0.00247	0.0002835	-0.0004245	0.06953	1480	916.8	348.5	214.3	2.907	2.308	1.226	0.6086	157.8	6.65
-35270	-124500	32.02	-9.626	9.626	-0.3938	0	326.6	76.04	250.5	326.6	0	62.51	205.9	174.5	143.4	16.19	0.317	0.4707	15.66	0.0002098	0	0	-1.133	0.01983	0.1963	0.4867	0.0008745	15.19	0.2329	0.7671	1	0	0.1914	0.6306	-35020	-124600	27.05	-9.697	9.697	-0.5103	0	-34100	-123000	38.99	-9.869	9.869	-0.3185	0	164	1.612	0.00101	1.665e-16	0.00015	0.000999	1.373e-06	1875	1382	492.5	0.1739	2.819	1.665	1.415	0.001951	146.4	5.28
-31620	-103700	-47.01	-11.3	11.3	1.184	0.003	299.6	17.32	142.8	139.6	160.1	10.05	82.8	125.4	72.76	1.24	0.6351	-0.03728	4.359	0	0	0	-3.936	0.2343	0.8098	1.332	-4.799	4.397	0.0578	0.4764	0.4658	0.5342	0.03353	0.2763	-30800	-101800	-46.74	-12.19	12.19	0.5392	0	-28400	-100200	-36.23	-10.53	10.53	0.9697	0	145.7	1.089	0.0004101	0.00029	-0.00029	0	0.1336	953.9	204.7	743	6.197	2.741	1.812	0.8856	0.6625	116.6	3.39
-41560	-190600	-52.98	-8.567	8.567	0.3923	2.422	331.9	139.3	89.37	249.9	82.01	184.6	118.4	49.92	66.14	83.12	9.7	-3.791	72.78	0.0002552	0	0	-2.174	-0.6041	0.6148	49.4	0.6369	76.57	0.4197	0.2693	0.7529	0.2471	0.556	0.3568	-41700	-189500	-55.86	-8.456	8.456	0.2129	2.039	-38940	-186900	-51.3	-8.673	8.673	0.2818	2.179	163.3	0.9773	0.7126	0.3482	0.6218	0.000215	0.02467	805.9	542.8	259.8	3.264	2.415	2.534	1.341	0.3979	141.4	3.07
-29140	-109800	-94.98	-10.21	10.21	2.826	0	241.6	54.59	26.26	160.8	80.85	61.14	29.42	28.32	31.72	27.5	3.065	14.49	20.78	0	0	0	-2.19	0.5235	0.5724	1.726	2.554	6.297	0.2259	0.1087	0.6654	0.3346	0.253	0.1217	-29280	-109500	-89.21	-10.56	10.56	2.977	0	-27320	-107600	-83.13	-10.45	10.45	2.84	0	109.9	0.9831	1.415e-16	8.327e-17	-1.11e-16	2.776e-17	0.2056	198.3	75.75	87.66	34.86	1.5	1.45	1.068	0.6573	89.62	0.93
-35210	-127900	-54.99	-11.25	11.25	1.293	1.527	329.4	15.73	143.9	169.8	159.6	9.125	83.43	128.1	74.31	1.47	0.7209	0.2523	6.036	0	0	0	-3.781	0.2139	0.9634	1.464	-6.464	5.783	0.04776	0.4367	0.5155	0.4845	0.0277	0.2533	-34410	-125700	-51.56	-12.13	12.13	0.6754	2.023	-31850	-124100	-41.71	-10.5	10.5	1.057	1.535	165	1.058	0.6037	-0.4976	0.3416	0.00667	0.09805	1385	456.3	921.1	7.748	3.134	2.147	0.8966	0.6722	133.2	3.75
-42660	-264000	-70.27	-10.01	10.01	2.852	1.439	347	0	5.15	341.9	5.15	0	2.884	5.15	2.884	44.71	2.127	-3.553e-15	30.88	0	0	0	0.3681	-0.03958	1.79	6.145	9.962	30.88	0	0.01484	0.9852	0.01484	0	0.008311	-42820	-261300	-51.36	-10.4	10.4	2.75	1.387	-40530	-259900	-70.36	-10.38	10.38	2.845	1.35	191.7	0.8871	0.4347	0.1775	0.2402	-0.3158	0.4996	635.6	168.7	270.7	196.2	2.03	1.772	1.33	1.253	173.9	3.18
-35250	-185200	-9.632	-9.98	9.98	1.348	0.146	412.8	128.1	100.7	312.1	100.7	150.7	118.4	27.39	32.22	8.78	0.7116	5.214	18.39	1.348e-06	0	0	1.168	-0.04585	1.93	3.619	-12.21	13.18	0.3103	0.2439	0.7561	0.2439	0.365	0.2869	-35380	-183700	0.7654	-9.945	9.945	1.124	0.06501	-33720	-182600	-0.6216	-10.15	10.15	1.143	0.162	216.5	0.7623	0.0002464	-0.0001382	-0.0001382	0.00015	0.05378	1748	627.4	1086	33.87	3.555	3.507	0.8559	0.8133	181.4	5.68
-23900	-86310	-65.05	-9.79	9.79	3.294	2.376	242.8	82.87	28.48	131.5	111.3	138.4	47.56	54.39	90.84	6.974	0.5548	7.168	12.99	0	0	0	-9.452	0.04394	0.5767	1.88	-7.195	5.826	0.3413	0.1173	0.5415	0.4585	0.5699	0.1958	-24020	-85830	-59.88	-10.38	10.38	3.242	2.332	-21930	-83810	-56.47	-9.339	9.339	2.981	2.326	112.4	0.8982	0.7343	-0.4036	0.6134	-0.00929	0.4024	175.2	26.51	95.11	53.6	1.527	1.297	1.094	0.8227	83.62	1.47
-35580	-132800	-24.61	-8.551	8.551	0.2862	2.798	272.6	149.5	123.1	209.7	62.89	252.7	208	26.47	44.73	19.7	4.206	-6.853	7.55	0.0002645	0	0	-5.921	0.03489	0.3664	0.728	7.541	14.4	0.5486	0.4514	0.7693	0.2307	0.9271	0.7629	-35480	-132700	-24.69	-8.874	8.874	-0.1228	2.658	-32420	-127500	-22.28	-8.735	8.735	0.06672	2.474	128.1	1.025	0.5258	-0.4587	0.257	0.00441	1.396e-06	436.4	285.4	150.9	0.03415	1.982	1.805	1.354	0.002133	108.4	3.82
-22840	-77970	-26.77	-10.69	10.69	0.8291	1.72	288	5.661	95.02	187.3	100.7	1.302	21.85	89.36	20.55	-1.096	0.9315	4.441e-16	4.006	0	0	0	-0.6133	0.1362	0.5075	1.205	-6.677	4.006	0.01966	0.3299	0.6504	0.3496	0.004521	0.07588	-22790	-77700	-26.74	-11.47	11.47	0.5534	1.731	-22300	-77460	-22.1	-10.93	10.93	-0.1566	1.821	136.9	1.213	0.4522	0.00621	-0.4522	-0.0023	0.1424	573	134.8	432	6.246	2.045	1.763	0.8636	0.6652	113	3.57
-33620	-150300	-47.31	-10.69	10.69	0.8271	1.76	377	4.692	94.08	278.2	98.77	1.079	21.64	89.39	20.56	-1.3	1.197	-8.882e-16	8.165	0	0	0	0.1544	0.06485	0.9493	1.565	-11.68	8.165	0.01245	0.2496	0.738	0.262	0.002863	0.0574	-33610	-149000	-40.86	-11.46	11.46	0.5533	1.762	-32650	-149000	-38.35	-10.93	10.93	-0.1623	1.846	195.6	1.078	0.452	0.4241	0.1564	-0.00322	0.05959	1995	826.8	1157	10.9	3.337	2.808	0.8973	0.6853	166.1	5.09
-30030	-124900	-40.46	-10.69	10.69	0.8276	1.749	344	4.692	94.08	245.2	98.77	1.079	21.64	89.39	20.56	-1.224	1.111	-8.882e-16	6.777	0	0	0	-0.1015	0.08782	0.8095	1.455	-10.01	6.777	0.01364	0.2735	0.7129	0.2871	0.003137	0.0629	-30000	-123900	-36.16	-11.47	11.47	0.5534	1.757	-29200	-123800	-32.93	-10.93	10.93	-0.161	1.841	175.4	1.128	0.4521	-0.4241	-0.1566	0.00322	0.07676	1397	564.8	823.3	9.347	2.91	2.456	0.8875	0.6806	146.4	4.68
-37210	-177000	-54.12	-10.69	10.69	0.8266	1.761	410.4	5.661	95.02	309.7	100.7	1.302	21.85	89.36	20.55	-1.364	1.28	-8.882e-16	9.55	0	0	0	0.409	0.05265	1.095	1.687	-13.34	9.55	0.01379	0.2315	0.7547	0.2453	0.003173	0.05325	-37220	-175200	-45.57	-11.46	11.46	0.5533	1.769	-36100	-175400	-43.77	-10.93	10.93	-0.1631	1.849	215.7	1.058	0.4522	0.00598	-0.4522	-0.00253	0.04739	2721	740.8	1968	12.44	3.753	3.164	0.8995	0.6889	182.5	5.36
-19250	-57030	-19.93	-10.69	10.69	0.8339	1.703	254.1	4.692	94.08	155.3	98.77	1.079	21.64	89.39	20.56	-1.012	0.8577	0	2.625	0	0	0	-0.8629	0.1515	0.3643	1.097	-5.011	2.625	0.01846	0.3702	0.6113	0.3887	0.004247	0.08515	-19180	-56980	-21.99	-11.47	11.47	0.5581	1.709	-18860	-56720	-16.69	-10.93	10.93	-0.1525	1.808	116.7	1.305	0.4521	0.4241	0.1566	-0.00322	0.2095	323	178.8	139.5	4.698	1.62	1.421	0.8413	0.6506	94.25	3.26
-22400	-81440	-76.32	-10.85	10.85	3.425	1.521	261.2	41.69	22.34	197.1	64.03	28.35	15.19	19.35	13.16	-1.111	0.4772	1.776e-15	3.495	0	0	0	-4.941	-0.01993	0.5431	0.8574	-5.607	3.495	0.1596	0.08555	0.7548	0.2452	0.1086	0.05817	-22530	-81130	-72.44	-11.3	11.3	3.321	1.374	-21280	-80130	-67.57	-10.89	10.89	3.159	1.416	117.6	0.8236	0.462	0.3704	-0.2761	-0.00476	0.1138	273.6	97.04	170.3	6.246	1.921	1.905	0.8106	0.6426	90	1.59
-31510	-126000	7.179	-9.434	9.434	0.1757	1.516	302.6	103.2	143	302.6	0	94.99	131.6	39.79	36.63	18	0.15	0.5572	17.53	1.611e-05	0	0	-1.396	0.01496	0.3928	0.9415	-0.08391	16.97	0.341	0.4725	1	0	0.3139	0.4349	-31100	-125000	5.809	-9.57	9.57	-0.1762	1.868	-28920	-122600	7.292	-9.312	9.312	0.08609	1.161	147.6	1.002	0.4988	-0.03974	-0.4972	-0.002251	0.03012	572.3	169.8	400.8	1.616	2.126	1.873	1.37	0.325	126.4	3.84
-31510	-125700	7.11	-9.299	9.299	0.1349	1.616	302.2	100.8	144.1	302.2	0	92.75	132.6	43.31	39.87	18.07	0.1495	0.5891	17.59	0.0002154	0	0	-1.422	0.01813	0.3935	0.8864	-0.08366	17	0.3334	0.4767	1	0	0.3069	0.4388	-31100	-124700	5.742	-9.51	9.51	-0.2321	1.858	-28920	-122300	7.274	-9.191	9.191	0.05376	1.254	147.2	1.012	0.5237	-0.457	0.2557	0.004798	0.02847	608.2	415.6	191	1.651	2.192	1.925	1.306	0.3248	125.1	4.33
-40350	-189700	34.65	-8.782	8.782	-0.5184	1.254	337.1	138.6	187.4	337.1	0	170.1	229.9	48.77	59.85	37.83	0.3744	2.556	34.58	0.0001206	0	0	-2.363	0.0673	2.798	3.373	0.01109	32.02	0.4112	0.5559	1	0	0.5046	0.6821	-39920	-188200	32.21	-8.794	8.794	-0.6654	1.841	-37100	-184900	34.65	-8.804	8.804	-0.6204	0.9049	167.7	1.049	0.4707	-0.01332	0.4705	0.003093	6.962e-06	870.3	443.4	426.7	0.07921	2.313	2.103	1.583	0.005549	155	4.85
-40400	-167400	44.19	-8.864	8.864	-0.4502	3.447	318.4	139.3	179.1	191.4	127	290.4	373.2	39.76	82.85	31.27	4.111	0.0189	18.09	0.0002865	0	0	-10.11	-0.007948	1.535	1.94	7.544	18.07	0.4376	0.5624	0.6011	0.3989	0.912	1.172	-39980	-166200	46.04	-9.336	9.336	-0.8108	3.473	-35660	-160900	50.35	-8.933	8.933	-0.6887	3.431	159.5	1.113	0.7911	0.4902	0.621	-0.002936	3.215e-06	910.7	422.3	488.3	0.07257	2.443	1.875	1.551	0.003362	137.1	3.73
-30590	-135300	46.56	-9.772	9.772	-0.3504	3.244	305.7	130.9	125.8	235.5	70.21	170.3	163.6	5.143	6.689	27.68	0.07401	5.296	26.33	0.0002063	0	0	-6.189	-0.02704	1.39	3.974	-0.08307	21.03	0.4283	0.4115	0.7703	0.2297	0.5571	0.5352	-30620	-134800	47.24	-9.721	9.721	-0.5325	3.303	-28060	-131300	50.05	-9.89	9.89	-0.5423	3.469	146.7	0.9038	0.877	0.7404	-0.4699	-0.006372	0.02914	503.7	309	193	1.625	2.073	1.844	1.514	0.3147	129.6	3.42
-50050	-199600	24.8	-9.778	9.778	-0.8877	2.313	361.7	96.18	265.5	253.9	107.8	155	427.9	169.3	272.9	26.03	1.2	4.222	23.39	0.0002126	0	0	-10.6	-0.1862	1.621	1.563	0.0009014	19.17	0.2659	0.7341	0.7019	0.2981	0.4285	1.183	-49830	-199600	13.72	-9.672	9.672	-1.008	2.581	-46970	-196000	32.18	-9.789	9.789	-0.9206	3.165	188.2	1.619	0.5734	0.1551	-0.5521	-0.001095	1.18e-06	2145	916.3	1229	0.07302	2.783	1.984	1.503	0.002155	171	4.3
-43960	-237100	-117.4	-10.85	10.85	3.332	1.512	440.9	39.88	22.24	378.8	62.13	27.12	15.13	17.64	11.99	-1.498	0.9959	1.421e-14	11.84	0	0	0	-3.397	-0.1553	1.429	1.58	-15.6	11.84	0.09045	0.05045	0.8591	0.1409	0.06151	0.0343	-44170	-234200	-100.7	-11.3	11.3	3.089	1.365	-41970	-234000	-100.1	-10.89	10.89	3.026	1.406	235.4	0.7959	0.4617	-0.3904	0.2465	0.00548	0.02905	2633	848.4	1769	15.54	4.079	4.009	0.8851	0.6834	198.9	4.82
