LCALC_STRAIN	LCALC_FE	LCALC_NA	LCALC_ND	LCALC_NDA	LCALC_NH	LCALC_NHE	LCALC_NRB	LCALC_NR	LCALC_NAR	LCALC_SA	LCALC_PSA	LCALC_EHSA	LCALC_VDWVOL	LCALC_SAVOL	LCALC_MLOGP	LCALC_MSOL	LCALC_NO	LCALC_SLOGP	LCALC_SSOL	LCALC_NPSA	LCALC_RGYRATION	LCALC_NSTEREO	Class
0.23	14.9	4	2	6	10	5	3	0	0	358.5	163	-68.6	148.7	503.9	-0.3	0.82	4	-0.7	1.51	195.5	2.6	1	noninducer
0.01	15.9	4	0	4	13	4	0	1	1	340.5	94.9	-55.4	184.2	581.2	1.4	0.0185	4	1.1	0.0337	245.6	2.9	0	noninducer
-0.04	26.7	3	0	3	24	3	4	1	1	642.7	81.5	-66.4	382.5	1111.3	4.3	6.03e-06	3	7.2	1.94e-08	561.1	5.2	0	noninducer
-0.01	27.6	5	3	8	16	8	4	2	2	396.5	213.8	-22	215.7	688.4	1.2	0.0129	8	-1.7	4.03	182.7	3.9	0	noninducer
-5.03	23.3	7	1	8	18	10	5	2	2	464	256.5	-118.4	244.4	767.9	0.7	0.0175	9	-2	3.28	207.5	3.7	0	noninducer
3.96	32.3	6	2	8	28	9	5	3	2	715.2	112.7	-13	413.8	1232.1	2.2	0.000118	9	1.9	0.000236	602.5	5.7	1	noninducer
0.25	38.8	6	4	10	39	9	17	1	1	1026.6	190.7	-55.3	620	1739.3	2	1.14e-05	9	2.8	2.61e-06	835.9	6.6	4	noninducer
0	11.5	3	2	5	10	5	0	2	2	248.4	151.3	-21.3	131.1	428.7	-0.2	1	5	-1.4	9.34	97.2	2.3	0	inducer
1.12	36.5	2	1	3	22	5	2	4	3	598	48.5	-11	327.6	927.3	2.6	0.000258	5	2.1	0.000734	549.5	3.9	0	noninducer
0.64	46.4	5	2	7	25	5	13	1	0	749.7	163	-69.9	403.5	1226.1	2.2	0.000218	5	3.7	1.08e-05	586.7	5.5	4	noninducer
0	10.8	0	1	1	11	1	0	3	0	368.6	53.3	-52.1	175.6	539.6	2.5	0.00355	1	2.4	0.00411	315.2	2.4	0	inducer
0.01	27.2	1	3	4	18	5	3	2	1	493.8	75.1	-14.1	313.1	914.9	3.1	2.34e-05	3	3.1	2.31e-05	418.7	4.4	0	inducer
0.58	70.8	13	13	26	40	18	10	3	0	847.4	454.1	-234.4	524.3	1472.3	-6.1	54	18	-8.8	10000	393.3	5	16	inducer
1.03	31.9	4	2	6	31	10	5	3	2	720.9	113	-39.4	438	1252.6	2.2	5.77e-05	7	3.4	4.74e-06	607.9	6.3	1	inducer
2.28	37.8	2	1	3	25	3	8	3	2	681.9	100.4	-83.8	396.3	1129.1	4.8	1.63e-06	3	2.7	0.000117	581.5	4.4	0	noninducer
-2.51	46.2	3	1	4	31	6	8	3	3	884.6	38.9	-6.7	518.1	1441.9	4.8	9.11e-09	4	8.8	3.7e-12	845.7	5.5	0	inducer
0.14	28.3	0	1	1	21	1	3	3	2	563.1	5.5	-8.4	347.5	973.4	4.8	5.05e-06	1	4.9	3.49e-06	557.6	3.9	0	inducer
0.2	31.9	5	2	7	28	8	8	2	1	697	89.1	-56.4	422.8	1209.4	1.6	0.000258	7	2.1	0.00011	608	4.4	1	noninducer
0	28.3	2	3	5	25	5	4	3	3	709.3	58.2	-8.9	395.4	1114.2	3.7	1.05e-05	4	4	6.18e-06	651	4.9	0	inducer
7.6	24.5	6	3	9	25	9	4	3	1	598.5	218.5	-115.2	342.3	965.1	0.6	0.00436	8	1	0.00202	380	3.9	4	noninducer
7.58	23.1	5	2	7	24	8	4	3	1	591.5	175.4	-110.9	338.1	951.6	1.1	0.00222	7	1.5	0.00103	416.1	3.9	4	noninducer
0	23.7	2	1	3	16	6	0	3	1	372.4	105	-10.3	237.6	707.2	3.5	8.21e-05	4	-0.1	0.104	267.4	3.2	0	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
2.8	17.1	0	6	6	18	6	11	0	0	548	242.4	-123.6	315.4	992.6	3.2	0.000155	6	1.3	0.00689	305.6	6	0	noninducer
0.89	42.6	2	2	4	30	7	5	4	2	789.5	93.3	-14.2	479.1	1357.7	3.9	1.63e-06	5	5.3	9.94e-08	696.1	6.3	0	inducer
2.1	34.5	9	5	14	51	13	15	3	3	1073.2	118.1	-13.2	765.9	2015.4	3.4	5.98e-08	13	2.9	1.61e-07	955.1	6.3	4	noninducer
0.02	30.4	3	3	6	19	5	7	1	1	628.2	139.3	-19.9	301.9	929.3	0.9	0.0115	5	0	0.0744	488.9	5.1	1	noninducer
-0.03	25.8	1	1	2	19	2	5	2	2	587.6	18.9	-21.5	319.7	930.3	3.8	4.85e-05	2	4.2	2.07e-05	568.7	3.8	1	noninducer
0.01	26.7	3	1	4	26	4	2	4	2	560.4	84.6	-8.9	391.4	1089.1	3.4	1.59e-05	3	5.9	1.29e-07	475.8	4.6	0	noninducer
2.06	24.6	3	2	5	21	4	4	3	1	566.2	64	-13.4	321.9	922	2.2	0.000627	4	1.9	0.00113	502.2	3.9	3	inducer
-0.01	33.7	0	2	2	26	4	8	3	2	688.7	4.5	-5.7	449.4	1282.3	5.5	1.69e-07	2	6.7	1.61e-08	684.2	5.5	0	inducer
0.28	34.6	1	3	4	28	3	5	4	0	749.1	48.6	-10.1	459.5	1247.6	4.3	2.02e-06	3	4.4	1.72e-06	700.4	5.1	7	inducer
0	52.6	4	2	6	32	9	6	4	2	821.6	83.5	-22	492.1	1431.4	2.5	1.9e-05	8	2.9	9.37e-06	738.1	7.3	0	inducer
12.77	73.7	12	7	19	52	14	7	3	0	938.3	73.2	-11	740.1	1789.5	0.1	1.61e-05	14	3.2	3.62e-08	865.1	4.9	18	inducer
9.92	28.7	7	1	8	36	8	6	4	0	778.9	98	-5.2	520.3	1399.6	3.1	2.25e-06	7	4	4.07e-07	680.9	4.8	8	noninducer
0.95	17.9	1	2	3	17	4	1	2	1	527.2	75.6	-60.5	280.5	825.3	2.5	0.000294	3	2.8	0.000165	451.7	4	2	inducer
2.87	31.5	4	1	5	27	6	8	3	2	687.4	101.2	-78	427.6	1222.6	3.1	2.02e-05	5	0.4	0.00424	586.2	4.8	1	inducer
2.06	34.3	1	1	2	27	3	9	3	2	754	3.9	-4.6	457.1	1270	4.1	3.87e-06	3	5.2	4.8e-07	750.1	4.5	1	inducer
1.31	21.4	1	1	2	10	2	3	1	1	372.3	23.2	-21.2	172.9	563.4	0.7	0.174	2	0.5	0.243	349.1	3.1	0	noninducer
0.11	22.2	5	2	7	29	11	6	2	2	664.5	144.8	-11.2	414.7	1161.1	2.5	3.57e-05	6	2.3	5.03e-05	519.8	4.8	1	noninducer
2.85	59.4	6	4	10	43	10	10	4	2	888	199.3	-112.6	621.9	1681.1	1.9	9.16e-06	10	5	1.78e-08	688.7	5.6	0	inducer
0.42	17.4	5	0	5	27	5	3	3	3	701.2	91.8	-8.2	400	1141.5	3.4	1.98e-05	5	3.4	1.93e-05	609.4	4.6	0	noninducer
1.22	27.7	1	1	2	24	5	4	3	2	669.3	7.3	-7.2	367.1	1051.4	3.9	9.46e-06	2	5.4	5.79e-07	662	5.3	0	inducer
-0.04	23	0	2	2	18	4	3	2	1	548.3	24.4	-4	327.3	933	4.2	2.9e-06	2	4.9	7.65e-07	523.9	4.3	0	inducer
1.71	50.8	5	4	9	43	11	5	7	2	836	92.4	-10.1	629.2	1617.4	3.1	2.56e-07	10	4	3.85e-08	743.6	4.8	6	noninducer
0.17	32.5	6	2	8	31	6	4	5	0	728.3	118	-8.6	443.8	1201.3	2	8.74e-05	6	2.6	2.7e-05	610.3	4.4	9	noninducer
0.09	27.5	1	2	3	21	3	4	2	1	629.1	13.1	-1.5	349.2	1019.7	3.1	0.000107	3	3.4	5.67e-05	615.9	4	1	noninducer
0	21.7	3	0	3	14	6	0	2	2	442.5	64.4	-9.2	197.8	611.6	0.7	0.0567	6	0.2	0.177	378.1	3	0	noninducer
0.06	37	3	3	6	30	3	6	3	0	716.7	100.4	-7.5	483.9	1335.9	4.5	8.79e-07	3	7.6	1.86e-09	616.3	5.6	6	noninducer
0	27.1	3	2	5	22	4	8	1	1	693.7	77.5	-6.4	364.3	1112.5	3.7	2.8e-05	4	4	1.44e-05	616.3	6	0	noninducer
0.04	25.3	1	1	2	18	3	0	3	2	490.1	88.2	-11.1	266.1	757.3	3.1	0.000249	3	2.2	0.00143	401.9	3.2	0	noninducer
0.57	15.2	4	4	8	16	6	4	1	1	446.7	223	-70.4	218.8	656.3	1	0.0185	6	-0.1	0.185	223.7	3	1	noninducer
0	9.2	0	0	0	5	4	0	0	0	259.9	0	-1.6	125.1	415.8	2.2	0.00595	0	2.4	0.0039	259.9	1.6	0	noninducer
0	14.3	4	2	6	18	6	7	0	0	632.1	140.6	-13.1	291.7	907.7	2.4	0.00074	6	2.4	0.000772	491.4	4.2	1	noninducer
5.43	37.7	11	2	13	37	15	8	4	2	868.1	288.2	-128.6	506.1	1423.9	0.7	0.00018	13	1.2	6.91e-05	579.8	5.4	2	noninducer
1.09	20.5	3	1	4	26	9	2	3	3	662.5	148	-13.6	369.5	1049.7	2.4	9.74e-05	5	3.5	1.13e-05	514.5	4.3	0	noninducer
0.06	26	0	2	2	21	3	3	3	2	581.8	3.9	-7.5	352.8	989.5	4.1	1.13e-05	2	3.6	3.22e-05	577.9	3.8	1	inducer
0	9.3	0	0	0	4	3	0	0	0	235.7	0	-1	103.5	364.1	1.8	0.0237	0	1.5	0.0425	235.7	1.5	0	noninducer
0.22	30.6	1	2	3	22	4	7	2	2	644.4	23.9	-4.7	378.1	1099.3	3.5	2.87e-05	3	4.5	4.17e-06	620.5	4.6	1	inducer
0.02	33.9	1	2	3	24	6	9	2	2	726.2	20.3	-6.6	424.9	1225.9	4	3.73e-06	3	5	4.84e-07	705.9	4.4	1	inducer
0.01	18.3	0	1	1	12	2	2	1	1	402.4	35.5	-35.4	214.2	645.3	3.1	0.000631	1	2.9	0.00103	366.9	3.1	0	inducer
0	36.6	1	1	2	21	4	4	3	2	650.9	4.2	-7.7	351.3	989	4.4	4.66e-06	2	5.2	1.05e-06	646.8	4	0	inducer
1.05	45.2	8	7	15	33	11	2	4	1	661.9	262.6	-28.7	428.3	1147.7	-1.2	0.0201	10	-0.7	0.0077	399.3	4.2	5	noninducer
0	21.5	4	3	7	17	7	6	1	1	531.5	140.1	-17.4	285.5	875.9	1.6	0.00391	6	0.6	0.0294	391.5	4.6	0	noninducer
1.87	15.7	3	0	3	18	5	3	2	1	534.3	82.6	-66	289	841.8	2.8	0.000207	3	3.9	2.14e-05	451.7	3.7	1	noninducer
-0.03	23.6	2	1	3	24	4	6	3	2	612.1	74.3	-11.8	392.4	1090.7	3.8	1.42e-05	3	3.7	1.7e-05	537.9	4.1	1	inducer
0.4	27.2	1	1	2	24	3	6	3	2	667.6	6.1	-7.9	404.7	1132	4.8	1.49e-06	2	5.5	3.94e-07	661.5	4.4	2	inducer
0.59	43.9	6	5	11	27	9	7	2	0	715.6	97.2	-12	425.7	1205.8	0.2	0.00305	7	2	9.56e-05	618.4	4.7	9	inducer
7.82	18.8	3	2	5	20	8	3	2	1	574.1	149.4	-19.2	314.1	920.3	5.1	1.42e-06	6	1.4	0.00193	424.7	4	0	inducer
0.02	18.5	3	0	3	16	4	3	1	1	516.3	15.3	-0.3	261.9	795	2.9	0.000336	3	3.6	8.64e-05	501.1	3.5	0	noninducer
0.08	17.8	2	1	3	17	4	4	1	1	494.6	29.5	-3.4	285.4	847.5	3.7	5.52e-05	3	4.2	2.4e-05	465.1	4	0	inducer
0.04	29.2	0	2	2	21	3	4	3	2	581.3	18	-10	349.8	991.9	4.1	1.15e-05	2	4.5	5.51e-06	563.3	4.1	1	inducer
0.97	34	0	1	1	22	3	4	3	2	632.8	4.2	-7.5	370.2	1039.1	4.4	5.79e-06	2	5.7	4.66e-07	628.6	4	0	inducer
0	18.2	1	2	3	14	5	0	2	1	403.5	40.5	-7.6	230.6	694.7	3.5	0.000143	3	1.9	0.00323	363	3.2	0	noninducer
0.06	22.7	3	1	4	21	5	3	3	2	588.2	13.4	-4.2	332.2	939.6	3.7	2.13e-05	3	3.8	1.52e-05	574.8	3.6	1	noninducer
4.62	20.3	1	0	1	25	3	4	4	4	576.9	21.2	-5.2	387	1011	4.9	1.2e-06	2	6.3	8.65e-08	555.7	3.5	0	noninducer
0.06	37.2	1	2	3	23	5	0	4	2	640.4	35.2	-13.9	356.7	1007.5	4.5	3.35e-06	4	2.8	9.67e-05	605.2	4.1	0	inducer
0.38	24	4	1	5	22	5	2	3	1	537.9	42.6	-6.1	327.4	936.3	2.4	0.00033	5	2.2	0.000534	495.3	3.9	4	inducer
1.83	26.6	3	2	5	22	4	0	5	1	563	49	-11.7	310.3	860.1	2.2	0.000572	4	1.3	0.0033	514.1	3.4	5	noninducer
1.98	26.4	6	1	7	29	7	1	3	2	728.3	84.3	-11.1	413.9	1170	1.9	0.000183	7	1.9	0.000201	644	4.3	1	noninducer
0.13	45.9	2	2	4	34	4	15	2	2	940.6	4.5	0.6	587	1655.5	4.9	1.47e-07	4	8.1	2.96e-10	936.1	6.9	2	inducer
0	24.5	0	2	2	20	2	3	3	2	565.7	3.9	-7.3	332	933.4	3.6	5.37e-05	2	3	0.000204	561.8	3.6	0	inducer
3.36	17.7	4	0	4	29	5	2	5	0	631.5	59.2	-3.3	427.2	1143.9	3.9	2.72e-06	4	4.2	1.56e-06	572.3	4	8	noninducer
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	noninducer
0.11	28.2	2	2	4	32	4	7	5	3	796.8	82.9	-12.5	486.7	1317.2	4	1.96e-06	4	5.1	2.01e-07	714	4.7	1	noninducer
0.22	42.7	6	4	10	33	11	2	4	3	936.9	108.8	-20.6	492.7	1396.3	3.9	7.9e-07	9	1.1	0.000198	828.1	6.8	0	noninducer
0	42.7	8	3	11	39	14	23	0	0	1182.7	283.3	-74.2	602.3	1841.7	0.5	0.000183	14	-2.5	0.0795	899.4	10.1	0	noninducer
0.42	45.8	8	7	15	32	11	2	4	1	653.3	285.3	-31.3	413.2	1126.3	-1.4	0.0388	10	-1.1	0.0238	368	4.3	5	noninducer
0.98	35.8	0	1	1	20	2	4	3	2	561.5	16.4	-18.8	328.1	932.6	3.6	5.46e-05	2	4.8	5.65e-06	545	3.8	0	inducer
0	25.2	1	1	2	22	3	0	4	2	551.9	35.2	-32.4	344	955.9	3.8	2.08e-05	2	4.6	3.74e-06	516.7	3.6	0	inducer
0	22	2	3	5	19	3	4	2	1	553.3	56.8	-8.1	308.6	882.7	2.3	0.000779	3	2.7	0.000354	496.5	3.5	1	noninducer
6.58	27.8	5	3	8	28	6	2	4	0	606.8	132.7	-10.5	388.1	1034.6	1.9	0.000226	5	1.7	0.000295	474.2	3.9	8	noninducer
0.18	22.2	1	1	2	20	2	0	4	1	562.5	12.4	-3.9	312.8	871.5	3.6	5.11e-05	2	4	2.66e-05	550.1	3.5	3	noninducer
-0.01	27.5	2	0	2	20	4	0	3	2	539	36.1	-4.9	306.4	871.7	3.4	7.21e-05	3	2.7	0.000262	502.8	3.5	0	noninducer
0.7	50.3	8	9	17	31	13	6	3	0	637.2	297.7	-201.4	417	1153.4	-3.8	5.26	13	-4.2	11.9	339.5	4.3	13	inducer
2.17	21.2	2	1	3	19	5	2	2	2	530	75.4	-59.9	301.2	851.7	4	1.75e-05	3	4	1.65e-05	454.6	3.4	0	noninducer
0.02	26.7	5	2	7	17	7	2	3	2	433.4	184.9	-21.3	232.1	712.3	1.1	0.0135	7	-1.3	1.49	248.5	3.6	2	noninducer
-0.03	20.8	3	1	4	18	5	0	2	2	392.8	104.7	-68.1	245.9	723.7	3.7	6.32e-05	3	4.4	1.64e-05	288.2	3.4	0	noninducer
0.47	66.1	14	6	20	55	14	7	8	0	1111	214.1	-17.9	774.8	2057.2	1	1.97e-06	14	0.5	4.83e-06	896.9	7.7	21	noninducer
726.1	74.9	14	6	20	58	16	12	4	0	600.5	3.3	-1.5	488	1278.4	-0.2	6.95e-06	16	4	1.82e-09	597.2	4.3	20	inducer
0.46	36.1	1	3	4	28	5	10	2	1	714.3	47.5	-5	462.6	1247.5	3.6	5.1e-06	4	4.6	7.14e-07	666.8	4.5	1	inducer
2.75	50.7	6	2	8	41	10	7	5	2	1028.7	101.7	-15.8	609.4	1681.9	4.4	8.88e-08	10	4.6	5.4e-08	927.1	6	2	inducer
0.01	30.5	3	1	4	28	4	4	4	2	749.4	57.7	-9.9	436.4	1238.2	3.5	1.05e-05	4	4.9	7.46e-07	691.6	5.4	1	noninducer
2.78	32.3	2	1	3	28	4	6	4	2	679.7	37.2	-9.3	440.6	1205.9	3.1	2.35e-05	4	3.4	1.3e-05	642.5	4.1	1	noninducer
2.08	39.1	7	1	8	33	10	1	5	3	723.3	110.7	-13.8	463	1312.6	2.7	1.7e-05	10	2.1	5.35e-05	612.6	5.9	1	noninducer
0.06	48.8	11	6	17	39	12	4	5	2	729.8	251.9	-73.9	507.3	1400.5	-1.3	0.00923	12	1.9	1.78e-05	477.9	5.2	6	noninducer
0.85	45	8	7	15	32	10	2	4	1	686.3	257.9	-26.9	407.6	1099.7	-1.7	0.0924	10	-1.4	0.0523	428.5	4.2	6	noninducer
0.04	28.1	2	1	3	23	2	4	3	1	668.1	29.5	-0.5	374.4	1069.6	4.5	4.65e-06	2	7.6	1.04e-08	638.7	4.7	2	noninducer
4.98	56.3	5	2	7	39	8	14	3	3	1092	128.9	-10.5	632.9	1812.7	3.3	8.33e-07	7	8.1	6.27e-11	963.1	7.2	0	inducer
1.88	14.5	3	0	3	27	3	0	7	0	621.5	95.5	-5.1	388.2	1047.2	4.7	1.38e-06	3	4	4.94e-06	526.1	3.8	10	noninducer
0	17.1	2	1	3	21	7	3	3	1	524.7	80.4	-5.7	300.2	876.5	4.4	5.24e-06	3	4.7	3.11e-06	444.3	3.6	1	noninducer
1.23	38.2	4	2	6	35	6	3	5	2	870.9	42.1	-9.8	532.7	1457.5	3.8	9.92e-07	6	5.2	7.01e-08	828.8	4.8	4	inducer
1.69	22.6	5	2	7	16	8	2	2	1	398	142.7	-13.6	218.2	662.6	1.1	0.011	6	-2.6	15.3	255.3	3.2	2	noninducer
0	29.1	6	1	7	29	7	7	3	3	781.7	58.1	-13.9	444.6	1303.8	2.9	2.84e-05	7	2.8	3.56e-05	723.6	5.4	0	noninducer
11.03	66.5	13	6	19	51	14	7	3	0	859.9	55.5	-3.7	757.5	1836	-0.1	3.67e-05	14	2.5	2.13e-07	804.4	4.9	18	inducer
0.12	18.1	3	1	4	23	3	0	4	1	560.8	61.8	-4.5	348.8	981.2	4	1.28e-05	3	4	1.19e-05	499.1	4.2	5	noninducer
0.16	38.9	2	4	6	14	4	9	0	0	537.5	92.2	-22.6	241.1	775.7	0.4	0.095	4	-0.4	0.441	445.3	3.9	2	noninducer
0.9	28.2	4	1	5	25	7	2	3	2	616.4	71.2	-5.9	360.5	1026.6	3.3	2.04e-05	5	2.5	0.000114	545.2	3.9	1	inducer
0.21	45.3	13	3	16	42	13	3	7	2	844.5	197.1	-21.2	554.2	1497.9	1.2	3.19e-05	13	0	0.000298	647.3	4.9	10	noninducer
0.2	20.5	5	2	7	28	8	2	3	3	710.5	206.3	-16.8	455.3	1252.4	4.4	7.19e-07	7	4	1.55e-06	504.3	4.5	0	noninducer
15469.5	70.3	14	3	17	68	15	9	4	0	876.4	70.7	-7.8	665.1	1811.9	1.2	6.43e-08	15	4.5	8.88e-11	805.6	6.4	15	inducer
5.61	8.9	5	6	11	20	12	6	1	1	584.1	321.3	-120.1	301.8	938.9	-0.1	0.0235	9	-0.7	0.0765	262.8	5.1	0	noninducer
0.05	23.2	0	1	1	16	4	5	1	1	506.3	2.3	-0.3	258.2	782.1	3.5	0.000125	1	3.7	9.25e-05	504	3.5	1	inducer
4	18.1	1	1	2	19	3	2	3	2	496.9	63.2	-55.6	285.9	808.9	3.6	7.6e-05	2	3	0.00023	433.6	3.4	2	inducer
0.03	22.6	4	0	4	25	5	3	2	2	624.2	41.3	-2.9	391.6	1123.8	3.7	9.63e-06	4	5.2	5.42e-07	582.9	4.9	0	noninducer
0.06	29.2	4	5	9	22	5	6	2	2	606.7	179.8	-22.2	331.2	969.8	1.6	0.00153	5	1.2	0.00346	426.9	4.1	2	noninducer
-0.01	29.3	3	2	5	30	4	9	2	2	767.3	66.6	-5	489.7	1327.8	4.6	7.37e-07	4	5.3	2.03e-07	700.7	4.4	1	noninducer
1.66	37.6	4	3	7	37	5	10	4	3	937.4	116.7	-67.8	576.5	1566.2	4.1	4.5e-07	5	2.8	5.52e-06	820.6	6.5	1	noninducer
3.88	26.5	3	2	5	28	11	6	2	1	741.9	43.6	-16.1	396.6	1180	3	1.54e-05	5	4	2.49e-06	698.4	5	1	noninducer
0.19	31.7	5	1	6	22	9	5	3	3	548.3	107.5	-17.2	305.6	867.4	3.5	3.87e-05	7	0.3	0.0224	440.7	3.4	0	noninducer
0	8.5	2	2	4	9	5	0	1	1	243.8	156.5	-13.4	119.5	404.3	0.6	0.231	4	-1.4	11.8	87.4	2.2	0	noninducer
0.01	22.6	1	1	2	22	5	6	2	2	590	17.5	-17.3	341.5	992.2	4.2	9.78e-06	2	4.6	3.69e-06	572.4	4.2	1	inducer
9.1	22.7	6	1	7	34	9	4	4	0	693.3	65.2	-2.1	476.8	1266.8	3.4	1.73e-06	5	2.5	1.05e-05	628.1	4.2	9	noninducer
0.02	26.3	3	1	4	22	7	9	1	1	628.4	70.1	-59.6	339.6	1038.6	2.7	0.000134	4	3.1	6.86e-05	558.2	4.7	0	inducer
5.95	44.7	7	0	7	39	9	14	3	1	955.4	72.3	-37.7	618.4	1689.7	4.1	1.6e-07	8	6.6	1.14e-09	883.1	5.4	3	noninducer
0.19	17.6	5	2	7	21	9	3	2	2	533.3	226.9	-73.2	301	880.8	-0.2	0.0342	7	2.3	0.000262	306.4	4.1	0	noninducer
0	31.9	5	5	10	12	6	1	1	0	381.6	215.4	-65.3	155.8	513.4	-2.5	40.2	6	-2.2	22.9	166.2	2.6	5	noninducer
0.8	31.4	4	1	5	27	8	1	4	2	619.4	120.8	-89.5	377.3	1053.1	0.3	0.00682	7	0.5	0.00435	498.6	4.3	1	noninducer
0	20.5	3	0	3	18	3	5	1	1	623.8	79.2	-64.2	295.3	886.9	3.2	0.000183	3	4.8	8.12e-06	544.6	4.1	0	noninducer
11.54	30.9	6	1	7	28	10	3	4	2	700.4	172.1	-127.2	378.8	1105.8	0.2	0.00578	9	-0.2	0.0135	528.3	4.9	1	noninducer
1.19	51.4	7	8	15	33	12	7	3	0	695.2	167.4	-115.6	474.8	1295.8	-2.4	0.219	12	-1.5	0.0355	527.8	4.6	13	inducer
1.57	47.6	7	8	15	31	12	6	3	0	713.2	217.2	-169.5	434.1	1217.1	-2.9	0.851	12	-2.4	0.323	496	4.5	12	inducer
1.69	47.1	7	8	15	32	12	6	3	0	664.5	180	-128.7	449	1203.1	-2.6	0.43	12	-2	0.112	484.5	4.2	13	inducer
0.78	32.3	5	3	8	34	10	7	3	1	924	138.9	-12.8	513.5	1483.6	2.7	8.71e-06	9	4.7	1.63e-07	785.2	6.7	0	noninducer
0.01	25.1	4	2	6	14	4	3	1	1	415.4	93.3	-12	214.1	678.2	0.6	0.0754	4	0.4	0.098	322	3.6	1	noninducer
1.22	32.1	2	2	4	26	5	5	3	2	717	48.8	-8.5	411.5	1169	3.7	7.25e-06	3	4.2	2.92e-06	668.1	5.2	0	inducer
0.26	27	0	2	2	22	3	3	3	2	589.3	3.5	-6.6	369.5	1018	4.4	5.7e-06	2	4.1	9.7e-06	585.9	3.7	1	inducer
0	0	0	2	2	2	2	0	0	0	163.8	163.8	-11.5	30.4	162.4	-2.1	239	2	-1.5	65.5	0	1.2	0	noninducer
0.28	23.3	3	2	5	21	4	0	5	1	482.8	86.1	-15.1	290.8	810.5	2.4	0.000422	4	1.6	0.0022	396.6	3.2	4	noninducer
0.66	35.4	2	3	5	23	5	8	2	2	659.9	51.7	-9	381.5	1100.4	2.7	0.000108	4	3	5.68e-05	608.2	4.5	1	inducer
0	6.2	2	3	5	5	4	0	0	0	196.8	192.5	-18.7	65.9	270.6	-1.5	30.4	4	-1.7	47.5	4.3	1.8	0	noninducer
0.14	37.8	2	3	5	26	5	8	3	2	729.4	57.7	-10.8	425.8	1209.5	3.2	2.21e-05	4	2.4	0.000108	671.7	4.5	1	inducer
0.67	18.4	2	1	3	10	3	3	1	0	382.5	137.9	-122.9	155	527.2	-1.8	21.2	3	-1.3	7.44	244.6	2.7	2	noninducer
-0.03	42.7	2	1	3	25	5	5	4	3	742.8	11.1	-5.8	406.2	1151.2	4.5	1.76e-06	3	6	9.98e-08	731.7	4.9	0	inducer
0.26	12.4	2	0	2	15	2	4	1	1	519.8	72.3	-58.1	247.8	743.5	3.2	0.000349	2	3.8	0.000115	447.5	3.6	1	noninducer
