"SAMPLE_ID"	"TOX21_ID"	"CAS"	"PUBCHEM_SID"	"SAMPLE_NAME"	"PURITY_RATING"	"PURITY_RATING_4M"	"PUBCHEM_CID"	"LAST_MODIFIED"	"SMILES"
"NCGC00259476-01"	"Tox21_201927"	"99-07-0"	144209125	"3-Dimethylaminophenol"	"A"	"A"	"7421"	16-JAN-19 01.02.54.000000000 PM	"CN(C)c1cccc(O)c1"
"NCGC00259483-01"	"Tox21_201934"	"78-48-8"	144209132	"Tribufos"	"A"	"A"	"5125"	16-JAN-19 01.02.54.000000000 PM	"CCCCSP(=O)(SCCCC)SCCCC"
"NCGC00259513-01"	"Tox21_201964"	"169590-42-5"	144209162	"Celecoxib"	"A"	"A"	"2662"	16-JAN-19 01.02.54.000000000 PM	"NS(=O)(=O)c1ccc(cc1)n3nc(cc3c2ccc(C)cc2)C(F)(F)F"
"NCGC00259598-01"	"Tox21_202049"	"77-71-4"	144209247	"5,5-Dimethylhydantoin"	"A"	"A"	"6491"	16-JAN-19 01.02.54.000000000 PM	"O=C1NC(=O)C(C)(C)N1"
"NCGC00260123-01"	"Tox21_202574"	"515-74-2"	144209772	"Sodium 4-aminobenzenesulfonate"	"F"	""	"23664644"	16-JAN-19 01.02.54.000000000 PM	"[Na+].Nc1ccc(cc1)S(=O)([O-])=O"
"NCGC00258710-01"	"Tox21_201158"	"66-81-9"	144208356	"Cycloheximide"	"A"	"A"	"6197"	16-JAN-19 01.02.54.000000000 PM	"O=C2CC(C[C@@H](O)[C@@H]1C[C@@H](C)C[C@H](C)C1=O)CC(=O)N2"
"NCGC00254747-01"	"Tox21_300844"	"124495-18-7"	144211161	"Quinoxyfen"	"A"	"A"	"3391107"	16-JAN-19 01.02.54.000000000 PM	"Fc1ccc(cc1)Oc2ccnc3cc(Cl)cc(Cl)c23"
"NCGC00254767-01"	"Tox21_300863"	"31218-83-4"	144211180	"Propetamphos"	"A"	"A"	"5372405"	16-JAN-19 01.02.54.000000000 PM	"COP(=S)(NCC)OC(\C)=C\C(=O)OC(C)C"
"NCGC00254859-01"	"Tox21_300957"	"67-68-5"	144211274	"Dimethyl sulfoxide"	"A"	"A"	"679"	16-JAN-19 01.02.54.000000000 PM	"CS(C)=O"
"NCGC00255064-01"	"Tox21_301166"	"66441-23-4"	144211483	"Fenoxaprop-ethyl"	"A"	"B"	"47938"	16-JAN-19 01.02.54.000000000 PM	"O=C(OCC)C(C)Oc1ccc(cc1)Oc2nc3ccc(Cl)cc3o2"
"NCGC00255127-01"	"Tox21_301416"	"69-53-4"	144211733	"Ampicillin"	"D"	""	"6249"	16-JAN-19 01.02.54.000000000 PM	"OC(=O)[C@@H]2N3C(=O)[C@@H](NC(=O)[C@H](N)c1ccccc1)[C@H]3SC2(C)C"
"NCGC00255303-01"	"Tox21_301453"	"64-19-7"	144211770	"Acetic acid"	"A"	"A"	"176"	16-JAN-19 01.02.54.000000000 PM	"CC(=O)O"
"NCGC00255435-01"	"Tox21_302033"	"762-04-9"	144212350	"Diethyl phosphite"	"Fns"	""	"12977"	16-JAN-19 01.02.54.000000000 PM	"CCOP(O)OCC"
"NCGC00255794-01"	"Tox21_302147"	"143-24-8"	144212464	"2,5,8,11,14-Pentaoxapentadecane"	"A"	"A"	"8925"	16-JAN-19 01.02.54.000000000 PM	"COCCOCCOCCOCCOC"
"NCGC00254596-01"	"Tox21_300688"	"335-67-1"	144211005	"PFOA"	""	""	"9554"	16-JAN-19 01.02.54.000000000 PM	"FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F"
"NCGC00092334-01"	"Tox21_111195"	"91940-87-3"	144204746	"Zatebradine hydrochloride"	"A"	"A"	"3045335"	16-JAN-19 01.02.54.000000000 PM	"Cl.COc1ccc(cc1OC)CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O"
"NCGC00166290-02"	"Tox21_112394"	"3055-99-0"	144205947	"Polyoxyethylene (9) lauryl ether"	"A"	"A"	"656641"	16-JAN-19 01.02.54.000000000 PM	"CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO"
"NCGC00093802-04"	"Tox21_111222"	"53-43-0"	144204773	"Dehydroepiandrosterone"	"A"	""	"5881"	16-JAN-19 01.02.54.000000000 PM	"O=C4CC[C@@H]3[C@]4(C)CC[C@H]2[C@H]3CC=C1C[C@@H](O)CC[C@@]12C"
"NCGC00094144-03"	"Tox21_111253"	"672-87-7"	144204805	"Metyrosine"	"Fc"	""	"441350"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(C[C@](C)(N)C(=O)O)cc1"
"NCGC00167421-01"	"Tox21_112425"	"28523-86-6"	144205978	"Sevoflurane"	"A"	""	"5206"	16-JAN-19 01.02.54.000000000 PM	"FC(F)(F)C(OCF)C(F)(F)F"
"NCGC00159452-02"	"Tox21_111679"	"68367-52-2"	144205232	"Sorbinil"	"A"	"A"	"337359"	16-JAN-19 01.02.54.000000000 PM	"Fc2ccc3OCC[C@]1(NC(=O)NC1=O)c3c2"
"NCGC00159462-02"	"Tox21_112969"	"155213-67-5"	144206522	"Ritonavir"	"Ac"	"Ac"	"392622"	16-JAN-19 01.02.54.000000000 PM	"CC(C)c4nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc3cncs3)C(C)C)cs4"
"NCGC00163803-03"	"Tox21_112074"	"66215-27-8"	144205627	"Cyromazine"	"A"	"A"	"47866"	16-JAN-19 01.02.54.000000000 PM	"Nc2nc(N)nc(NC1CC1)n2"
"NCGC00163843-03"	"Tox21_400050"	"104206-82-8"	144214011	"Mesotrione"	"A"	"D"	"175967"	16-JAN-19 01.02.54.000000000 PM	"O=C2CCCC(=O)C2C(=O)c1ccc(cc1[N+]([O-])=O)S(C)(=O)=O"
"NCGC00167460-01"	"Tox21_112464"	"68401-82-1"	144206017	"Ceftizoxime sodium"	"A"	"C"	"23663938"	16-JAN-19 01.02.54.000000000 PM	"[Na+].Nc1scc(n1)\C(=N\OC)C(=O)N[C@@H]3C(=O)N2C(=CCS[C@@H]23)C([O-])=O"
"NCGC00159463-02"	"Tox21_111689"	"101-93-9"	144205242	"Phenacaine"	"A"	"A"	"17756783"	16-JAN-19 01.02.54.000000000 PM	"CCOc1ccc(cc1)NC(=C)Nc2ccc(OCC)cc2"
"NCGC00163935-02"	"Tox21_112076"	"87674-68-8"	144205629	"Dimethenamid"	"Fns"	""	"91744"	16-JAN-19 01.02.54.000000000 PM	"Cc1csc(C)c1N(C(C)COC)C(=O)CCl"
"NCGC00094811-01"	"Tox21_111335"	"64092-48-4"	144204888	"Sodium zomepirac"	"A"	"A"	"16220118"	16-JAN-19 01.02.54.000000000 PM	"[Na+].Cc2cc(CC([O-])=O)n(C)c2C(=O)c1ccc(Cl)cc1"
"NCGC00160370-01"	"Tox21_111768"	"7007-96-7"	144205321	"Crotoniazide"	"A"	"A"	"5360232"	16-JAN-19 01.02.54.000000000 PM	"O=C(N\N=C\C=CC)c1ccncc1"
"NCGC00167983-01"	"Tox21_112603"	"638-94-8"	144206156	"Desonide"	"A"	"A"	"5311066"	16-JAN-19 01.02.54.000000000 PM	"OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C"
"NCGC00164553-01"	"Tox21_112182"	"123318-82-1"	144205735	"Clofarabine"	"A"	"A"	"119182"	16-JAN-19 01.02.54.000000000 PM	"Nc3nc(Cl)nc2c3ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F"
"NCGC00160464-01"	"Tox21_111832"	"2201-39-0"	144205385	"Rolicyclidine"	"Bc"	"F"	"62436"	16-JAN-19 01.02.54.000000000 PM	"C1CCC(CC1)(c2ccccc2)N3CCCC3"
"NCGC00168253-01"	"Tox21_112612"	"561-27-3"	144206165	"3,6-Diacetylmorphine"	"A"	"A"	"5462328"	16-JAN-19 01.02.54.000000000 PM	"CC(=O)Oc1ccc2C[C@H]4N(C)CC[C@@]35[C@@H](Oc1c23)[C@H](C=C[C@@H]45)OC(C)=O"
"NCGC00095187-01"	"Tox21_111476"	"196597-26-9"	144205029	"Ramelteon"	"A"	"A"	"9881626"	16-JAN-19 01.02.54.000000000 PM	"CCC(=O)NCCC3CCc2ccc1OCCc1c23"
"NCGC00160537-04"	"Tox21_400085"	"66332-96-5"	144214046	"Flutolanil"	"A"	"A"	"47898"	16-JAN-19 01.02.54.000000000 PM	"CC(C)Oc1cccc(c1)NC(=O)c2ccccc2C(F)(F)F"
"NCGC00160580-01"	"Tox21_111914"	"526-18-1"	144205467	"Osalmid"	"A"	"A"	"4602"	16-JAN-19 01.02.54.000000000 PM	"O=C(Nc1ccc(O)cc1)c2ccccc2O"
"NCGC00168773-01"	"Tox21_112634"	"206361-99-1"	144206187	"Darunavir"	"A"	"A"	"213039"	16-JAN-19 01.02.54.000000000 PM	"Nc1ccc(cc1)S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]3CO[C@H]4OCC[C@@H]34"
"NCGC00142622-03"	"Tox21_111563"	"81-13-0"	144205116	"Dexpanthenol"	"A"	"A"	"131204"	16-JAN-19 01.02.54.000000000 PM	"CC(C)(CO)[C@@H](O)C(=O)NCCCO"
"NCGC00159345-02"	"Tox21_111590"	"51-55-8"	144205143	"Atropine"	"A"	"A"	"174174"	16-JAN-19 01.02.54.000000000 PM	"CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)C(CO)c2ccccc2"
"NCGC00167552-01"	"Tox21_112547"	"533-28-8"	144206100	"Piperocaine hydrochloride"	"A"	"A"	"10781"	16-JAN-19 01.02.54.000000000 PM	"Cl.CC2CCCCN2CCCOC(=O)c1ccccc1"
"NCGC00159377-02"	"Tox21_111617"	"98-54-4"	144205170	"4-tert-Butylphenol"	"A"	"Ac"	"7393"	16-JAN-19 01.02.54.000000000 PM	"CC(C)(C)c1ccc(O)cc1"
"NCGC00159382-02"	"Tox21_111620"	"89-78-1"	144205173	"dl-Menthol"	"Fns"	""	"16666"	16-JAN-19 01.02.54.000000000 PM	"CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O"
"NCGC00163169-01"	"Tox21_112024"	"15574-96-6"	144205577	"Pizotifen"	"A"	"A"	"27400"	16-JAN-19 01.02.54.000000000 PM	"CN1CC/C(CC1)=C3\c4ccccc4CCc2sccc23"
"NCGC00091010-01"	"Tox21_111054"	"538-71-6"	144204605	"Domiphen bromide"	"A"	"A"	"10866"	16-JAN-19 01.02.54.000000000 PM	"[Br-].CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1"
"NCGC00182026-01"	"Tox21_112961"	"149845-07-8"	144206514	"Tiludronate disodium"	"F"	""	"60936"	16-JAN-19 01.02.54.000000000 PM	"[Na+].[Na+].Clc1ccc(SC(P([O-])(=O)O)P([O-])(=O)O)cc1"
"NCGC00182039-01"	"Tox21_112971"	"88768-40-5"	144206524	"Cilazapril"	"A"	"A"	"56330"	16-JAN-19 01.02.54.000000000 PM	"O=C(OCC)[C@H](CCc1ccccc1)N[C@H]2CCCN3CCC[C@H](N3C2=O)C(=O)O"
"NCGC00183003-01"	"Tox21_113252"	"16488-48-5"	144206803	"Depolipon"	"A"	"A"	"27891"	16-JAN-19 01.02.54.000000000 PM	"[Cl-].CC[NH+](CC)CCOC(=O)c1ccc(NCCCC)cc1"
"NCGC00183283-01"	"Tox21_113611"	"78649-41-9"	144207160	"Iomeprol"	"A"	"A"	"3731"	16-JAN-19 01.02.54.000000000 PM	"Ic1c(c(I)c(c(I)c1N(C)C(=O)CO)C(=O)NCC(O)CO)C(=O)NCC(O)CO"
"NCGC00185745-01"	"Tox21_113142"	"51762-05-1"	144206693	"Cefroxadine"	"D"	"D"	"5284529"	16-JAN-19 01.02.54.000000000 PM	"N[C@H](C1=CCC=CC1)C(=O)N[C@@H]3C(=O)N2C(=C(OC)CS[C@@H]23)C(=O)O"
"NCGC00254236-01"	"Tox21_300629"	"41481-66-7"	144210946	"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]"	"A"	"A"	"833466"	16-JAN-19 01.02.54.000000000 PM	"Oc1ccc(cc1CC=C)S(=O)(=O)c2cc(CC=C)c(O)cc2"
"NCGC00254243-01"	"Tox21_300481"	"101-20-2"	144210799	"Triclocarban"	"A"	"A"	"7547"	16-JAN-19 01.02.54.000000000 PM	"Clc2ccc(NC(=O)Nc1ccc(Cl)cc1)cc2Cl"
"NCGC00254272-01"	"Tox21_300517"	"69-09-0"	144210835	"Chlorpromazine hydrochloride"	"A"	"A"	"6240"	16-JAN-19 01.02.54.000000000 PM	"Cl.CN(C)CCCN1c3ccccc3Sc2ccc(Cl)cc12"
"NCGC00254700-01"	"Tox21_300796"	"81335-37-7"	144211113	"Imazaquin"	"A"	"A"	"54739"	16-JAN-19 01.02.54.000000000 PM	"CC1(N=C(NC1=O)c2nc3ccccc3cc2C(=O)O)C(C)C"
"NCGC00253932-01"	"Tox21_300145"	"79-06-1"	144210465	"Acrylamide"	"A"	"A"	"6579"	16-JAN-19 01.02.54.000000000 PM	"C=CC(N)=O"
"NCGC00254766-01"	"Tox21_300862"	"1897-45-6"	144211179	"Chlorothalonil"	""	""	"15910"	16-JAN-19 01.02.54.000000000 PM	"Clc1c(C#N)c(Cl)c(C#N)c(Cl)c1Cl"
"NCGC00254359-01"	"Tox21_300582"	"64-86-8"	144210899	"Colchicine"	"A"	"A"	"6167"	16-JAN-19 01.02.54.000000000 PM	"CC(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3C1=CC=C(OC)C(=O)C=C12"
"NCGC00254396-01"	"Tox21_300615"	"486-56-6"	144210932	"Cotinine"	"A"	"A"	"854019"	16-JAN-19 01.02.54.000000000 PM	"CN2C(=O)CC[C@H]2c1cnccc1"
