assay_name	compound_pubchem_cid	assay_outcome
tox21-ahr-p1	CID_3003141	1
tox21-ahr-p1	CID_71310	1
tox21-ahr-p1	CID_68781	1
tox21-ahr-p1	CID_13649426	1
tox21-ahr-p1	CID_400769	1
tox21-ahr-p1	CID_3047798	1
tox21-ahr-p1	CID_3003870	1
tox21-ahr-p1	CID_24905147	1
tox21-ahr-p1	CID_3015003	1
tox21-ahr-p1	CID_60196352	1
tox21-ahr-p1	CID_3036780	1
tox21-ahr-p1	CID_10113978	1
tox21-ahr-p1	CID_16129778	1
tox21-ahr-p1	CID_9568078	1
tox21-ahr-p1	CID_9826528	1
tox21-ahr-p1	CID_34870	1
tox21-ahr-p1	CID_156422	1
tox21-ahr-p1	CID_6450551	1
tox21-ahr-p1	CID_27891	1
tox21-ahr-p1	CID_5282215	1
tox21-ahr-p1	CID_10455790	1
tox21-ahr-p1	CID_4257	1
tox21-ahr-p1	CID_7261	1
tox21-ahr-p1	CID_10229	1
tox21-ahr-p1	CID_7111	1
tox21-ahr-p1	CID_6914	1
tox21-ahr-p1	CID_7444	1
tox21-ahr-p1	CID_5280343	1
tox21-ahr-p1	CID_9153	1
tox21-ahr-p1	CID_9926621	1
tox21-ahr-p1	CID_10332	1
tox21-ahr-p1	CID_91741	1
tox21-ahr-p1	CID_25429	1
tox21-ahr-p1	CID_10522	1
tox21-ahr-p1	CID_7443	1
tox21-ahr-p1	CID_17593	1
tox21-ahr-p1	CID_6001	1
tox21-ahr-p1	CID_96088	1
tox21-ahr-p1	CID_10021362	1
tox21-ahr-p1	CID_10707	1
tox21-ahr-p1	CID_60196410	1
tox21-ahr-p1	CID_7367	1
tox21-ahr-p1	CID_833466	1
tox21-ahr-p1	CID_3293	1
tox21-ahr-p1	CID_9161	1
tox21-ahr-p1	CID_3086618	1
tox21-ahr-p1	CID_10201497	1
tox21-ahr-p1	CID_7031	1
tox21-ahr-p1	CID_27195	1
tox21-ahr-p1	CID_86296	1
tox21-ahr-p1	CID_5807	1
tox21-ahr-p1	CID_9882837	1
tox21-ahr-p1	CID_7447	1
tox21-ahr-p1	CID_19539	1
tox21-ahr-p1	CID_5954	1
tox21-ahr-p1	CID_61253	1
tox21-ahr-p1	CID_7577	1
tox21-ahr-p1	CID_9910393	1
tox21-ahr-p1	CID_62459	1
tox21-ahr-p1	CID_21387	1
tox21-ahr-p1	CID_785	1
tox21-ahr-p1	CID_3286	1
tox21-ahr-p1	CID_444795	1
tox21-ahr-p1	CID_9839190	1
tox21-ahr-p1	CID_5858445	1
tox21-ahr-p1	CID_25099474	1
tox21-ahr-p1	CID_9885850	1
tox21-ahr-p1	CID_7057	1
tox21-ahr-p1	CID_11097730	1
tox21-ahr-p1	CID_73672	1
tox21-ahr-p1	CID_182951	1
tox21-ahr-p1	CID_33775	1
tox21-ahr-p1	CID_23662264	1
tox21-ahr-p1	CID_39223	1
tox21-ahr-p1	CID_21307	1
tox21-ahr-p1	CID_3391107	1
tox21-ahr-p1	CID_93516	1
tox21-ahr-p1	CID_29216	1
tox21-ahr-p1	CID_93379	1
tox21-ahr-p1	CID_23700088	1
tox21-ahr-p1	CID_20965	1
tox21-ahr-p1	CID_34526	1
tox21-ahr-p1	CID_37175	1
tox21-ahr-p1	CID_4933	1
tox21-ahr-p1	CID_7251	1
tox21-ahr-p1	CID_43234	1
tox21-ahr-p1	CID_9411	1
tox21-ahr-p1	CID_9502	1
tox21-ahr-p1	CID_12932	1
tox21-ahr-p1	CID_25152	1
tox21-ahr-p1	CID_7555	1
tox21-ahr-p1	CID_5372405	1
tox21-ahr-p1	CID_37517	1
tox21-ahr-p1	CID_49837	1
tox21-ahr-p1	CID_7693	1
tox21-ahr-p1	CID_176879	1
tox21-ahr-p1	CID_80277	1
tox21-ahr-p1	CID_4130	1
tox21-ahr-p1	CID_11057	1
tox21-ahr-p1	CID_38779	1
tox21-ahr-p1	CID_39385	1
tox21-ahr-p1	CID_71482	1
tox21-ahr-p1	CID_73675	1
tox21-ahr-p1	CID_23661868	1
tox21-ahr-p1	CID_153974	1
tox21-ahr-p1	CID_65067	1
tox21-ahr-p1	CID_61719	1
tox21-ahr-p1	CID_31200	1
tox21-ahr-p1	CID_28935	1
tox21-ahr-p1	CID_40087	1
tox21-ahr-p1	CID_27189	1
tox21-ahr-p1	CID_25127	1
tox21-ahr-p1	CID_53518	1
tox21-ahr-p1	CID_991	1
tox21-ahr-p1	CID_25912	1
tox21-ahr-p1	CID_25146	1
tox21-ahr-p1	CID_86398	1
tox21-ahr-p1	CID_7551	1
tox21-ahr-p1	CID_91650	1
tox21-ahr-p1	CID_4793	1
tox21-ahr-p1	CID_86367	1
tox21-ahr-p1	CID_31420	1
tox21-ahr-p1	CID_8433	1
tox21-ahr-p1	CID_91735	1
tox21-ahr-p1	CID_100524	1
tox21-ahr-p1	CID_5359662	1
tox21-ahr-p1	CID_8292	1
tox21-ahr-p1	CID_24743	1
tox21-ahr-p1	CID_23682559	1
tox21-ahr-p1	CID_4373502	1
tox21-ahr-p1	CID_3032792	1
tox21-ahr-p1	CID_5359281	1
tox21-ahr-p1	CID_41632	1
tox21-ahr-p1	CID_9690	1
tox21-ahr-p1	CID_62389	1
tox21-ahr-p1	CID_3444	1
tox21-ahr-p1	CID_3714831	1
tox21-ahr-p1	CID_15629	1
tox21-ahr-p1	CID_91664	1
tox21-ahr-p1	CID_9462	1
tox21-ahr-p1	CID_6683	1
tox21-ahr-p1	CID_2097895	1
tox21-ahr-p1	CID_27295	1
tox21-ahr-p1	CID_22833	1
tox21-ahr-p1	CID_91590	1
tox21-ahr-p1	CID_16421	1
tox21-ahr-p1	CID_2943	1
tox21-ahr-p1	CID_80434	1
tox21-ahr-p1	CID_11907	1
tox21-ahr-p1	CID_4578030	1
tox21-ahr-p1	CID_57351929	1
tox21-ahr-p1	CID_5280378	1
tox21-ahr-p1	CID_72700	1
tox21-ahr-p1	CID_7020	1
tox21-ahr-p1	CID_8594	1
tox21-ahr-p1	CID_7071	1
tox21-ahr-p1	CID_16115	1
tox21-ahr-p1	CID_2723630	1
tox21-ahr-p1	CID_7328	1
tox21-ahr-p1	CID_37125	1
tox21-ahr-p1	CID_119193	1
tox21-ahr-p1	CID_80037	1
tox21-ahr-p1	CID_32184	1
tox21-ahr-p1	CID_47445	1
tox21-ahr-p1	CID_50293	1
tox21-ahr-p1	CID_5360487	1
tox21-ahr-p1	CID_19587	1
tox21-ahr-p1	CID_91731	1
tox21-ahr-p1	CID_2361	1
tox21-ahr-p1	CID_93098	1
tox21-ahr-p1	CID_5281607	1
tox21-ahr-p1	CID_39040	1
tox21-ahr-p1	CID_671	1
tox21-ahr-p1	CID_73665	1
tox21-ahr-p1	CID_13671	1
tox21-ahr-p1	CID_3465817	1
tox21-ahr-p1	CID_21080	1
tox21-ahr-p1	CID_32872	1
tox21-ahr-p1	CID_6773	1
tox21-ahr-p1	CID_62421	1
tox21-ahr-p1	CID_14385	1
tox21-ahr-p1	CID_91692	1
tox21-ahr-p1	CID_31957	1
tox21-ahr-p1	CID_8532	1
tox21-ahr-p1	CID_30709	1
tox21-ahr-p1	CID_67277	1
tox21-ahr-p1	CID_18290	1
tox21-ahr-p1	CID_66491	1
tox21-ahr-p1	CID_70801	1
tox21-ahr-p1	CID_23678979	1
tox21-ahr-p1	CID_11488	1
tox21-ahr-p1	CID_97354	1
tox21-ahr-p1	CID_517383	1
tox21-ahr-p1	CID_17168	1
tox21-ahr-p1	CID_803	1
tox21-ahr-p1	CID_2734687	1
tox21-ahr-p1	CID_38884	1
tox21-ahr-p1	CID_33443	1
tox21-ahr-p1	CID_10303	1
tox21-ahr-p1	CID_86013	1
tox21-ahr-p1	CID_1549133	1
tox21-ahr-p1	CID_644213	1
tox21-ahr-p1	CID_18771	1
tox21-ahr-p1	CID_3034351	1
tox21-ahr-p1	CID_19113	1
tox21-ahr-p1	CID_91673	1
tox21-ahr-p1	CID_91677	1
tox21-ahr-p1	CID_16422	1
tox21-ahr-p1	CID_90479	1
tox21-ahr-p1	CID_34313	1
tox21-ahr-p1	CID_19756	1
tox21-ahr-p1	CID_6733	1
tox21-ahr-p1	CID_98282	1
tox21-ahr-p1	CID_6688	1
tox21-ahr-p1	CID_36870	1
tox21-ahr-p1	CID_16834	1
tox21-ahr-p1	CID_40813	1
tox21-ahr-p1	CID_17435	1
tox21-ahr-p1	CID_23017	1
tox21-ahr-p1	CID_459494	1
tox21-ahr-p1	CID_61053	1
tox21-ahr-p1	CID_29307	1
tox21-ahr-p1	CID_26033	1
tox21-ahr-p1	CID_15969	1
tox21-ahr-p1	CID_17434	1
tox21-ahr-p1	CID_36679	1
tox21-ahr-p1	CID_7219	1
tox21-ahr-p1	CID_14869	1
tox21-ahr-p1	CID_67274	1
tox21-ahr-p1	CID_7516	1
tox21-ahr-p1	CID_8638	1
tox21-ahr-p1	CID_4021	1
tox21-ahr-p1	CID_109029	1
tox21-ahr-p1	CID_70811	1
tox21-ahr-p1	CID_2724103	1
tox21-ahr-p1	CID_235227	1
tox21-ahr-p1	CID_8805	1
tox21-ahr-p1	CID_27465	1
tox21-ahr-p1	CID_8371	1
tox21-ahr-p1	CID_24633	1
tox21-ahr-p1	CID_16560	1
tox21-ahr-p1	CID_6702	1
tox21-ahr-p1	CID_638024	1
tox21-ahr-p1	CID_3613389	1
tox21-ahr-p1	CID_5934	1
tox21-ahr-p1	CID_44135675	1
tox21-ahr-p1	CID_22628	1
tox21-ahr-p1	CID_4114	1
tox21-ahr-p1	CID_8679	1
tox21-ahr-p1	CID_21576	1
tox21-ahr-p1	CID_93335	1
tox21-ahr-p1	CID_79633	1
tox21-ahr-p1	CID_6772	1
tox21-ahr-p1	CID_24842	1
tox21-ahr-p1	CID_6529	1
tox21-ahr-p1	CID_2763760	1
tox21-ahr-p1	CID_5280373	1
tox21-ahr-p1	CID_76767	1
tox21-ahr-p1	CID_8640	1
tox21-ahr-p1	CID_23703979	1
tox21-ahr-p1	CID_11831	1
tox21-ahr-p1	CID_108938	1
tox21-ahr-p1	CID_5284363	1
tox21-ahr-p1	CID_80777	1
tox21-ahr-p1	CID_5111791	1
tox21-ahr-p1	CID_4632	1
tox21-ahr-p1	CID_2734956	1
tox21-ahr-p1	CID_7064	1
tox21-ahr-p1	CID_75557	1
tox21-ahr-p1	CID_92238	1
tox21-ahr-p1	CID_446155	1
tox21-ahr-p1	CID_5546	1
tox21-ahr-p1	CID_7257	1
tox21-ahr-p1	CID_11860	1
tox21-ahr-p1	CID_93312	1
tox21-ahr-p1	CID_23668542	1
tox21-ahr-p1	CID_7807	1
tox21-ahr-p1	CID_2723789	1
tox21-ahr-p1	CID_117640	1
tox21-ahr-p1	CID_13624	1
tox21-ahr-p1	CID_7050	1
tox21-ahr-p1	CID_75547	1
tox21-ahr-p1	CID_61945	1
tox21-ahr-p1	CID_7013	1
tox21-ahr-p1	CID_23675339	1
tox21-ahr-p1	CID_23666110	1
tox21-ahr-p1	CID_15630	1
tox21-ahr-p1	CID_7005	1
tox21-ahr-p1	CID_21209	1
tox21-ahr-p1	CID_7142	1
tox21-ahr-p1	CID_11769	1
tox21-ahr-p1	CID_38854	1
tox21-ahr-p1	CID_79242	1
tox21-ahr-p1	CID_70400	1
tox21-ahr-p1	CID_22584	1
tox21-ahr-p1	CID_18487	1
tox21-ahr-p1	CID_9351	1
tox21-ahr-p1	CID_9128	1
tox21-ahr-p1	CID_17170	1
tox21-ahr-p1	CID_7104	1
tox21-ahr-p1	CID_11933	1
tox21-ahr-p1	CID_121639	1
tox21-ahr-p1	CID_8342	1
tox21-ahr-p1	CID_62217	1
tox21-ahr-p1	CID_11937	1
tox21-ahr-p1	CID_66678	1
tox21-ahr-p1	CID_3078952	1
tox21-ahr-p1	CID_8749	1
tox21-ahr-p1	CID_5281875	1
tox21-ahr-p1	CID_7421	1
tox21-ahr-p1	CID_5889	1
tox21-ahr-p1	CID_2723715	1
tox21-ahr-p1	CID_38360	1
tox21-ahr-p1	CID_9884915	1
tox21-ahr-p1	CID_12688	1
tox21-ahr-p1	CID_8571	1
tox21-ahr-p1	CID_10068207	1
tox21-ahr-p1	CID_67271	1
tox21-ahr-p1	CID_7231	1
tox21-ahr-p1	CID_40399	1
tox21-ahr-p1	CID_11317	1
tox21-ahr-p1	CID_107882	1
tox21-ahr-p1	CID_24744	1
tox21-ahr-p1	CID_60196440	1
tox21-ahr-p1	CID_2723885	1
tox21-ahr-p1	CID_5280863	1
tox21-ahr-p1	CID_6732	1
tox21-ahr-p1	CID_8861	1
tox21-ahr-p1	CID_8663	1
tox21-ahr-p1	CID_7713	1
tox21-ahr-p1	CID_73852	1
tox21-ahr-p1	CID_8615	1
tox21-ahr-p1	CID_7076	1
tox21-ahr-p1	CID_8588	1
tox21-ahr-p1	CID_41206	1
tox21-ahr-p1	CID_3220	1
tox21-ahr-p1	CID_62630	1
tox21-ahr-p1	CID_707035	1
tox21-ahr-p1	CID_10377	1
tox21-ahr-p1	CID_7732	1
tox21-ahr-p1	CID_9787	1
tox21-ahr-p1	CID_83656	1
tox21-ahr-p1	CID_173058	1
tox21-ahr-p1	CID_5759	1
tox21-ahr-p1	CID_8689	1
tox21-ahr-p1	CID_10345790	1
tox21-ahr-p1	CID_78170	1
tox21-ahr-p1	CID_5284341	1
tox21-ahr-p1	CID_66117	1
tox21-ahr-p1	CID_6872	1
tox21-ahr-p1	CID_11972	1
tox21-ahr-p1	CID_37123	1
tox21-ahr-p1	CID_7078	1
tox21-ahr-p1	CID_38221	1
tox21-ahr-p1	CID_21622	1
tox21-ahr-p1	CID_7102	1
tox21-ahr-p1	CID_13622	1
tox21-ahr-p1	CID_7253	1
tox21-ahr-p1	CID_13205	1
tox21-ahr-p1	CID_22086	1
tox21-ahr-p1	CID_2482	1
tox21-ahr-p1	CID_6670	1
tox21-ahr-p1	CID_197873	1
tox21-ahr-p1	CID_54891	1
tox21-ahr-p1	CID_10891	1
tox21-ahr-p1	CID_88898	1
tox21-ahr-p1	CID_7737	1
tox21-ahr-p1	CID_8442	1
tox21-ahr-p1	CID_15965	1
tox21-ahr-p1	CID_25608	1
tox21-ahr-p1	CID_40301	1
tox21-ahr-p1	CID_27054	1
tox21-ahr-p1	CID_2723754	1
tox21-ahr-p1	CID_6693	1
tox21-ahr-p1	CID_5918804	1
tox21-ahr-p1	CID_4649906	1
tox21-ahr-p1	CID_7248	1
tox21-ahr-p1	CID_7472	1
tox21-ahr-p1	CID_10724	1
tox21-ahr-p1	CID_7595	1
tox21-ahr-p1	CID_15752	1
tox21-ahr-p1	CID_3894848	1
tox21-ahr-p1	CID_11080	1
tox21-ahr-p1	CID_7022	1
tox21-ahr-p1	CID_64961	1
tox21-ahr-p1	CID_11852	1
tox21-ahr-p1	CID_7607	1
tox21-ahr-p1	CID_29872	1
tox21-ahr-p1	CID_522105	1
tox21-ahr-p1	CID_22586	1
tox21-ahr-p1	CID_6319	1
tox21-ahr-p1	CID_16741	1
tox21-ahr-p1	CID_21013	1
tox21-ahr-p1	CID_15132	1
tox21-ahr-p1	CID_62130	1
tox21-ahr-p1	CID_146540	1
tox21-ahr-p1	CID_7062	1
tox21-ahr-p1	CID_6053	1
tox21-ahr-p1	CID_13619	1
tox21-ahr-p1	CID_20701	1
tox21-ahr-p1	CID_9958	1
tox21-ahr-p1	CID_98613	1
tox21-ahr-p1	CID_5281567	1
tox21-ahr-p1	CID_7192	1
tox21-ahr-p1	CID_11955	1
tox21-ahr-p1	CID_5930	1
tox21-ahr-p1	CID_7543	1
tox21-ahr-p1	CID_5354284	1
tox21-ahr-p1	CID_7120	1
tox21-ahr-p1	CID_7265	1
tox21-ahr-p1	CID_28207	1
tox21-ahr-p1	CID_919792	1
tox21-ahr-p1	CID_7230	1
tox21-ahr-p1	CID_5281707	1
tox21-ahr-p1	CID_165286	1
tox21-ahr-p1	CID_11112	1
tox21-ahr-p1	CID_68589	1
tox21-ahr-p1	CID_5801	1
tox21-ahr-p1	CID_8570	1
tox21-ahr-p1	CID_56638112	1
tox21-ahr-p1	CID_69150	1
tox21-ahr-p1	CID_23019	1
tox21-ahr-p1	CID_6936	1
tox21-ahr-p1	CID_9483	1
tox21-ahr-p1	CID_6881	1
tox21-ahr-p1	CID_11830	1
tox21-ahr-p1	CID_22463	1
tox21-ahr-p1	CID_7264	1
tox21-ahr-p1	CID_53462	1
tox21-ahr-p1	CID_60967	1
tox21-ahr-p1	CID_76063	1
tox21-ahr-p1	CID_81133	1
tox21-ahr-p1	CID_10236	1
tox21-ahr-p1	CID_11888	1
tox21-ahr-p1	CID_2336	1
tox21-ahr-p1	CID_8706	1
tox21-ahr-p1	CID_11990	1
tox21-ahr-p1	CID_9158	1
tox21-ahr-p1	CID_20849290	1
tox21-ahr-p1	CID_5897	1
tox21-ahr-p1	CID_2723951	1
