condition_concept_name	organ_type
Methaemoglobinaemia	
Marrow hyperplasia	
Splenic cyst	
Haemolytic anaemia	
Microangiopathic haemolytic anaemia	
Hyperbilirubinaemia	
Leukaemia recurrent	
Acute lymphocytic leukaemia recurrent	
Hodgkin's disease	
Multiple myeloma	
Idiopathic thrombocytopenic purpura	
Thrombocytopenia	
Thrombotic thrombocytopenic purpura	
Macrocytosis	
Lymphadenopathy	
Lymphadenopathy mediastinal	
Lymphoedema	
Metastases to lymph nodes	
Spleen disorder	
Splenic vein thrombosis	
Splenomegaly	
Thymus disorder	
Eosinophilia	
Infectious mononucleosis	
Leukocytosis	
Mononucleosis syndrome	
Neutrophilia	
Leukopenia	
Lymphopenia	
Granulocytopenia	
Neutropenia	
Neutropenic sepsis	
White blood cell disorder	
Atrioventricular block second degree	Cardiac
Bundle branch block left	Cardiac
Bundle branch block right	Cardiac
Cardiac flutter	Cardiac
Atrial flutter	Cardiac
Sinus arrhythmia	Cardiac
Sinus bradycardia	Cardiac
Sinus tachycardia	Cardiac
Supraventricular extrasystoles	Cardiac
Supraventricular tachycardia	Cardiac
Sudden cardiac death	Cardiac
Torsade de pointes	Cardiac
Ventricular extrasystoles	Cardiac
Ventricular tachycardia	Cardiac
Atrial thrombosis	Cardiac
Cardiac disorder	Cardiac
Cardiotoxicity	Cardiac
Cardiovascular disorder	
Heart disease congenital	
Heart injury	Cardiac
Intracardiac thrombus	Cardiac
Cyanosis	
Haemoptysis	
Jugular vein distension	
Palpitations	Cardiac
Aortic valve incompetence	Cardiac
Cardiac valve disease	Cardiac
Heart valve incompetence	Cardiac
Mitral valve disease	Cardiac
Mitral valve prolapse	Cardiac
Pulmonary valve incompetence	Cardiac
Tricuspid valve incompetence	Cardiac
Fallot's tetralogy	Cardiac
Pulmonary artery atresia	
Arteriosclerosis coronary artery	
Coronary artery dissection	
Coronary artery occlusion	
Coronary artery stenosis	
Coronary artery thrombosis	
Acute coronary syndrome	
Arteriospasm coronary	
Chest discomfort	
Myocardial ischaemia	Cardiac
Ascites	
Fluid overload	
Hepatic congestion	Hepatic
Cardiac failure congestive	Cardiac
Pulmonary congestion	Pulmonary
Pulmonary oedema	Pulmonary
Ischaemic cardiomyopathy	Cardiac
Atrial septal defect	
Cardiac septal defect	
Cardiomegaly	Cardiac
Diastolic dysfunction	Cardiac
Dilatation ventricular	
Left ventricular dysfunction	Cardiac
Right atrial dilatation	
Ventricular dysfunction	Cardiac
Ventricular hypertrophy	Cardiac
Ventricular septal defect	
Myocarditis	
Pericardial effusion	
Peripheral swelling	
Congenital arterial malformation	
Congenital anomaly	
Hereditary angioedema	
Cleft lip and palate	
Cleft palate	
Cleft lip	
Syndactyly	
Talipes	
Osteogenesis imperfecta	
Spina bifida	
Cerebral palsy	
Genitalia external ambiguous	
Ear discomfort	
Ear haemorrhage	
Ear infection	
Ear pain	
Ear pruritus	
Otitis externa	
Deafness bilateral	
Deafness neurosensory	
Hyperacusis	
Meniere's disease	
Labyrinthitis	
Otitis media	
Cushing's syndrome	
Adrenal suppression	
Diabetic ketoacidosis	
Diabetic coma	
Diabetic eye disease	
Amenorrhoea	
Dysfunctional uterine bleeding	
Hypomenorrhoea	
Menstruation delayed	
Menstruation irregular	
Oligomenorrhoea	
Ovarian failure	
Ovulation disorder	
Polycystic ovaries	
Diabetes mellitus inadequate control	
Gestational diabetes	
Type 1 diabetes mellitus	
Type 2 diabetes mellitus	
Glucose tolerance impaired	
Hyperglycaemia	
Galactorrhoea	
Pituitary tumour	
Pituitary tumour benign	
Pituitary tumour recurrent	
Inappropriate antidiuretic hormone secretion	
Polydipsia	
Hypercalcaemia	
Hyperparathyroidism	
Autoimmune thyroiditis	
Goitre	
Thyroid disorder	
Basedow's disease	
Hyperthyroidism	
Thyrotoxic crisis	
Hypothyroidism	
Thyroid cancer metastatic	
Cataract	
Corneal abrasion	
Madarosis	
Dry eye	
Lacrimation increased	
Sjogren's syndrome	
Eye pain	
Eye swelling	
Eyelid disorder	
Ocular icterus	
Conjunctival haemorrhage	
Eye haemorrhage	
Conjunctivitis infective	
Iridocyclitis	
Uveitis	
Eyelid oedema	
Eye discharge	
Eye pruritus	
Ocular hyperaemia	
Optic neuritis	
Macular oedema	
Episcleritis	
Blepharospasm	
Excessive eye blinking	
Eyelid ptosis	
Nystagmus	
VIth nerve paralysis	
Mydriasis	
Pupil fixed	
Asthenopia	
Contact lens intolerance	
Eye rolling	
Papilloedema	
Orbital oedema	
Maculopathy	
Retinal detachment	
Retinopathy	
Blindness	
Blindness transient	
Blindness unilateral	
Visual acuity reduced	
Myopia	
Diplopia	
Photopsia	
Visual field defect	
Optic nerve disorder	
Visual disturbance	
Rectocele	
Abdominal hernia	
Hiatus hernia	
Incisional hernia	
Inguinal hernia	
Umbilical hernia	
Anal fissure	
Rectal fissure	
Rectal prolapse	
Proctalgia	
Anorectal discomfort	
Colonic polyp	
Gastric polyps	
Tooth abscess	
Tooth disorder	
Sensitivity of teeth	
Gingival hyperplasia	
Gingival recession	
Gingival bleeding	
Gingival pain	
Diverticulum	
Pancreatitis	
Pancreatitis acute	
Pancreatitis chronic	
Pancreatic disorder	
Gastric disorder	
Gastrointestinal disorder	
Gastrointestinal injury	
Gastrointestinal oedema	
Hyperchlorhydria	
Oesophageal injury	
Anal haemorrhage	
Intestinal haemorrhage	
Rectal haemorrhage	
Gastrointestinal haemorrhage	
Haematochezia	
Anal abscess	
Gastric infection	
Gastroenteritis	
Gastroenteritis salmonella	
Gastroenteritis viral	
Abdominal infection	
Gastrointestinal viral infection	
Appendicitis	
Clostridium difficile colitis	
Fungal oesophagitis	
Colitis	
Colitis ischaemic	
Colitis microscopic	
Colitis ulcerative	
Caecitis	
Crohn's disease	
Enterocolitis	
Ileitis	
Inflammatory bowel disease	
Pouchitis	
Oesophagitis	
Reflux oesophagitis	
Proctitis	
Diarrhoea haemorrhagic	
Gastrointestinal hypomotility	
Gastrooesophageal reflux disease	
Impaired gastric emptying	
Infrequent bowel movements	
Change of bowel habit	
Gastrointestinal motility disorder	
Defaecation urgency	
Frequent bowel movements	
Irritable bowel syndrome	
Oesophageal spasm	
Oropharyngeal spasm	
Gastrointestinal sounds abnormal	
Dyspepsia	
Epigastric discomfort	
Eructation	
Abnormal faeces	
Faecaloma	
Faeces discoloured	
Faeces hard	
Faeces pale	
Mucous stools	
Abdominal distension	
Flatulence	
Abdominal pain lower	
Abdominal rigidity	
Abdominal tenderness	
Gastrointestinal pain	
Abdominal discomfort	
Abdominal symptom	
Aphagia	
Bruxism	
Early satiety	
Hyperphagia	
Hypophagia	
Incontinence	
Pelvic discomfort	
Pelvic pain	
Pneumatosis intestinalis	
Post cholecystectomy syndrome	
Post gastric surgery syndrome	
Procedural nausea	
Procedural vomiting	
Vomiting projectile	
Small intestinal obstruction	
Intestinal obstruction	
Oesophageal stenosis	
Rectal ulcer	
Gastric ulcer	
Gastritis erosive	
Gastrointestinal perforation	
Appendicitis perforated	
Intestinal perforation	
Erosive oesophagitis	
Peptic ulcer	
Haemorrhoidal haemorrhage	
Haemorrhoids	
Coeliac disease	
Lactose intolerance	
Steatorrhoea	
Gastric cancer	
Colon cancer	
Pancreatic neoplasm	
Cheilitis	
Lip blister	
Lip swelling	
Oral candidiasis	
Oral fungal infection	
Oral herpes	
Pharyngitis	
Odynophagia	
Oral pain	
Paraesthesia oral	
Throat irritation	
Lip exfoliation	
Oral discharge	
Oral discomfort	
Oral mucosal discolouration	
Oral pruritus	
Oropharyngeal blistering	
Oropharyngeal discomfort	
Oropharyngeal pain	
Oedema mouth	
Mouth ulceration	
Stomatitis	
Peritonitis	
Abdominal adhesions	
Pelvic adhesions	
Peritoneal adhesions	
Retroperitoneal haemorrhage	
Dry mouth	
Dry throat	
Lip dry	
Dysgeusia	
Tongue disorder	
Glossodynia	
Swollen tongue	
Tongue blistering	
Tongue discolouration	
Tongue exfoliation	
Tongue oedema	
Acquired pyloric stenosis	
Pharyngolaryngeal pain	
Application site dermatitis	
Application site hypersensitivity	
Application site inflammation	
Application site pruritus	
Catheter site erythema	
Catheter site haemorrhage	
Catheter site infection	
Infusion related reaction	
Injection site abscess	
Injection site atrophy	
Injection site cellulitis	
Injection site discharge	
Injection site discomfort	
Injection site erythema	
Injection site extravasation	
Injection site haematoma	
Injection site haemorrhage	
Injection site induration	
Injection site irritation	
Injection site mass	
Injection site nodule	
Injection site oedema	
Injection site pain	
Injection site pruritus	
Injection site rash	
Injection site reaction	
Injection site scar	
Injection site swelling	
Injection site urticaria	
Injection site warmth	
Neuroleptic malignant syndrome	
Brain death	
Intra-uterine death	
No adverse event	
Chronic fatigue syndrome	
Decreased activity	
Listless	
Chills	
Feeling cold	
Feeling hot	
Feeling jittery	
Feeling of body temperature change	
Hunger	
Sensation of pressure	
Temperature intolerance	
Thirst	
Adhesion	
Apparent death	
Bloody discharge	
Cold sweat	
Condition aggravated	
Deformity	
Disease progression	
Disease recurrence	
Energy increased	
Flushing	
Hot flush	
Hyperhidrosis	
Ill-defined disorder	
Influenza like illness	
Night sweats	
Purulent discharge	
Secretion discharge	
Yellow skin	
Hernia	
Granuloma	
Mucosal inflammation	
Generalised oedema	
Oedema	
Discomfort	
Flank pain	
Incision site pain	
Non-cardiac chest pain	
Post procedural discomfort	
Tenderness	
Product contamination	
Product label issue	
Product packaging quantity issue	
Drug name confusion	
Incorrect product storage	
Medication residue	
Product formulation issue	
Product substitution issue	
Inhibitory drug interaction	
Adverse drug reaction	
Adverse event	
Adverse reaction	
Drug effect decreased	
Drug ineffective for unapproved indication	
Drug intolerance	
Drug tolerance	
No therapeutic response	
Therapeutic response decreased	
Therapeutic response unexpected	
Therapeutic response unexpected with drug substitution	
Abnormal withdrawal bleeding	
Drug withdrawal convulsions	
Drug withdrawal syndrome	
Rebound effect	
Withdrawal bleed	
Withdrawal syndrome	
Fibrosis	
Impaired healing	
Cyst	
Cyst rupture	
Mass	
Necrosis	
Atrophy	
Dysplasia	
Ulcer	
No adverse effect	
Difficulty in walking	
Therapeutic product contamination	
Pharmaceutical product counterfeit	
Pharmaceutical product complaint	
Therapy non-responder	
Biliary colic	
Cholangitis	
Bile duct stone	
Biliary cyst	
Dilatation intrahepatic duct acquired	
Cholecystitis	
Cholecystitis acute	
Cholecystitis chronic	
Cholecystitis infective	
Cholelithiasis	
Biliary dyskinesia	
Gallbladder cholesterolosis	
Gallbladder disorder	
Gallbladder injury	
Gallbladder non-functioning	
Gallbladder pain	
Gallbladder polyp	
Cholestasis	
Jaundice cholestatic	
Hepatic lesion	Hepatic
Liver disorder	Hepatic
Liver injury	Hepatic
Hypoalbuminaemia	
Asterixis	
Hepatic failure	Hepatic
Biliary cirrhosis primary	
Hepatic cirrhosis	Hepatic
Portal vein thrombosis	
Venoocclusive liver disease	
Hepatitis C	
Hepatomegaly	Hepatic
Hepatic steatosis	Hepatic
Hepatitis	
Hepatitis acute	
Hepatotoxicity	Hepatic
Ischaemic hepatitis	
Hepatic neoplasm	Hepatic
Haemangioma of liver	Hepatic
Hepatic adenoma	Hepatic
Metastases to liver	
Hepatocellular damage	Hepatic
Asthma	
Erythema multiforme	
Erythema nodosum	
Serum sickness	
Dermatitis contact	
Drug eruption	
Reaction to drug excipients	
Red man syndrome	
Anaphylactic reaction	
Anaphylactoid reaction	
Angioedema	
Laryngeal oedema	
Rhinitis allergic	
Urticaria	
Guillain-Barre syndrome	
Cutaneous lupus erythematosus	
Lupus nephritis	
Lupus-like syndrome	
Systemic lupus erythematosus	
Systemic lupus erythematosus rash	
Myasthenia gravis	
Polymyositis	
Rheumatoid arthritis	
Dermatomyositis	
Sarcoidosis	
Glomerulonephritis	
Immune system disorder	
Kidney transplant rejection	
Transplant rejection	
Temporal arteritis	
Vasculitis	
Infection in an immunocompromised host	
Urticaria generalised	
Bacterial disease carrier	
Arthritis reactive	
Bacterial infection	
Folliculitis	
Gangrene	
Vaginitis bacterial	
Campylobacter infection	
Clostridium difficile sepsis	
Enterococcal bacteraemia	
Enterococcal infection	
Enterococcal sepsis	
Helicobacter infection	
Klebsiella bacteraemia	
Pseudomonal sepsis	
Pneumonia staphylococcal	
Septic arthritis staphylococcal	
Staphylococcal sepsis	
Pharyngitis streptococcal	
Streptococcal infection	
Streptococcal sepsis	
Lice infestation	
Aspergillosis	
Candida sepsis	
Fungal infection	
Vulvovaginal mycotic infection	
Tinea pedis	
Mastitis	
Endometritis	
Oophoritis	
Pelvic inflammatory disease	
Salpingitis	
Vaginal infection	
Abscess	
Device related infection	
Infection	
Localised infection	
Pelvic abscess	
Post procedural infection	
Lower respiratory tract infection	
Lung infection	
Bacteraemia	
Sepsis	
Viraemia	
Furuncle	
Infected skin ulcer	
Paronychia	
Skin infection	
Laryngitis	
Nasopharyngitis	
Sinusitis	
Tonsillitis	
Upper respiratory tract infection	
Cystitis	
Kidney infection	
Pyelonephritis	
Renal abscess	Renal
Adenovirus infection	
Cytomegalovirus infection	
Epstein-Barr viraemia	
Herpes simplex	
Herpes virus infection	
Herpes zoster	
Molluscum contagiosum	
Progressive multifocal leukoencephalopathy	
Pneumonia viral	
Viral infection	
Bacterial vaginosis	
Vaginal candidiasis	
Vaginal mycosis	
Compression fracture	
Fracture nonunion	
Joint dislocation	
Pathological fracture	
Stress fracture	
Joint injury	
Meniscus lesion	
Rotator cuff syndrome	
Femoral neck fracture	
Femur fracture	
Foot fracture	
Hip fracture	
Tibia fracture	
Pelvic fracture	
Facial bones fracture	
Skull fracture	
Spinal fracture	
Thoracic vertebral fracture	
Rib fracture	
Radius fracture	
Wrist fracture	
Drug toxicity	
Maternal drugs affecting foetus	
Brain contusion	
Concussion	
Collapse of lung	Pulmonary
Haemothorax	
Ligament injury	
Ligament rupture	
Ligament sprain	
Muscle injury	
Muscle strain	
Tendon injury	
Tendon rupture	
Tendonitis	
Nerve compression	
Nerve injury	
Arthropod bite	
Internal injury	
Multiple injuries	
Open wound	
Road traffic accident	
Scar	
Wound haemorrhage	
Uterine rupture	
Back injury	
Blood blister	
Contusion	
Sunburn	
Drug administration error	
Expired drug administered	
Inappropriate schedule of drug administration	
Incorrect drug administration duration	
Incorrect drug administration rate	
Incorrect route of drug administration	
Underdose	
Circumstance or information capable of leading to medication error	
Drug dispensing error	
Drug prescribing error	
Medication error	
Accidental exposure	
Drug exposure via breast milk	
Labelled drug-drug interaction medication error	
Accidental overdose	
Intentional overdose	
Anaesthetic complication	
Inadequate analgesia	
Device breakage	
Device failure	
Device dislocation	
Device malfunction	
Drug delivery system malfunction	
Intra-uterine contraceptive device expelled	
Complication of device insertion	
Complication of device removal	
Device misuse	
IUCD complication	
IUD migration	
Medical device complication	
Medical device discomfort	
Medical device pain	
Anastomotic stenosis	
Post procedural complication	
Post procedural haemorrhage	
Procedural complication	
Complications of maternal exposure to therapeutic drugs	
Cardiac murmur	Cardiac
Ejection fraction decreased	
Catheterisation cardiac	
Electrocardiogram P wave abnormal	Cardiac
Electrocardiogram T wave abnormal	Cardiac
Electrocardiogram T wave inversion	
Electrocardiogram abnormal	Cardiac
Heart rate abnormal	Cardiac
Heart rate increased	
Pulse abnormal	
Blood pressure abnormal	
Blood cortisol decreased	
Dehydroepiandrosterone decreased	
Hormone level abnormal	
Insulin-like growth factor increased	
Blood parathyroid hormone decreased	
Blood prolactin increased	
Blood thyroid stimulating hormone increased	
Blood oestrogen increased	
Blood testosterone decreased	
Oestradiol decreased	
Oestradiol increased	
Oestrogen receptor assay positive	
Pregnancy test positive	
Progesterone decreased	
Progesterone receptor assay positive	
Thyroid function test abnormal	
Thyroxine decreased	
Blood creatine phosphokinase MB increased	
Blood creatine phosphokinase increased	
Blood lactate dehydrogenase increased	
Amniotic fluid volume decreased	
Blood amylase increased	
Lipase increased	
Laparoscopy	
Blood count abnormal	
Scan lymph nodes	
Activated partial thromboplastin time prolonged	
Blood fibrinogen increased	
Coagulation time prolonged	
Fibrin D dimer increased	
International normalised ratio abnormal	
International normalised ratio decreased	
International normalised ratio increased	
Prothrombin level abnormal	
Prothrombin time prolonged	
Red blood cell sedimentation rate increased	
Platelet count increased	
Haematocrit decreased	
Haemoglobin increased	
Mean cell haemoglobin concentration decreased	
Red blood cell count increased	
Red cell distribution width abnormal	
Red cell distribution width increased	
CD4 lymphocytes decreased	
Eosinophil count increased	
Lymphocyte count decreased	
Lymphocyte count increased	
Neutrophil count increased	
Hepatobiliary scan abnormal	
Alanine aminotransferase abnormal	
Alanine aminotransferase increased	
Aspartate aminotransferase abnormal	
Aspartate aminotransferase increased	
Blood bilirubin increased	
Hepatic enzyme increased	
Liver function test abnormal	Hepatic
Transaminases increased	
Antinuclear antibody increased	
Antinuclear antibody positive	
Blood immunoglobulin M increased	
Biopsy	
Computerised tomogram abnormal	
Nuclear magnetic resonance imaging abnormal	
Investigation	
Laboratory test abnormal	
Quality of life decreased	
Blood cholesterol decreased	
Blood cholesterol increased	
High density lipoprotein decreased	
Low density lipoprotein increased	
Lipids increased	
Blood triglycerides increased	
Anion gap increased	
Blood lactic acid increased	
Blood pH decreased	
Oxygen saturation decreased	
PCO2 decreased	
Blood glucose abnormal	
Blood glucose fluctuation	
Glycosylated haemoglobin increased	
Urine ketone body present	
Vitamin B12 decreased	
Vitamin B12 increased	
Vitamin D decreased	
Vitamin D increased	
Human papilloma virus test positive	
Arthroscopy	
Bone density decreased	
Brain scan abnormal	
Nuclear magnetic resonance imaging brain abnormal	
Pupillary light reflex tests abnormal	
Body mass index increased	
Breath sounds abnormal	
Liver palpable subcostal	
Respiratory rate increased	
Waist circumference increased	
Weight decreased	
Blood albumin decreased	
C-reactive protein increased	
Protein total decreased	
Blood urea decreased	
Renal function test abnormal	Renal
Blood urine	
Blood urine present	
Protein urine present	
Urine leukocyte esterase	
Biopsy breast	
Biopsy breast abnormal	
Smear cervix abnormal	
Smear vaginal abnormal	
Mammogram abnormal	
Pulmonary function test decreased	
Anticonvulsant drug level above therapeutic	
Anticonvulsant drug level increased	
Antipsychotic drug level increased	
Drug level changed	
Drug level decreased	
Drug level increased	
Drug screen positive	
Blood bicarbonate decreased	
Blood calcium increased	
Blood chloride increased	
Blood iron decreased	
Blood potassium abnormal	
Blood potassium increased	
Serum ferritin decreased	
Acidosis	
Appetite disorder	
Decreased appetite	
Food craving	
Increased appetite	
Abnormal loss of weight	
Failure to thrive	
Feeding disorder	
Feeding disorder neonatal	
Malnutrition	
Obesity	
Low turnover osteopathy	
Osteopenia	
Hypocalcaemia	
Electrolyte imbalance	
Fluid intake reduced	
Hypokalaemia	
Dehydration	
Hypovolaemia	
Alcohol intolerance	
Fat intolerance	
Cholesterosis	
Hypercholesterolaemia	
Hyperlipidaemia	
Metabolic syndrome	
Vitamin D deficiency	
Vitamin B complex deficiency	
Bone disorder	
Exostosis	
Osteosclerosis	
Bone pain	
Bone swelling	
Pain in jaw	
Pubic pain	
Arthritis	
Sacroiliitis	
Joint instability	
Joint lock	
Temporomandibular joint syndrome	
Joint crepitation	
Joint range of motion decreased	
Joint stiffness	
Cervicobrachial syndrome	
Spinal osteoarthritis	
Psoriatic arthropathy	
Myositis	
Fibromyalgia	
Myalgia	
Myofascial pain syndrome	
Muscle atrophy	
Muscle contractions involuntary	
Muscle disorder	
Muscle fatigue	
Muscle tightness	
Muscle twitching	
Restless legs syndrome	
Cataplexy	
Muscle rigidity	
Torticollis	
Trismus	
Myopathy	
Rhabdomyolysis	
Foot deformity	
Intervertebral disc degeneration	
Intervertebral disc disorder	
Spinal deformity	
Hip deformity	
Plantar fasciitis	
Limb discomfort	
Musculoskeletal chest pain	
Musculoskeletal pain	
Back disorder	
Musculoskeletal disorder	
Weight bearing difficulty	
Axillary mass	
Fistula	
Groin pain	
Soft tissue disorder	
Lipoma	
Sarcoma	
Leiomyoma	
Bunion	
Bursitis	
Synovitis	
Costochondritis	
Tendon disorder	
Aseptic necrosis bone	
Muscle cramp	
Benign breast neoplasm	
Breast cyst	
Fibrocystic breast disease	
Breast cancer	
Breast cancer female	
Breast cancer in situ	
Breast cancer metastatic	
Breast cancer stage I	
Breast cancer stage II	
Contralateral breast cancer	
Paget's disease of the breast	
Metastases to central nervous system	
Metastases to lung	
Haemangioma	
Adenoma benign	
Malignant neoplasm progression	
Neoplasm malignant	
Squamous cell carcinoma	
Neoplasm	
Neoplasm recurrence	
Tumour haemorrhage	
Paraneoplastic syndrome	
Brain neoplasm	
Renal cyst	Renal
Renal neoplasm	Renal
Haemorrhagic ovarian cyst	
Ovarian adenoma	
Ovarian cyst	
Ovarian cyst ruptured	
Fallopian tube cyst	
Uterine cyst	
Uterine leiomyoma	
Uterine polyp	
Cervix carcinoma	
Cervix carcinoma stage I	
Endometrial cancer	
Uterine neoplasm	
Ovarian cancer	
Ovarian cancer metastatic	
Lung cancer metastatic	Pulmonary
Lung neoplasm malignant	Pulmonary
Malignant melanoma	
Malignant melanoma in situ	
Basal cell carcinoma	
Myelitis	
Brain stem haemorrhage	
Cerebellar haemorrhage	
Cerebellar infarction	
Cerebral artery thrombosis	
Haemorrhagic stroke	
Ischaemic stroke	
Subarachnoid haemorrhage	
Cerebrovascular disorder	
Cerebral venous thrombosis	
Intracranial venous sinus thrombosis	
Superior sagittal sinus thrombosis	
Transverse sinus thrombosis	
Facial paresis	
VIIth nerve paralysis	
Anosmia	
Parosmia	
Trigeminal neuralgia	
Demyelination	
Multiple sclerosis relapse	
Encephalopathy	
Cluster headache	
Sinus headache	
Migraine	
Migraine with aura	
Benign intracranial hypertension	
Brain oedema	
Dementia	
Amnestic disorder	
Mental impairment	
Tachyphrenia	
Akathisia	
Dyskinesia	
Psychomotor hyperactivity	
Dystonia	
Paralysis	
Paraparesis	
Dysstasia	
Agraphia	
Dysgraphia	
Postictal state	
Sedation	
Stupor	
Brain stem syndrome	
Central nervous system lesion	
Cerebral disorder	
Motor dysfunction	
Clonus	
Crying	
Drooling	
Grimacing	
Neurological symptom	
Personality change	
Thinking abnormal	
Burning sensation	
Formication	
Hyperaesthesia	
Skin burning sensation	
Aura	
Hypoaesthesia facial	
Neuralgia	
