ACTIVITY	SET	Min_dist	Avg_dist
"21-36"	7.40	2	0.03	0.47
"21-38"	8.14	1	999.90	999.90
"21-4"	6.59	1	999.90	999.90
"21-40"	8.60	1	999.90	999.90
"21-41"	8.29	2	0.07	0.50
"21-42"	7.82	1	999.90	999.90
"21-43"	7.49	1	999.90	999.90
"21-44"	8.12	1	999.90	999.90
"21-5"	7.62	1	999.90	999.90
"21-6"	6.38	2	0.06	0.46
"21-7"	6.92	1	999.90	999.90
"21-8"	6.70	1	999.90	999.90
"21-9"	7.46	1	999.90	999.90
"22-10"	6.37	1	999.90	999.90
"22-11"	6.59	1	999.90	999.90
"22-12"	5.42	1	999.90	999.90
"22-13"	6.09	1	999.90	999.90
"22-14"	5.44	1	999.90	999.90
"22-15"	5.96	1	999.90	999.90
"22-16"	5.49	1	999.90	999.90
"22-17"	5.70	2	0.04	0.55
"22-18"	8.89	1	999.90	999.90
"22-19"	8.17	2	0.10	0.54
"22-20"	8.38	2	0.08	0.56
"22-21"	9.40	2	0.03	0.54
"22-22"	8.43	1	999.90	999.90
"22-23"	5.48	1	999.90	999.90
"22-25"	5.85	2	0.14	0.48
"22-4"	6.64	1	999.90	999.90
"22-5"	7.12	2	0.14	0.58
"22-6"	7.74	1	999.90	999.90
"22-7"	5.85	1	999.90	999.90
"22-8"	5.70	1	999.90	999.90
"22-9"	6.06	2	0.14	0.60
"23-4B"	7.28	1	999.90	999.90
"23-6A"	6.96	2	0.05	0.52
"23-6B"	6.85	2	0.18	0.54
"23-7"	3.30	3	0.28	0.60
"23-8"	3.30	3	0.18	0.53
"23-8B"	3.30	3	0.28	0.58
"24-2A"	6.89	1	999.90	999.90
"24-2B"	7.37	1	999.90	999.90
"24-2C"	6.67	1	999.90	999.90
"24-2D"	8.12	1	999.90	999.90
"24-2E"	7.76	1	999.90	999.90
"24-3A"	6.39	1	999.90	999.90
"24-3C"	7.36	2	0.07	0.46
"24-3E"	5.52	2	0.03	0.48
"24-4A"	7.93	2	0.08	0.51
"24-4C"	7.98	1	999.90	999.90
"24-5A"	7.53	1	999.90	999.90
"24-5B"	7.27	1	999.90	999.90
"25-10"	6.85	2	0.09	0.48
"25-11"	5.48	1	999.90	999.90
"25-12"	7.48	1	999.90	999.90
"25-13"	5.90	1	999.90	999.90
"25-14"	5.49	1	999.90	999.90
"25-15"	7.52	2	0.06	0.48
"25-16"	5.92	1	999.90	999.90
"25-19"	5.47	1	999.90	999.90
"25-20"	7.14	1	999.90	999.90
"25-21"	6.46	1	999.90	999.90
"25-22"	7.24	1	999.90	999.90
"25-23"	6.62	1	999.90	999.90
"25-24"	6.37	1	999.90	999.90
"25-25"	6.43	1	999.90	999.90
"25-26"	5.54	2	0.04	0.46
"26-10"	6.36	1	999.90	999.90
"26-5"	6.33	2	0.34	0.59
"26-7"	6.64	2	0.11	0.49
"26-8"	5.46	1	999.90	999.90
"26-9"	6.77	2	0.12	0.51
"27-10"	7.43	1	999.90	999.90
"27-11"	7.29	1	999.90	999.90
"27-13"	7.74	1	999.90	999.90
"27-14"	7.89	1	999.90	999.90
"27-15"	7.00	2	0.05	0.48
"27-16"	7.59	1	999.90	999.90
"27-6"	6.77	1	999.90	999.90
"27-7"	7.10	1	999.90	999.90
"27-9"	7.06	1	999.90	999.90
"28-10"	6.21	1	999.90	999.90
"28-11"	6.59	2	0.11	0.52
"28-12"	5.21	2	0.23	0.57
"28-3"	6.55	1	999.90	999.90
"28-4"	6.92	1	999.90	999.90
"28-5"	5.13	1	999.90	999.90
"28-6"	4.89	2	0.10	0.56
"28-7"	5.68	2	0.10	0.55
"28-8"	4.93	1	999.90	999.90
"28-9"	5.94	1	999.90	999.90
"29-2-PIRITREXIM"	8.82	2	0.15	0.56
"30-2"	6.82	2	0.06	0.58
"30-3"	6.77	1	999.90	999.90
"30-4"	6.64	1	999.90	999.90
"32-10"	6.46	2	0.12	0.61
"32-11"	5.02	2	0.17	0.59
"32-8"	5.85	2	0.14	0.59
"32-9"	5.66	1	999.90	999.90
"33-1"	5.89	2	0.03	0.63
"33-2"	6.37	1	999.90	999.90
"33-3"	3.30	3	0.14	0.52
"33-5"	4.45	2	0.08	0.54
"33-6"	3.30	3	0.19	0.53
"34-2"	3.94	1	999.90	999.90
"34-3"	4.20	2	0.12	0.46
"34-4"	3.81	1	999.90	999.90
"34-5"	4.15	2	0.04	0.48
"34-6"	4.84	1	999.90	999.90
"34-7"	4.23	1	999.90	999.90
"34-9"	7.36	1	999.90	999.90
"35-10"	7.22	2	0.03	0.59
"35-2"	3.30	3	0.07	0.48
"35-3"	5.52	2	0.08	0.50
"35-4"	5.09	1	999.90	999.90
"35-5"	4.78	1	999.90	999.90
"35-6"	5.28	1	999.90	999.90
"35-7"	5.52	2	0.16	0.56
"36-6A"	4.77	1	999.90	999.90
"36-6B"	4.48	2	0.12	0.54
"36-6C"	4.55	2	0.06	0.55
"36-6D"	3.30	3	0.17	0.55
"36-6E"	5.00	2	0.24	0.57
"36-7A"	3.30	3	0.09	0.52
"36-7B"	3.30	3	0.20	0.53
"36-7C"	3.30	3	0.14	0.53
"36-7D"	3.30	3	0.25	0.53
"36-7E"	3.30	3	0.22	0.56
"37-1A"	5.04	2	0.36	0.61
"37-1B"	4.21	2	0.41	0.59
"37-1C"	4.64	2	0.39	0.59
"37-1D"	4.57	2	0.29	0.55
"37-1E"	3.57	2	0.36	0.59
"38-10"	4.79	1	999.90	999.90
"38-11"	3.86	1	999.90	999.90
"38-12"	4.84	1	999.90	999.90
"38-13"	4.14	1	999.90	999.90
"38-14"	3.30	3	0.13	0.55
"38-16"	3.30	3	0.04	0.52
"38-17"	3.30	3	0.20	0.54
"38-3"	3.60	3	0.10	0.62
"38-6"	4.92	1	999.90	999.90
"38-8"	4.22	2	0.20	0.61
"38-9"	3.30	3	0.16	0.55
"40-3"	6.43	2	0.19	0.62
"40-4"	6.40	1	999.90	999.90
"40-5"	5.23	2	0.12	0.60
"40-6"	5.74	2	0.23	0.61
"40-7"	4.29	2	0.14	0.62
"40-8"	4.60	2	0.21	0.60
"40-9"	5.51	1	999.90	999.90
"40-TABLE-2-4"	3.30	3	0.12	0.64
"40-TABLE-2-5"	3.30	3	0.06	0.62
"40-TABLE-2-6"	5.41	2	0.43	0.66
"40-TABLE2-1"	4.24	1	999.90	999.90
"40-TABLE2-2"	5.34	2	0.10	0.65
"40-TABLE2-3"	4.85	1	999.90	999.90
"41-4C"	3.30	3	0.06	0.59
"41-4D"	3.30	1	999.90	999.90
"41-4E"	3.30	3	0.18	0.55
"41-4F"	4.90	2	0.06	0.54
"41-4G"	3.30	3	0.10	0.58
"41-4H"	3.30	3	0.12	0.59
"41-4I"	3.30	3	0.15	0.59
"41-5A"	3.62	3	0.17	0.56
"41-5B"	4.61	1	999.90	999.90
"41-7A"	4.31	2	0.14	0.63
"41-7B"	4.51	1	999.90	999.90
"41-7C"	3.45	1	999.90	999.90
"42-10"	3.30	3	0.39	0.71
"42-11"	3.30	3	0.33	0.69
"42-8"	4.61	2	0.39	0.71
"42-9"	3.30	3	0.39	0.71
"43-10"	4.66	1	999.90	999.90
"43-11"	4.60	1	999.90	999.90
"43-13"	4.82	2	0.06	0.63
"43-14"	4.59	1	999.90	999.90
"43-15"	4.25	2	0.05	0.61
"43-16"	4.06	1	999.90	999.90
"43-17"	4.35	1	999.90	999.90
"43-7"	4.33	1	999.90	999.90
"43-8"	4.70	1	999.90	999.90
"43-9"	4.80	1	999.90	999.90
"44-10"	6.05	1	999.90	999.90
"44-11"	3.60	2	0.16	0.61
"44-12"	4.96	1	999.90	999.90
"44-14"	4.60	2	0.26	0.62
"44-16"	4.74	2	0.18	0.58
"44-17"	3.55	1	999.90	999.90
"44-18"	4.89	2	0.17	0.56
"44-19"	4.53	2	0.31	0.66
"44-2"	4.22	1	999.90	999.90
"44-20"	5.80	2	0.20	0.60
"44-21"	4.47	2	0.14	0.50
"44-22"	4.54	1	999.90	999.90
"44-23"	3.97	2	0.21	0.57
"44-3"	4.89	1	999.90	999.90
"44-6"	5.15	1	999.90	999.90
"44-7"	5.46	2	0.11	0.57
"44-8"	4.49	1	999.90	999.90
"44-9"	4.28	1	999.90	999.90
"6-1"	5.13	1	999.90	999.90
"6-13"	6.27	2	0.17	0.59
"6-14"	4.26	1	999.90	999.90
"6-15"	5.39	1	999.90	999.90
"6-16"	3.34	1	999.90	999.90
"6-2"	3.67	2	0.05	0.58
"6-20"	4.34	2	0.19	0.54
"6-21"	4.38	1	999.90	999.90
"6-22"	4.20	1	999.90	999.90
"6-23"	3.72	1	999.90	999.90
"6-26"	5.46	1	999.90	999.90
"6-28"	5.10	2	0.10	0.55
"6-3"	5.30	2	0.03	0.61
"6-48"	5.89	2	0.24	0.57
"6-7"	5.92	1	999.90	999.90
"7-1"	4.82	2	0.13	0.65
"7-2"	3.30	3	0.20	0.62
"7-3"	4.64	2	0.19	0.64
"7-4"	4.29	1	999.90	999.90
"7-5"	4.69	1	999.90	999.90
"7-6"	4.09	2	0.03	0.65
"8-3"	5.72	1	999.90	999.90
"8-6"	5.60	1	999.90	999.90
"8-7"	4.42	2	0.11	0.54
"8-8"	5.40	2	0.06	0.51
"9-12C"	5.09	1	999.90	999.90
"9-12D"	5.07	1	999.90	999.90
"9-12E"	4.59	1	999.90	999.90
"9-12F"	5.11	1	999.90	999.90
"9-12G"	4.99	1	999.90	999.90
"9-12H"	4.44	2	0.10	0.55
"9-12I"	4.58	1	999.90	999.90
"9-12J"	4.84	1	999.90	999.90
"9-12K"	6.52	1	999.90	999.90
"9-12L"	3.30	3	0.12	0.47
"9-12M"	5.24	1	999.90	999.90
"9-12N"	4.64	1	999.90	999.90
"9-12O"	6.33	2	0.07	0.48
"9-12P"	6.06	1	999.90	999.90
"9-12Q"	5.72	1	999.90	999.90
"9-12R"	4.68	1	999.90	999.90
"9-12S"	5.72	2	0.14	0.49
"9-12T"	4.22	2	0.30	0.55
"9-12U"	4.63	2	0.24	0.55
"9-13B"	6.37	1	999.90	999.90
"9-13D"	6.48	1	999.90	999.90
"9-13E"	6.30	2	0.03	0.53
"9-13F"	6.22	1	999.90	999.90
"9-13G"	6.28	1	999.90	999.90
"9-13H"	6.74	1	999.90	999.90
"9-13I"	6.72	1	999.90	999.90
"9-13J"	6.43	1	999.90	999.90
"9-13L"	6.82	1	999.90	999.90
"9-13M"	6.49	1	999.90	999.90
"9-13R"	7.70	1	999.90	999.90
"9-13S"	7.77	2	0.10	0.47
"9-13T"	6.87	2	0.21	0.53
"9-13U"	6.11	1	999.90	999.90
"9-14A"	6.92	1	999.90	999.90
"9-14B"	7.54	1	999.90	999.90
"9-14C"	6.80	1	999.90	999.90
"9-14H"	8.36	1	999.90	999.90
"9-14K"	6.64	1	999.90	999.90
"9-14M"	6.85	1	999.90	999.90
"9-15A"	6.64	2	0.06	0.46
"9-15B"	6.14	1	999.90	999.90
"9-15C"	6.09	1	999.90	999.90
"9-16B"	7.14	1	999.90	999.90
"9-16C"	7.64	2	0.10	0.48
"9-16D"	6.34	1	999.90	999.90
