ACTIVITY	SET	Min_dist	Avg_dist
"13-7A"	7.12	2	0.08	0.55
"13-7C"	6.89	1	999.90	999.90
"14-12"	8.15	2	0.15	0.64
"14-13"	8.30	1	999.90	999.90
"14-14"	7.03	2	0.11	0.62
"14-15"	8.30	1	999.90	999.90
"14-3"	7.96	2	0.16	0.66
"14-7"	7.70	1	999.90	999.90
"2-20"	6.28	2	0.13	0.53
"3-10"	6.92	1	999.90	999.90
"3-100"	5.08	1	999.90	999.90
"3-101"	6.49	2	0.10	0.51
"3-103"	5.81	2	0.17	0.51
"3-12"	6.24	1	999.90	999.90
"3-13"	5.83	1	999.90	999.90
"3-14"	6.15	1	999.90	999.90
"3-15"	6.80	1	999.90	999.90
"3-16"	4.00	3	0.04	0.44
"3-17"	5.24	1	999.90	999.90
"3-18"	8.00	1	999.90	999.90
"3-20"	7.40	1	999.90	999.90
"3-22"	7.22	1	999.90	999.90
"3-27"	6.46	1	999.90	999.90
"3-28"	6.46	1	999.90	999.90
"3-29"	4.17	2	0.12	0.47
"3-30"	5.49	1	999.90	999.90
"3-31"	6.04	1	999.90	999.90
"3-32"	5.23	1	999.90	999.90
"3-33"	6.24	2	0.10	0.48
"3-38"	6.05	1	999.90	999.90
"3-40"	6.10	1	999.90	999.90
"3-41"	4.00	3	0.06	0.46
"3-42"	7.00	1	999.90	999.90
"3-43"	6.70	1	999.90	999.90
"3-44"	6.82	1	999.90	999.90
"3-46"	7.40	1	999.90	999.90
"3-47"	6.49	1	999.90	999.90
"3-49"	6.18	2	0.05	0.46
"3-5"	6.62	1	999.90	999.90
"3-50"	7.52	1	999.90	999.90
"3-52"	6.77	1	999.90	999.90
"3-54"	6.60	1	999.90	999.90
"3-55"	5.98	1	999.90	999.90
"3-56"	6.77	1	999.90	999.90
"3-57"	6.92	1	999.90	999.90
"3-58"	6.48	1	999.90	999.90
"3-6"	6.96	1	999.90	999.90
"3-61"	6.02	1	999.90	999.90
"3-64"	4.00	3	0.04	0.43
"3-65"	4.00	3	0.03	0.44
"3-66"	7.52	1	999.90	999.90
"3-69"	8.00	1	999.90	999.90
"3-70"	8.52	1	999.90	999.90
"3-71"	7.70	1	999.90	999.90
"3-72"	7.52	1	999.90	999.90
"3-73"	7.40	1	999.90	999.90
"3-75"	6.34	2	0.08	0.47
"3-79"	6.14	1	999.90	999.90
"3-80"	4.91	2	0.06	0.47
"3-83"	4.00	3	0.14	0.51
"3-87"	6.21	1	999.90	999.90
"3-88"	6.39	1	999.90	999.90
"3-89"	5.80	1	999.90	999.90
"3-90"	6.64	1	999.90	999.90
"3-91"	5.24	2	0.14	0.56
"3-92"	4.00	3	0.08	0.50
"3-96"	6.62	1	999.90	999.90
"3-99"	5.43	1	999.90	999.90
"4-25"	5.77	1	999.90	999.90
"4-36"	5.02	1	999.90	999.90
"4-40"	5.92	1	999.90	999.90
"4-41"	4.42	1	999.90	999.90
"4-42"	6.02	1	999.90	999.90
"4-43"	6.36	1	999.90	999.90
"4-44"	5.55	1	999.90	999.90
"4-48"	4.00	3	0.08	0.49
"4-49"	6.47	1	999.90	999.90
"4-50"	5.54	1	999.90	999.90
"4-51"	5.89	1	999.90	999.90
"4-52"	6.28	1	999.90	999.90
"4-53"	5.24	1	999.90	999.90
"4-54"	6.38	1	999.90	999.90
"4-55"	6.14	1	999.90	999.90
"4-56"	6.36	1	999.90	999.90
"4-57"	5.81	1	999.90	999.90
"4-58"	4.68	1	999.90	999.90
"4-59"	4.61	2	0.11	0.52
"4-60"	4.10	2	0.11	0.48
"4-62"	4.03	1	999.90	999.90
"4-63"	5.74	2	0.04	0.48
"4-64"	5.92	1	999.90	999.90
"4-66"	6.20	1	999.90	999.90
"4-67"	5.96	2	0.07	0.49
"4-69"	6.33	2	0.05	0.52
"4-70"	4.29	2	0.09	0.46
"4-71"	6.33	1	999.90	999.90
"4-72"	7.15	1	999.90	999.90
"4-73"	7.59	1	999.90	999.90
"4-74"	5.96	2	0.06	0.48
"4-75"	6.03	1	999.90	999.90
"4-76"	6.28	1	999.90	999.90
"4-77"	6.37	2	0.12	0.51
"4-78"	6.96	1	999.90	999.90
"4-79"	5.38	2	0.10	0.50
"4-80"	6.39	2	0.17	0.52
"5-1A"	7.59	1	999.90	999.90
"5-1B"	8.30	1	999.90	999.90
"5-1D"	8.52	1	999.90	999.90
"5-1F"	6.06	1	999.90	999.90
"5-1G"	7.28	2	0.06	0.59
"5-1H"	4.11	2	0.13	0.64
"5-1I"	5.49	1	999.90	999.90
"5-1J"	5.18	2	0.08	0.65
"5-1K"	6.66	1	999.90	999.90
"5-1L"	7.12	1	999.90	999.90
"5-7A"	7.82	1	999.90	999.90
"5-7C"	7.17	1	999.90	999.90
"5-7E"	7.29	2	0.07	0.64
"6-7B"	7.29	1	999.90	999.90
"6-7D"	4.00	3	0.09	0.57
"6-7I"	6.92	1	999.90	999.90
"6-7L"	7.68	1	999.90	999.90
"6-7M"	8.30	2	0.14	0.57
"6-7P"	6.12	1	999.90	999.90
"6-8A"	8.15	1	999.90	999.90
"6-8B"	7.74	1	999.90	999.90
"6-8H"	8.70	2	0.08	0.63
"6-8I"	7.80	1	999.90	999.90
"6-8L"	8.70	2	0.12	0.69
"6-8M"	8.70	1	999.90	999.90
"6-8O"	6.82	1	999.90	999.90
"6-8P"	6.77	2	0.15	0.59
"6-DUP697"	8.00	2	0.31	0.62
"7-16A"	6.59	2	0.15	0.58
"7-16D"	4.00	3	0.18	0.56
"7-17A"	7.21	1	999.90	999.90
"7-17B"	7.77	1	999.90	999.90
"7-17D"	7.48	2	0.04	0.57
"7-20C"	8.30	1	999.90	999.90
"7-20F"	4.00	3	0.16	0.57
"7-20G"	7.89	2	0.14	0.57
"7-20H"	6.47	1	999.90	999.90
"7-20I"	6.47	1	999.90	999.90
"7-20J"	7.92	1	999.90	999.90
"7-20K"	8.15	1	999.90	999.90
"7-20O"	8.10	1	999.90	999.90
"7-20P"	4.28	2	0.15	0.52
"7-20Q"	6.77	2	0.15	0.53
"7-21C"	8.70	1	999.90	999.90
"7-21D"	7.89	1	999.90	999.90
"7-21G"	8.30	1	999.90	999.90
"7-21H"	7.19	2	0.12	0.59
"7-21I"	7.49	2	0.12	0.64
"7-21J"	8.40	1	999.90	999.90
"7-21L"	8.52	1	999.90	999.90
"7-21M"	8.30	2	0.05	0.57
"7-21O"	8.22	2	0.16	0.57
"7-21P"	6.48	1	999.90	999.90
"7-21Q"	7.29	1	999.90	999.90
"7-32"	7.08	2	0.08	0.65
"7-34"	4.00	3	0.07	0.56
"7-36"	4.00	3	0.20	0.59
"7-39"	4.00	3	0.34	0.54
"8-10A"	4.00	3	0.19	0.55
"8-11A"	4.00	3	0.28	0.60
"8-13A"	6.47	2	0.09	0.55
"8-14A"	6.08	2	0.11	0.54
"8-16A"	6.70	1	999.90	999.90
"8-17A"	6.92	2	0.24	0.56
"8-19"	4.00	3	0.31	0.57
"8-1AA"	8.43	1	999.90	999.90
"8-1AB"	8.24	1	999.90	999.90
"8-1AC"	7.57	2	0.07	0.52
"8-1AD"	7.18	1	999.90	999.90
"8-1AE"	7.82	1	999.90	999.90
"8-1AF"	7.25	1	999.90	999.90
"8-1AG"	4.00	3	0.03	0.51
"8-1AI"	4.34	2	0.21	0.53
"8-1AJ"	4.35	2	0.19	0.51
"8-1AK"	4.19	2	0.15	0.50
"8-1AL"	7.92	1	999.90	999.90
"8-1AN"	6.46	2	0.22	0.55
"8-1AO"	6.05	2	0.12	0.56
"8-1AP"	7.08	2	0.20	0.55
"8-1AQ"	7.51	2	0.12	0.54
"8-1AR"	6.64	1	999.90	999.90
"8-1AS"	7.68	1	999.90	999.90
"8-1AT"	7.28	1	999.90	999.90
"8-1B"	7.24	1	999.90	999.90
"8-1C"	5.11	1	999.90	999.90
"8-1D"	7.39	1	999.90	999.90
"8-1G"	7.16	1	999.90	999.90
"8-1I"	7.40	1	999.90	999.90
"8-1J"	6.07	1	999.90	999.90
"8-1L"	5.58	1	999.90	999.90
"8-1M"	4.00	3	0.06	0.49
"8-1N"	6.54	1	999.90	999.90
"8-1O"	8.10	1	999.90	999.90
"8-1P"	6.19	2	0.06	0.50
"8-1Q"	8.05	1	999.90	999.90
"8-1R"	6.47	1	999.90	999.90
"8-1S"	4.84	2	0.11	0.53
"8-1T"	7.80	1	999.90	999.90
"8-1U"	8.33	1	999.90	999.90
"8-1V"	4.03	2	0.05	0.51
"8-1W"	4.95	1	999.90	999.90
"8-1X"	8.03	1	999.90	999.90
"8-1Y"	6.37	1	999.90	999.90
"8-1Z"	6.22	1	999.90	999.90
"8-20B"	7.55	1	999.90	999.90
"8-20C"	6.47	1	999.90	999.90
"8-20D"	8.00	1	999.90	999.90
"8-20E"	4.15	2	0.10	0.57
"8-20F"	6.80	2	0.20	0.60
"8-20G"	5.96	2	0.20	0.60
"8-21B"	7.51	2	0.09	0.51
"8-22A"	4.00	3	0.22	0.54
"8-22C"	4.33	2	0.21	0.51
"8-22D"	7.12	2	0.30	0.56
"8-22E"	6.54	2	0.30	0.59
"8-22F"	4.70	2	0.31	0.56
"8-23"	4.53	2	0.25	0.55
"8-24"	8.77	1	999.90	999.90
"8-25A"	7.66	1	999.90	999.90
"8-25B"	7.55	2	0.07	0.51
"8-25D"	7.10	2	0.11	0.55
"8-26"	5.45	1	999.90	999.90
"8-28A"	8.00	1	999.90	999.90
"8-29"	4.00	3	0.15	0.54
"8-2A"	8.00	1	999.90	999.90
"8-2C"	4.53	2	0.09	0.53
"8-2D"	4.00	3	0.08	0.48
"8-2E"	4.00	3	0.08	0.54
"8-2F"	4.33	2	0.03	0.53
"8-2G"	7.82	1	999.90	999.90
"8-2H"	7.30	1	999.90	999.90
"8-2L"	4.00	3	0.06	0.51
"8-2M"	5.48	1	999.90	999.90
"8-2N"	7.62	2	0.06	0.58
"8-2O"	6.89	1	999.90	999.90
"8-30"	4.00	3	0.15	0.54
"8-31"	4.00	3	0.29	0.61
"8-32"	4.00	3	0.16	0.59
"8-33"	4.00	3	0.24	0.60
"8-34"	4.00	3	0.06	0.59
"8-35"	5.32	1	999.90	999.90
"8-36"	6.12	1	999.90	999.90
"8-37"	6.12	2	0.07	0.56
"8-38"	4.13	2	0.07	0.55
"8-39"	7.00	2	0.13	0.48
"8-3A"	4.00	3	0.27	0.58
"8-8A"	4.20	2	0.11	0.52
"8-9B"	7.28	2	0.11	0.55
"8-CELECOXIB"	7.40	1	999.90	999.90
"9-19"	7.59	2	0.19	0.64
"9-20"	7.77	2	0.07	0.60
"9-24"	8.70	1	999.90	999.90
"9-29"	7.57	1	999.90	999.90
"9-3"	8.12	1	999.90	999.90
"9-32"	8.52	2	0.09	0.63
"9-35"	8.82	1	999.90	999.90
"9-36"	8.30	1	999.90	999.90
"9-37"	9.00	1	999.90	999.90
"9-38"	6.87	1	999.90	999.90
"9-39"	6.89	1	999.90	999.90
"9-40"	8.70	2	0.06	0.62
"9-41"	9.00	1	999.90	999.90
"9-46"	8.60	1	999.90	999.90
"9-47"	8.48	1	999.90	999.90
"9-48"	8.52	1	999.90	999.90
"9-53"	7.66	1	999.90	999.90
